func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,72.0891,0,26.9123,3873,6.27642,1.72,-1,1,-1,1049.945116,3+,
1,2,104.0665,0,27.8233,4431,5.5642,1.79,-1,1,-1,1049.945116,3+,
1,3,136.0945,0,33.7224,4019,5.68806,2.16,-1,1,-1,1049.945116,3+,
1,4,158.1217,0,34.7109,5391,5.84073,2.23,-1,1,-1,1049.945116,3+,
1,5,203.1454,0,42.7899,23802,5.76058,2.74,-1,1,-1,1049.945116,3+,
1,6,231.1473,0,46.2694,6854,5.64541,3,-1,1,-1,1049.945116,3+,
1,7,262.1768,0,50.1592,4654,5.90733,3.26,-1,1,-1,1049.945116,3+,
1,8,435.7395,0,52.1644,2515,4.62536,3.38,-1,1,-1,1049.945116,3+,
1,13,477.2965,0,77.9045,9457,6.78371,4.98,-1,1,-1,1049.945116,3+,
1,10,501.2824,0,58.4789,5946,4.93615,3.76,-1,1,-1,1049.945116,3+,
1,9,501.7794,0,58.1717,4818,4.86305,3.76,-1,1,-1,1049.945116,3+,
1,12,536.8246,0,63.091904,2764,4.74711,4.08,-1,1,-1,1049.945116,3+,
1,11,537.3246,0,62.825,2618,5.11918,4.02,-1,1,-1,1049.945116,3+,
1,23,592.3368,0,90.2158,9709,7.11138,5.82,-1,1,-1,1049.945116,3+,
1,28,707.3781,0,100.271,8255,4.40916,6.45,-1,1,-1,1049.945116,3+,
1,30,771.4294,0,105.3981,4370,7.73073,6.77,-1,1,-1,1049.945116,3+,
1,29,772.4105,0,104.984,4428,7.99712,6.71,-1,1,-1,1049.945116,3+,
1,15,792.4386,0,81.262,3406,5.43932,5.23,-1,1,-1,1049.945116,3+,
1,14,820.9503,0,81.2592,4346,5.35443,5.23,-1,1,-1,1049.945116,3+,
1,31,870.4621,0,119.8594,25882,8.54758,7.67,-1,1,-1,1049.945116,3+,
1,32,871.4781,0,120.0441,4924,4.89844,7.73,-1,1,-1,1049.945116,3+,
1,16,878.4771,0,85.769,5190,6.17434,5.49,-1,1,-1,1049.945116,3+,
1,17,917.987,0,87.927,2984,6.55072,5.61,-1,1,-1,1049.945116,3+,
1,19,926.4954,0,88.5228,8706,6.37031,5.68,-1,1,-1,1049.945116,3+,
1,18,926.9895,0,88.2786,8026,6.64375,5.68,-1,1,-1,1049.945116,3+,
1,22,935.0059,0,89.8686,11146,6.11487,5.74,-1,1,-1,1049.945116,3+,
1,20,935.4944,0,89.7631,19015,6.37439,5.74,-1,1,-1,1049.945116,3+,
1,21,936.0062,0,89.8038,6740,6.24252,5.74,-1,1,-1,1049.945116,3+,
1,24,976.0409,0,92.4752,3011,6.68598,5.94,-1,1,-1,1049.945116,3+,
1,33,981.5125,0,122.8151,4476,8.59386,7.86,-1,1,-1,1049.945116,3+,
1,26,984.551,0,93.8358,5237,6.50923,6,-1,1,-1,1049.945116,3+,
1,25,985.0462,0,93.8265,9256,6.58748,6,-1,1,-1,1049.945116,3+,
1,27,985.5449,0,93.9851,3317,6.45903,6,-1,1,-1,1049.945116,3+,
1,35,999.5243,0,128.1382,20251,8.49256,8.25,-1,1,-1,1049.945116,3+,
1,34,1000.5355,0,127.9908,5547,5.75344,8.18,-1,1,-1,1049.945116,3+,
1,37,1001.5612,0,130.0033,9474,8.73386,8.38,-1,1,-1,1049.945116,3+,
1,36,1002.5558,0,128.9939,2445,3.14275,8.25,-1,1,-1,1049.945116,3+,
1,38,1002.5581,0,131.8889,3894,5.93281,8.44,-1,1,-1,1049.945116,3+,
1,39,1098.6118,0,141.3958,3785,6.94725,9.07,-1,1,-1,1049.945116,3+,
1,40,1212.6646,0,147.2806,4364,9.04249,9.46,-1,1,-1,1049.945116,3+,
