func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,72.088,0,30.3505,5207,7.48116,1.98,-1,1,-1,506.7776725,2+,
1,2,157.1164,0,38.7652,3210,6.67197,2.49,-1,1,-1,506.7776725,2+,
1,7,272.1573,0,61.5603,2893,4.18784,3.96,-1,1,-1,506.7776725,2+,
1,6,275.2044,0,61.1941,1968,4.47935,3.96,-1,1,-1,506.7776725,2+,
1,20,343.2038,0,72.6117,6640,8.03054,4.66,-1,1,-1,506.7776725,2+,
1,3,392.2283,0,58.3392,4504,5.09796,3.76,-1,1,-1,506.7776725,2+,
1,4,428.7785,0,58.9187,3143,4.96032,3.76,-1,1,-1,506.7776725,2+,
1,23,440.2317,0,85.2505,2540,5.46849,5.5,-1,1,-1,506.7776725,2+,
1,24,457.2589,0,86.5106,9417,8.61269,5.56,-1,1,-1,506.7776725,2+,
1,5,457.2924,0,60.9347,3082,5.31219,3.89,-1,1,-1,506.7776725,2+,
1,12,497.8242,0,65.4708,5073,6.30695,4.21,-1,1,-1,506.7776725,2+,
1,13,498.3132,0,65.808,7110,7.65761,4.21,-1,1,-1,506.7776725,2+,
1,11,506.3085,0,64.3507,15452,7.58222,4.15,-1,1,-1,506.7776725,2+,
1,18,506.3096,0,69.1133,18233,8.07771,4.47,-1,1,-1,506.7776725,2+,
1,9,506.6838,0,62.2945,3109,5.33407,4.02,-1,1,-1,506.7776725,2+,
1,16,506.7963,0,67.4208,67668,7.12071,4.34,-1,1,-1,506.7776725,2+,
1,8,507.02,0,61.9,2175,3.87331,3.95,-1,1,-1,506.7776725,2+,
1,21,507.2755,0,72.7762,35925,7.06004,4.66,-1,1,-1,506.7776725,2+,
1,10,507.3155,0,64.2344,17051,5.77599,4.15,-1,1,-1,506.7776725,2+,
1,22,507.7841,0,72.8928,30473,7.45395,4.66,-1,1,-1,506.7776725,2+,
1,14,507.7935,0,65.8362,6467,2.34122,4.21,-1,1,-1,506.7776725,2+,
1,19,508.2839,0,70.5904,11952,4.02689,4.53,-1,1,-1,506.7776725,2+,
1,15,508.2888,0,67.3219,9781,3.49814,4.34,-1,1,-1,506.7776725,2+,
1,17,508.4362,0,69.0767,6129,3.98869,4.47,-1,1,-1,506.7776725,2+,
1,27,556.4075,0,113.6793,18836,8.95943,7.29,-1,1,-1,506.7776725,2+,
1,25,557.414,0,111.4796,2149,4.69943,7.17,-1,1,-1,506.7776725,2+,
1,28,557.4151,0,114.0504,2813,5.11101,7.36,-1,1,-1,506.7776725,2+,
1,26,620.3731,0,111.8882,5062,8.79294,7.16,-1,1,-1,506.7776725,2+,
1,29,670.4664,0,123.7846,10540,9.1889,7.93,-1,1,-1,506.7776725,2+,
1,30,741.5119,0,133.2093,4911,9.01402,8.57,-1,1,-1,506.7776725,2+,
1,31,856.5535,0,146.1727,3944,5.59626,9.4,-1,1,-1,506.7776725,2+,
1,34,913.5799,0,158.4809,7192,6.23477,10.18,-1,1,-1,506.7776725,2+,
1,32,913.5817,0,155.0562,6676,6.22081,9.98,-1,1,-1,506.7776725,2+,
1,33,914.5881,0,157.0734,4097,7.21553,10.11,-1,1,-1,506.7776725,2+,
