func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,2,84.0538,0,24.7678,3986,5.87606,1.6,-1,1,-1,791.415199,3+,
1,4,84.0902,0,25.9109,8751,6.1614,1.66,-1,1,-1,791.415199,3+,
1,9,86.1063,0,28.4109,10030,6.21596,1.85,-1,1,-1,791.415199,3+,
1,1,91.065,0,22.8893,6285,5.42783,1.47,-1,1,-1,791.415199,3+,
1,6,102.068,0,26.2352,6339,5.36484,1.72,-1,1,-1,791.415199,3+,
1,5,110.0817,0,25.9687,31634,5.62581,1.66,-1,1,-1,791.415199,3+,
1,7,111.0886,0,26.5525,2986,5.62378,1.72,-1,1,-1,791.415199,3+,
1,11,115.1008,0,30.4704,10457,5.95018,1.97,-1,1,-1,791.415199,3+,
1,3,119.0644,0,25.0082,11489,5.60556,1.65,-1,1,-1,791.415199,3+,
1,14,129.119,0,31.431099,13012,5.6989,2.04,-1,1,-1,791.415199,3+,
1,8,130.0821,0,27.9989,4853,5.11959,1.78,-1,1,-1,791.415199,3+,
1,13,130.1038,0,31.2431,6780,5.58851,2.04,-1,1,-1,791.415199,3+,
1,16,136.0808,0,33.2867,102694,7.02493,2.16,-1,1,-1,791.415199,3+,
1,22,136.2127,0,34.6307,12708,5.74336,2.23,-1,1,-1,791.415199,3+,
1,15,136.3801,0,33.0455,14011,4.69708,2.16,-1,1,-1,791.415199,3+,
1,19,136.4182,0,33.578,13546,3.93255,2.16,-1,1,-1,791.415199,3+,
1,21,136.8518,0,33.7812,1844,4.30655,2.16,-1,1,-1,791.415199,3+,
1,17,137.0964,0,33.5187,27743,6.31052,2.16,-1,1,-1,791.415199,3+,
1,18,137.4224,0,33.5714,1587,3.66405,2.16,-1,1,-1,791.415199,3+,
1,12,143.1021,0,31.160202,9642,5.67479,2.04,-1,1,-1,791.415199,3+,
1,10,147.0634,0,29.7574,14257,5.41379,1.91,-1,1,-1,791.415199,3+,
1,20,147.1341,0,33.7779,13201,5.689,2.16,-1,1,-1,791.415199,3+,
1,27,159.1121,0,37.3111,19972,5.98302,2.42,-1,1,-1,791.415199,3+,
1,26,160.1183,0,37.246,2873,5.75719,2.42,-1,1,-1,791.415199,3+,
1,23,162.1151,0,35.6194,3848,5.97874,2.29,-1,1,-1,791.415199,3+,
1,24,166.0856,0,35.8729,5357,5.73576,2.29,-1,1,-1,791.415199,3+,
1,25,173.1155,0,36.9638,14096,5.88602,2.36,-1,1,-1,791.415199,3+,
1,31,185.1911,0,42.9591,2602,5.89365,2.74,-1,1,-1,791.415199,3+,
1,28,188.1301,0,38.5896,2758,5.87051,2.49,-1,1,-1,791.415199,3+,
1,29,201.1129,0,39.2256,16270,5.98335,2.55,-1,1,-1,791.415199,3+,
1,36,207.1298,0,43.9793,62150,6.47755,2.81,-1,1,-1,791.415199,3+,
1,32,207.2876,0,43.2017,4545,4.86419,2.81,-1,1,-1,791.415199,3+,
1,34,207.4938,0,43.7168,2624,3.41672,2.81,-1,1,-1,791.415199,3+,
1,33,207.5418,0,43.6427,1359,3.51168,2.81,-1,1,-1,791.415199,3+,
1,35,208.1473,0,43.7886,16623,6.15407,2.81,-1,1,-1,791.415199,3+,
1,37,215.1693,0,45.3161,5229,6.04157,2.94,-1,1,-1,791.415199,3+,
1,30,216.1287,0,41.8253,2888,5.78778,2.68,-1,1,-1,791.415199,3+,
1,44,223.1856,0,48.2996,16233,6.47612,3.13,-1,1,-1,791.415199,3+,
1,43,230.1818,0,48.0774,9909,6.16664,3.13,-1,1,-1,791.415199,3+,
1,50,234.1574,0,51.8795,5325,6.05495,3.32,-1,1,-1,791.415199,3+,
1,41,235.1332,0,47.2731,35581,5.95704,3.06,-1,1,-1,791.415199,3+,
1,42,236.1435,0,47.2979,8482,5.88107,3.06,-1,1,-1,791.415199,3+,
