func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,110.0848,0,26.053,3983,5.42375,1.72,-1,1,-1,791.415199,2+,
1,2,129.1191,0,30.6744,3207,5.63496,1.97,-1,1,-1,791.415199,2+,
1,4,136.093,0,33.7875,11649,5.78985,2.16,-1,1,-1,791.415199,2+,
1,3,147.1332,0,33.3736,3904,5.58855,2.16,-1,1,-1,791.415199,2+,
1,5,159.1136,0,37.238,3594,5.92408,2.42,-1,1,-1,791.415199,2+,
1,6,201.1152,0,40.5352,3783,6.40853,2.61,-1,1,-1,791.415199,2+,
1,7,207.1391,0,44.136,11379,6.01415,2.87,-1,1,-1,791.415199,2+,
1,8,235.1379,0,47.4418,14414,5.94137,3.06,-1,1,-1,791.415199,2+,
1,9,248.1927,0,49.2813,10850,5.93046,3.19,-1,1,-1,791.415199,2+,
1,11,251.186,0,53.8532,3409,5.98682,3.45,-1,1,-1,791.415199,2+,
1,10,272.1603,0,51.5153,4353,6.11139,3.32,-1,1,-1,791.415199,2+,
1,14,306.1846,0,60.9742,12820,6.61275,3.9,-1,1,-1,791.415199,2+,
1,13,314.215,0,60.3063,2906,6.14174,3.9,-1,1,-1,791.415199,2+,
1,12,324.1896,0,57.0715,2741,6.46161,3.7,-1,1,-1,791.415199,2+,
1,15,345.2253,0,62.3091,3503,6.57206,4.02,-1,1,-1,791.415199,2+,
1,22,350.266,0,67.0613,3872,5.9764,4.34,-1,1,-1,791.415199,2+,
1,20,362.2486,0,64.0323,14714,6.36734,4.15,-1,1,-1,791.415199,2+,
1,19,363.2538,0,63.461,3528,6.1112,4.08,-1,1,-1,791.415199,2+,
1,21,385.2617,0,66.9375,3502,6.47982,4.27,-1,1,-1,791.415199,2+,
1,26,407.2486,0,70.8731,5750,6.74876,4.53,-1,1,-1,791.415199,2+,
1,30,435.2424,0,73.2716,16712,7.03613,4.72,-1,1,-1,791.415199,2+,
1,29,436.2518,0,72.8462,4470,6.73395,4.66,-1,1,-1,791.415199,2+,
1,17,517.8416,0,62.7037,9460,4.98967,4.02,-1,1,-1,791.415199,2+,
1,18,518.3448,0,62.7887,6832,4.91645,4.02,-1,1,-1,791.415199,2+,
1,16,518.8496,0,62.4751,2110,4.75105,4.02,-1,1,-1,791.415199,2+,
1,53,520.3503,0,86.8084,5280,7.52162,5.56,-1,1,-1,791.415199,2+,
1,55,548.3507,0,87.3215,21666,7.51101,5.62,-1,1,-1,791.415199,2+,
1,58,549.3587,0,87.7484,8563,7.40765,5.62,-1,1,-1,791.415199,2+,
1,24,574.3958,0,68.4978,6176,4.98563,4.4,-1,1,-1,791.415199,2+,
1,23,574.8985,0,68.4508,4921,4.97904,4.4,-1,1,-1,791.415199,2+,
1,65,620.3859,0,93.185,5575,7.4744,6,-1,1,-1,791.415199,2+,
1,25,630.4152,0,69.4823,2971,6.30265,4.46,-1,1,-1,791.415199,2+,
1,27,638.9252,0,71.4575,6290,5.4879,4.59,-1,1,-1,791.415199,2+,
1,28,639.4269,0,71.5689,5173,5.66335,4.59,-1,1,-1,791.415199,2+,
1,66,657.4249,0,101.9313,7873,8.45403,6.51,-1,1,-1,791.415199,2+,
1,32,667.9209,0,73.7186,8432,6.23512,4.71,-1,1,-1,791.415199,2+,
1,31,668.4192,0,73.6244,8351,6.2908,4.71,-1,1,-1,791.415199,2+,
1,33,668.9243,0,74.5709,3726,6.64322,4.78,-1,1,-1,791.415199,2+,
1,34,674.4428,0,75.0211,12601,5.12472,4.84,-1,1,-1,791.415199,2+,
1,35,674.9464,0,75.0708,11786,5.17867,4.84,-1,1,-1,791.415199,2+,
1,36,675.4559,0,75.1376,4709,4.96877,4.84,-1,1,-1,791.415199,2+,
1,67,685.4177,0,102.0949,31946,8.13743,6.58,-1,1,-1,791.415199,2+,
1,68,686.4299,0,102.3702,15683,8.03427,6.58,-1,1,-1,791.415199,2+,
1,37,709.4498,0,76.3078,3315,7.18962,4.91,-1,1,-1,791.415199,2+,
1,44,709.964,0,80.4508,11593,6.38849,5.16,-1,1,-1,791.415199,2+,
1,46,710.4677,0,80.6065,9490,5.9381,5.16,-1,1,-1,791.415199,2+,
1,45,710.9741,0,80.5464,4168,5.52838,5.16,-1,1,-1,791.415199,2+,
1,42,718.4547,0,77.9848,5112,6.3065,4.97,-1,1,-1,791.415199,2+,
1,41,718.9528,0,77.8339,5601,6.19616,4.97,-1,1,-1,791.415199,2+,
1,43,736.4884,0,78.1249,2590,6.15186,5.04,-1,1,-1,791.415199,2+,
1,39,752.1463,0,77.0447,3487,4.69871,4.97,-1,1,-1,791.415199,2+,
1,40,752.4795,0,77.338,3947,4.81124,4.97,-1,1,-1,791.415199,2+,
1,38,752.8099,0,76.9107,3144,4.68834,4.91,-1,1,-1,791.415199,2+,
1,49,782.5068,0,84.0187,4740,5.04844,5.42,-1,1,-1,791.415199,2+,
1,60,782.5073,0,87.8632,3642,4.14127,5.61,-1,1,-1,791.415199,2+,
