func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,143.1395,0,33.7164,4001,5.52748,2.16,-1,1,-1,1127.084087,3+,
1,2,171.139,0,34.7795,2353,5.28417,2.23,-1,1,-1,1127.084087,3+,
1,3,203.1515,0,41.4358,2338,5.31282,2.68,-1,1,-1,1127.084087,3+,
1,4,392.2356,0,49.1149,2435,4.78022,3.18,-1,1,-1,1127.084087,3+,
1,26,434.3,0,72.2217,1447,3.66451,4.66,-1,1,-1,1127.084087,3+,
1,19,454.2255,0,69.1237,6059,6.25366,4.47,-1,1,-1,1127.084087,3+,
1,25,471.257,0,72.1171,4025,6.99816,4.66,-1,1,-1,1127.084087,3+,
1,5,489.8008,0,53.659,2446,4.39026,3.44,-1,1,-1,1127.084087,3+,
1,46,563.436,0,89.3119,4422,6.3812,5.75,-1,1,-1,1127.084087,3+,
1,37,569.272,0,83.8962,2592,4.39564,5.37,-1,1,-1,1127.084087,3+,
1,6,579.8437,0,61.3039,2543,4.54446,3.95,-1,1,-1,1127.084087,3+,
1,18,607.9462,0,68.1354,4276,4.74304,4.4,-1,1,-1,1127.084087,3+,
1,17,608.4474,0,67.9654,3462,4.60548,4.34,-1,1,-1,1127.084087,3+,
1,45,620.3855,0,88.8115,9083,4.33046,5.68,-1,1,-1,1127.084087,3+,
1,44,621.4016,0,88.1747,4191,6.89651,5.68,-1,1,-1,1127.084087,3+,
1,14,630.4081,0,65.8424,3592,5.92475,4.2,-1,1,-1,1127.084087,3+,
1,21,638.9363,0,69.685,4017,4.8277,4.46,-1,1,-1,1127.084087,3+,
1,20,639.4422,0,69.5383,2324,4.68069,4.46,-1,1,-1,1127.084087,3+,
1,58,662.5227,0,100.5704,5744,7.21738,6.45,-1,1,-1,1127.084087,3+,
1,23,686.9555,0,71.6744,5965,5.54775,4.59,-1,1,-1,1127.084087,3+,
1,24,687.4602,0,71.7733,4393,5.68342,4.59,-1,1,-1,1127.084087,3+,
1,22,687.9595,0,71.3726,3457,5.94837,4.59,-1,1,-1,1127.084087,3+,
1,33,702.9952,0,74.4805,2436,4.65398,4.78,-1,1,-1,1127.084087,3+,
1,32,736.4958,0,74.4187,7622,5.70272,4.78,-1,1,-1,1127.084087,3+,
1,31,736.9989,0,74.363,5747,5.67553,4.78,-1,1,-1,1127.084087,3+,
1,34,737.4943,0,74.6491,4931,5.19635,4.78,-1,1,-1,1127.084087,3+,
1,8,746.7637,0,63.151703,1739,4.58588,4.07,-1,1,-1,1127.084087,3+,
1,7,747.0911,0,62.8351,2459,4.47889,4.01,-1,1,-1,1127.084087,3+,
1,27,752.1472,0,73.8189,10602,4.66347,4.71,-1,1,-1,1127.084087,3+,
1,13,752.1514,0,65.3642,2510,4.03622,4.2,-1,1,-1,1127.084087,3+,
1,12,752.4452,0,64.0472,4058,4.1378,4.14,-1,1,-1,1127.084087,3+,
1,15,752.477,0,66.0292,2875,4.22506,4.26,-1,1,-1,1127.084087,3+,
1,29,752.4781,0,74.1394,10658,4.65266,4.78,-1,1,-1,1127.084087,3+,
1,11,752.7563,0,63.665802,10959,4.36192,4.07,-1,1,-1,1127.084087,3+,
1,30,752.8089,0,74.1562,13846,7.82692,4.78,-1,1,-1,1127.084087,3+,
1,10,753.0911,0,63.5756,9186,4.46325,4.07,-1,1,-1,1127.084087,3+,
1,16,753.129,0,67.8886,6696,6.21773,4.33,-1,1,-1,1127.084087,3+,
1,28,753.1478,0,74.0712,7548,5.08861,4.78,-1,1,-1,1127.084087,3+,
1,9,753.4322,0,63.560196,1772,4.52458,4.07,-1,1,-1,1127.084087,3+,
1,61,761.6031,0,107.8948,4668,7.36742,6.9,-1,1,-1,1127.084087,3+,
1,59,783.4665,0,106.2226,26500,7.73348,6.83,-1,1,-1,1127.084087,3+,
1,60,784.4769,0,106.447,10409,7.713,6.83,-1,1,-1,1127.084087,3+,
1,36,818.0419,0,81.6086,1411,3.88676,5.23,-1,1,-1,1127.084087,3+,
1,35,818.5436,0,80.974,2229,5.89827,5.16,-1,1,-1,1127.084087,3+,
1,63,832.6527,0,115.2175,6961,7.57273,7.41,-1,1,-1,1127.084087,3+,
1,62,833.6542,0,114.6768,3704,7.46092,7.35,-1,1,-1,1127.084087,3+,
1,41,843.5977,0,87.7774,8499,5.27075,5.61,-1,1,-1,1127.084087,3+,
1,42,844.0981,0,87.8583,6513,5.21602,5.61,-1,1,-1,1127.084087,3+,
1,43,844.6036,0,87.8784,2496,5.39236,5.61,-1,1,-1,1127.084087,3+,
1,39,871.5692,0,86.9371,4733,6.52618,5.55,-1,1,-1,1127.084087,3+,
1,40,872.0705,0,87.2135,4196,6.34511,5.61,-1,1,-1,1127.084087,3+,
1,38,872.571,0,86.4672,3565,6.51144,5.55,-1,1,-1,1127.084087,3+,
1,65,882.5554,0,119.3637,12303,7.8794,7.67,-1,1,-1,1127.084087,3+,
1,64,883.5624,0,119.2802,4731,7.8737,7.67,-1,1,-1,1127.084087,3+,
1,47,901.12,0,90.7088,5033,5.19319,5.81,-1,1,-1,1127.084087,3+,
1,49,901.6218,0,90.7932,4083,5.32918,5.81,-1,1,-1,1127.084087,3+,
1,50,965.16,0,93.073,2023,5.32448,6,-1,1,-1,1127.084087,3+,
1,51,993.1198,0,93.7746,3322,6.93293,6,-1,1,-1,1127.084087,3+,
1,53,993.6306,0,94.0054,3472,6.72002,6.06,-1,1,-1,1127.084087,3+,
1,52,994.1307,0,93.793,3121,6.71492,6,-1,1,-1,1127.084087,3+,
1,66,995.6542,0,131.9015,6277,7.87062,8.44,-1,1,-1,1127.084087,3+,
1,48,1013.5736,0,90.7125,3065,6.32793,5.81,-1,1,-1,1127.084087,3+,
1,55,1014.6999,0,96.8549,1628,3.31404,6.19,-1,1,-1,1127.084087,3+,
1,54,1015.196,0,96.8099,2904,5.77803,6.19,-1,1,-1,1127.084087,3+,
1,57,1043.1669,0,99.817,2849,5.91368,6.38,-1,1,-1,1127.084087,3+,
1,56,1043.672,0,98.7822,2694,6.12707,6.31,-1,1,-1,1127.084087,3+,
1,67,1066.7053,0,138.3727,3553,5.89235,8.88,-1,1,-1,1127.084087,3+,
1,68,1276.8715,0,163.1241,5398,8.71889,10.49,-1,1,-1,1127.084087,3+,
