func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,6,1099.6842,0,110.299,18107,4.4825,7.08,-1,1,-1,1099.615553,2+,
1,2,1099.6904,0,106.7932,16186,4.35226,6.82,-1,1,-1,1099.615553,2+,
1,1,1100.2357,0,104.3756,3718,4.00238,6.7,-1,1,-1,1099.615553,2+,
1,7,1100.2365,0,113.8314,4673,4.14441,7.27,-1,1,-1,1099.615553,2+,
1,4,1100.6735,0,108.7842,6895,5.80682,6.95,-1,1,-1,1099.615553,2+,
1,5,1101.1772,0,109.0755,9716,5.50151,7.02,-1,1,-1,1099.615553,2+,
1,3,1101.6753,0,108.7515,2826,5.53857,6.95,-1,1,-1,1099.615553,2+,
1,1,72.0887,0,26.6447,13549,6.78016,1.72,-1,1,-1,1099.615553,3+,
1,2,86.1067,0,28.1103,4278,6.04786,1.85,-1,1,-1,1099.615553,3+,
1,3,129.1202,0,30.3454,6138,5.43196,1.97,-1,1,-1,1099.615553,3+,
1,4,136.095,0,32.5919,5821,5.51215,2.1,-1,1,-1,1099.615553,3+,
1,5,143.1359,0,33.8769,20949,5.79194,2.16,-1,1,-1,1099.615553,3+,
1,6,171.1359,0,34.8154,16783,5.50496,2.23,-1,1,-1,1099.615553,3+,
1,8,225.1923,0,46.9132,4905,5.69732,2.16,-1,1,-1,1099.615553,3+,
1,7,228.1661,0,46.6262,15335,7.01228,2.23,-1,1,-1,1099.615553,3+,
1,10,235.1781,0,47.235,1466,3.61242,3.06,-1,1,-1,1099.615553,3+,
1,16,242.2223,0,51.3851,3563,5.77218,3.32,-1,1,-1,1099.615553,3+,
1,9,244.1274,0,47.1281,7901,6.2611,3.06,-1,1,-1,1099.615553,3+,
1,13,262.188,0,50.015,3641,5.80616,3.26,-1,1,-1,1099.615553,3+,
1,14,270.2166,0,50.4044,21130,5.94411,3.26,-1,1,-1,1099.615553,3+,
1,22,282.2217,0,58.8282,8901,6.21088,3.77,-1,1,-1,1099.615553,3+,
1,15,284.1654,0,51.3276,4638,5.62154,3.32,-1,1,-1,1099.615553,3+,
1,19,287.2482,0,55.146,4640,5.8598,3.58,-1,1,-1,1099.615553,3+,
1,29,343.2044,0,60.4641,23736,6.18779,3.89,-1,1,-1,1099.615553,3+,
1,31,363.2504,0,61.3242,7757,5.95542,3.95,-1,1,-1,1099.615553,3+,
1,12,392.2297,0,49.0344,17335,4.20689,3.18,-1,1,-1,1099.615553,3+,
1,11,392.7381,0,48.8966,2882,4.00995,3.12,-1,1,-1,1099.615553,3+,
1,62,395.3242,0,72.5973,4031,6.61475,4.66,-1,1,-1,1099.615553,3+,
1,45,397.2671,0,66.8419,4866,7.23146,4.27,-1,1,-1,1099.615553,3+,
1,46,398.2951,0,67.7088,14572,7.08806,4.34,-1,1,-1,1099.615553,3+,
1,57,410.3332,0,71.081,15534,7.09755,4.6,-1,1,-1,1099.615553,3+,
1,58,434.2955,0,71.8826,14825,6.52813,4.6,-1,1,-1,1099.615553,3+,
