func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,407.3468,0,76.4061,11475,6.04387,4.92,-1,1,-1,1127.084087,2+,
1,2,408.3585,0,76.8694,2613,5.90679,4.92,-1,1,-1,1127.084087,2+,
1,9,563.4683,0,93.4973,15253,6.50784,6.01,-1,1,-1,1127.084087,2+,
1,8,564.4821,0,93.0138,5184,6.3612,6.01,-1,1,-1,1127.084087,2+,
1,10,623.3833,0,93.5018,2555,4.43588,6,-1,1,-1,1127.084087,2+,
1,13,641.3944,0,95.8863,3673,4.05379,6.13,-1,1,-1,1127.084087,2+,
1,29,662.5699,0,102.8853,11462,6.95371,6.58,-1,1,-1,1127.084087,2+,
1,31,663.5745,0,103.4095,4024,6.94109,6.64,-1,1,-1,1127.084087,2+,
1,23,694.4356,0,100.516,7704,7.3585,6.45,-1,1,-1,1127.084087,2+,
1,24,712.4475,0,101.5111,7505,4.47759,6.51,-1,1,-1,1127.084087,2+,
1,25,713.4597,0,101.7428,4969,7.10114,6.51,-1,1,-1,1127.084087,2+,
1,44,761.6645,0,109.5343,5712,7.15948,7.03,-1,1,-1,1127.084087,2+,
1,38,765.4901,0,106.7437,2842,4.46191,6.83,-1,1,-1,1127.084087,2+,
1,40,783.5034,0,107.0693,7825,5.01376,6.9,-1,1,-1,1127.084087,2+,
1,41,784.5103,0,108.0679,6369,8.25156,6.96,-1,1,-1,1127.084087,2+,
1,47,832.7131,0,116.0209,6197,7.04154,7.48,-1,1,-1,1127.084087,2+,
1,3,857.6592,0,88.286,2522,4.64798,5.68,-1,1,-1,1127.084087,2+,
1,4,858.1639,0,88.2927,2474,4.56809,5.68,-1,1,-1,1127.084087,2+,
1,6,886.1722,0,90.0802,6364,5.25711,5.81,-1,1,-1,1127.084087,2+,
1,5,886.6732,0,90.0266,6266,5.21437,5.81,-1,1,-1,1127.084087,2+,
1,7,887.1821,0,90.3544,2908,5.4839,5.81,-1,1,-1,1127.084087,2+,
1,48,893.5755,0,116.2654,4447,7.83131,7.48,-1,1,-1,1127.084087,2+,
1,45,911.5837,0,115.8182,17730,8.5872,7.41,-1,1,-1,1127.084087,2+,
1,46,912.5962,0,115.9844,8633,8.41283,7.41,-1,1,-1,1127.084087,2+,
1,22,924.1488,0,100.2751,2737,6.72233,6.45,-1,1,-1,1127.084087,2+,
1,21,924.6456,0,100.1754,2853,6.70383,6.45,-1,1,-1,1127.084087,2+,
1,49,928.6189,0,117.0267,2290,4.46445,7.54,-1,1,-1,1127.084087,2+,
1,11,959.7217,0,95.6226,7204,5.57838,6.13,-1,1,-1,1127.084087,2+,
1,14,960.2217,0,95.8873,7714,5.50949,6.13,-1,1,-1,1127.084087,2+,
1,12,960.7274,0,95.6363,3869,5.52288,6.13,-1,1,-1,1127.084087,2+,
1,55,1002.8398,0,138.9697,4071,7.49301,8.89,-1,1,-1,1127.084087,2+,
1,20,1017.2505,0,99.5863,2914,5.84537,6.39,-1,1,-1,1127.084087,2+,
1,17,1017.7513,0,99.2002,2040,4.1754,6.39,-1,1,-1,1127.084087,2+,
1,50,1021.6599,0,123.9711,3341,4.84221,7.92,-1,1,-1,1127.084087,2+,
1,52,1022.6462,0,125.5767,6869,7.85165,8.05,-1,1,-1,1127.084087,2+,
1,51,1039.6447,0,125.2063,32034,8.43578,8.05,-1,1,-1,1127.084087,2+,
1,54,1040.6609,0,126.4569,19134,8.0329,8.11,-1,1,-1,1127.084087,2+,
1,53,1041.6848,0,126.0512,5432,7.7317,8.11,-1,1,-1,1127.084087,2+,
1,27,1109.8044,0,102.5981,2149,4.53781,6.57,-1,1,-1,1127.084087,2+,
1,35,1118.3013,0,104.6337,13885,6.54771,6.7,-1,1,-1,1127.084087,2+,
1,34,1118.7837,0,104.4852,22172,7.14217,6.7,-1,1,-1,1127.084087,2+,
1,33,1119.2878,0,104.0317,19539,7.17577,6.7,-1,1,-1,1127.084087,2+,
1,36,1119.8024,0,104.7173,11015,6.62966,6.7,-1,1,-1,1127.084087,2+,
1,18,1127.2498,0,99.34,29623,7.85503,6.38,-1,1,-1,1127.084087,2+,
1,39,1127.2546,0,107.0553,32453,8.27023,6.89,-1,1,-1,1127.084087,2+,
1,32,1127.778,0,103.5823,5522,1.91561,6.63,-1,1,-1,1127.084087,2+,
1,16,1127.7793,0,97.3092,10922,5.21198,6.25,-1,1,-1,1127.084087,2+,
1,42,1127.7838,0,108.9022,11127,5.28838,6.95,-1,1,-1,1127.084087,2+,
1,30,1128.2865,0,103.1769,4764,2.62853,6.63,-1,1,-1,1127.084087,2+,
1,15,1128.2932,0,97.2707,8142,5.74847,6.25,-1,1,-1,1127.084087,2+,
1,43,1128.2959,0,109.0464,9029,6.18493,7.02,-1,1,-1,1127.084087,2+,
1,19,1128.7268,0,99.5759,18711,4.75576,6.38,-1,1,-1,1127.084087,2+,
1,37,1128.732,0,106.4645,22310,5.51699,6.82,-1,1,-1,1127.084087,2+,
1,26,1129.2441,0,102.3184,37234,6.01515,6.57,-1,1,-1,1127.084087,2+,
1,28,1129.7374,0,102.8423,3468,6.17747,6.57,-1,1,-1,1127.084087,2+,
1,58,1214.943,0,159.6036,22582,8.25967,10.23,-1,1,-1,1127.084087,2+,
1,57,1215.9572,0,158.8593,15225,8.03629,10.17,-1,1,-1,1127.084087,2+,
1,59,1216.9753,0,159.9342,2719,5.09707,10.23,-1,1,-1,1127.084087,2+,
1,56,1251.7858,0,139.852,3397,7.81085,8.95,-1,1,-1,1127.084087,2+,
1,63,1343.0497,0,169.2792,7972,8.14208,10.87,-1,1,-1,1127.084087,2+,
1,62,1344.0558,0,169.1203,5927,8.02241,10.87,-1,1,-1,1127.084087,2+,
1,66,1471.1476,0,174.0524,3207,6.16104,11.19,-1,1,-1,1127.084087,2+,
1,67,1472.1519,0,174.252,2338,5.5976,11.19,-1,1,-1,1127.084087,2+,
1,64,1542.2064,0,171.2153,3719,5.96958,10.99,-1,1,-1,1127.084087,2+,
1,61,1542.2074,0,168.4845,1338,1.88066,10.8,-1,1,-1,1127.084087,2+,
1,65,1543.2137,0,171.9068,2165,4.91173,10.99,-1,1,-1,1127.084087,2+,
1,60,1543.2183,0,168.2707,3130,6.35086,10.8,-1,1,-1,1127.084087,2+,
