func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,7,55.0647,0,16.517,208,208,2,-1,1,1,721.8535,2+,
1,5,70.0781,0,16.4467,1187,1187,2,-1,1,1,721.8535,2+,
1,11,72.0939,0,16.7189,3701,3701,2,-1,1,1,721.8535,2+,
1,9,73.0983,0,16.6034,178,178,2,-1,1,1,721.8535,2+,
1,6,84.0585,0,16.456,209,209,2,-1,1,1,721.8535,2+,
1,4,84.0961,0,16.3708,230,230,2,-1,1,1,721.8535,2+,
1,15,86.1108,0,16.9246,8133,8133,2,-1,1,1,721.8535,2+,
1,1,87.059,0,16.1985,309,309,2,-1,1,1,721.8535,2+,
1,14,87.1149,0,16.889,619,619,2,-1,1,1,721.8535,2+,
1,8,89.0746,0,16.5893,627,627,2,-1,1,1,721.8535,2+,
1,3,110.047,0,16.2597,671,671,2,-1,1,1,721.8535,2+,
1,12,110.0918,0,16.7303,460,460,2,-1,1,1,721.8535,2+,
1,10,119.0679,0,16.6385,152,152,2,-1,1,1,721.8535,2+,
1,19,120.1018,0,17.2839,471,471,2,-1,1,1,721.8535,2+,
1,13,122.103,0,16.8048,260,260,2,-1,1,1,721.8535,2+,
1,18,129.1273,0,17.2406,547,547,2,-1,1,1,721.8535,2+,
1,16,133.1101,0,17.0232,710,710,2,-1,1,1,721.8535,2+,
1,21,136.0998,0,18.2074,8824,8824,2,-1,1,1,721.8535,2+,
1,23,137.1041,0,18.295,868,868,2,-1,1,1,721.8535,2+,
1,2,140.0677,0,16.2439,177,177,2,-1,1,1,721.8535,2+,
1,24,143.1436,0,18.736,695,695,2,-1,1,1,721.8535,2+,
1,28,145.0195,0,20.2768,335,335,2,-1,1,1,721.8535,2+,
1,17,147.0698,0,17.1905,153,153,2,-1,1,1,721.8535,2+,
1,22,147.1392,0,18.2258,374,374,2,-1,1,1,721.8535,2+,
1,29,157.1635,0,20.6283,244,244,2,-1,1,1,721.8535,2+,
1,30,159.0492,0,20.6754,221,221,2,-1,1,1,721.8535,2+,
1,20,165.12,0,18.1522,183,183,2,-1,1,1,721.8535,2+,
1,27,171.1422,0,20.043,615,615,2,-1,1,1,721.8535,2+,
1,33,173.1581,0,21.6106,165,165,2,-1,1,1,721.8535,2+,
1,26,175.151,0,19.9562,1619,1619,2,-1,1,1,721.8535,2+,
1,25,177.1434,0,19.0112,307,307,2,-1,1,1,721.8535,2+,
1,31,184.1406,0,20.9727,153,153,2,-1,1,1,721.8535,2+,
1,40,185.1977,0,24.8008,5896,5896,2,-1,1,1,721.8535,2+,
1,32,186.1575,0,21.491,194,194,2,-1,1,1,721.8535,2+,
1,39,186.2033,0,24.6678,868,868,2,-1,1,1,721.8535,2+,
1,35,195.032,0,24.362,1228,1228,2,-1,1,1,721.8535,2+,
1,36,197.0292,0,24.397,405,405,2,-1,1,1,721.8535,2+,
1,53,199.2161,0,28.1965,4383,4383,2,-1,1,1,721.8535,2+,
1,51,200.2209,0,27.981,719,719,2,-1,1,1,721.8535,2+,
1,38,201.161,0,24.6199,488,488,2,-1,1,1,721.8535,2+,
1,41,204.1711,0,25.4181,1879,1879,2,-1,1,1,721.8535,2+,
1,34,205.0605,0,23.3242,841,841,2,-1,1,1,721.8535,2+,
1,45,205.1719,0,26.0857,161,161,2,-1,1,1,721.8535,2+,
1,37,212.1419,0,24.5327,355,355,2,-1,1,1,721.8535,2+,
1,48,213.1972,0,27.1635,4714,4714,2,-1,1,1,721.8535,2+,
1,47,214.1991,0,27.0847,741,741,2,-1,1,1,721.8535,2+,
