func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,10,55.065,0,16.3538,215,215,2,-1,1,1,720.8745,2+,
1,12,61.0509,0,16.5499,277,277,2,-1,1,1,720.8745,2+,
1,4,69.0819,0,16.2332,152,152,2,-1,1,1,720.8745,2+,
1,11,70.0776,0,16.4149,1394,1394,2,-1,1,1,720.8745,2+,
1,13,72.0936,0,16.6617,2991,2991,2,-1,1,1,720.8745,2+,
1,1,80.0264,0,16.0751,169,169,2,-1,1,1,720.8745,2+,
1,9,84.0594,0,16.3407,202,202,2,-1,1,1,720.8745,2+,
1,6,84.0955,0,16.2764,308,308,2,-1,1,1,720.8745,2+,
1,17,86.1109,0,16.9118,7330,7330,2,-1,1,1,720.8745,2+,
1,77,86.1113,0,28.2173,123,123,2,-1,1,1,720.8745,2+,
1,3,87.0602,0,16.2177,295,295,2,-1,1,1,720.8745,2+,
1,19,87.1142,0,16.9246,509,509,2,-1,1,1,720.8745,2+,
1,14,89.0741,0,16.6691,634,634,2,-1,1,1,720.8745,2+,
1,5,104.0895,0,16.2727,146,146,2,-1,1,1,720.8745,2+,
1,2,110.0464,0,16.1803,872,872,2,-1,1,1,720.8745,2+,
1,8,110.0915,0,16.3406,505,505,2,-1,1,1,720.8745,2+,
1,20,115.1073,0,17.0117,147,147,2,-1,1,1,720.8745,2+,
1,21,120.1011,0,17.4205,467,467,2,-1,1,1,720.8745,2+,
1,15,121.0871,0,16.7309,157,157,2,-1,1,1,720.8745,2+,
1,16,122.102,0,16.8366,1413,1413,2,-1,1,1,720.8745,2+,
1,22,129.1243,0,17.4276,718,718,2,-1,1,1,720.8745,2+,
1,23,130.1086,0,17.4559,228,228,2,-1,1,1,720.8745,2+,
1,18,133.1089,0,16.9165,871,871,2,-1,1,1,720.8745,2+,
1,45,134.9869,0,22.2428,133,133,2,-1,1,1,720.8745,2+,
1,26,136.0985,0,18.2855,7719,7719,2,-1,1,1,720.8745,2+,
1,28,137.104,0,18.3293,792,792,2,-1,1,1,720.8745,2+,
