func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,5,55.0636,0,16.3564,180,180,2,-1,1,1,559.2875,2+,
1,9,61.0501,0,16.4375,569,569,2,-1,1,1,559.2875,2+,
1,6,69.0815,0,16.3666,215,215,2,-1,1,1,559.2875,2+,
1,7,70.0765,0,16.3724,3200,3200,2,-1,1,1,559.2875,2+,
1,17,72.0925,0,16.6789,2674,2674,2,-1,1,1,559.2875,2+,
1,14,74.072,0,16.6189,669,669,2,-1,1,1,559.2875,2+,
1,2,80.0251,0,16.227,835,835,2,-1,1,1,559.2875,2+,
1,8,84.0585,0,16.4326,250,250,2,-1,1,1,559.2875,2+,
1,11,84.094,0,16.5089,323,323,2,-1,1,1,559.2875,2+,
1,19,86.1103,0,16.8101,4068,4068,2,-1,1,1,559.2875,2+,
1,4,87.0581,0,16.3109,272,272,2,-1,1,1,559.2875,2+,
1,20,87.1122,0,16.8242,237,237,2,-1,1,1,559.2875,2+,
1,16,89.0742,0,16.6717,915,915,2,-1,1,1,559.2875,2+,
1,41,99.0025,0,19.57,255,255,2,-1,1,1,559.2875,2+,
1,18,102.0705,0,16.7411,336,336,2,-1,1,1,559.2875,2+,
1,1,110.045,0,16.1558,2752,2752,2,-1,1,1,559.2875,2+,
1,12,110.0883,0,16.5123,4585,4585,2,-1,1,1,559.2875,2+,
1,3,110.5469,0,16.2717,220,220,2,-1,1,1,559.2875,2+,
1,13,111.0918,0,16.5584,229,229,2,-1,1,1,559.2875,2+,
1,24,115.104,0,17.2136,471,471,2,-1,1,1,559.2875,2+,
1,23,116.0905,0,17.1099,189,189,2,-1,1,1,559.2875,2+,
1,26,120.1003,0,17.4051,2425,2425,2,-1,1,1,559.2875,2+,
1,10,121.0868,0,16.4666,198,198,2,-1,1,1,559.2875,2+,
1,30,121.1033,0,17.6267,231,231,2,-1,1,1,559.2875,2+,
1,21,122.1003,0,16.8488,979,979,2,-1,1,1,559.2875,2+,
1,104,211.1533,0,25.948,1505,1505,2,-1,1,1,559.2875,2+,
1,181,340.7198,0,31.874298,1346,1346,2,-1,1,1,559.2875,2+,
1,51,159.0444,0,21.0026,1342,1342,2,-1,1,1,559.2875,2+,
1,343,341.29,0,51.2134,1285,1285,2,-1,1,1,559.2875,2+,
1,450,684.4588,0,91.5559,1253,1253,2,-1,1,1,559.2875,2+,
1,385,454.3133,0,58.6698,1251,1251,2,-1,1,1,559.2875,2+,
1,220,285.1806,0,35.4894,1193,1193,2,-1,1,1,559.2875,2+,
1,77,197.0238,0,24.2795,1166,1166,2,-1,1,1,559.2875,2+,
1,421,601.4072,0,75.5256,1163,1163,2,-1,1,1,559.2875,2+,
1,32,136.0973,0,18.26,1122,1122,2,-1,1,1,559.2875,2+,
1,237,454.7449,0,36.3229,1095,1095,2,-1,1,1,559.2875,2+,
1,47,145.0154,0,20.2918,1056,1056,2,-1,1,1,559.2875,2+,
1,454,680.4405,0,93.1158,1037,1037,2,-1,1,1,559.2875,2+,
1,426,543.359,0,78.0488,1015,1015,2,-1,1,1,559.2875,2+,
1,260,438.2921,0,38.8943,1013,1013,2,-1,1,1,559.2875,2+,
1,290,322.9316,0,42.1257,1011,1011,2,-1,1,1,559.2875,2+,
1,22,133.1075,0,16.9068,1007,1007,2,-1,1,1,559.2875,2+,
1,142,403.6969,0,29.0807,1002,1002,2,-1,1,1,559.2875,2+,
1,443,674.4691,0,88.1259,988,988,2,-1,1,1,559.2875,2+,
1,21,122.1003,0,16.8488,979,979,2,-1,1,1,559.2875,2+,
1,50,169.1619,0,20.6024,956,956,2,-1,1,1,559.2875,2+,
1,170,529.6449,0,30.9776,942,942,2,-1,1,1,559.2875,2+,
1,362,381.303,0,54.9555,934,934,2,-1,1,1,559.2875,2+,
1,172,529.9765,0,31.077301,930,930,2,-1,1,1,559.2875,2+,
1,16,89.0742,0,16.6717,915,915,2,-1,1,1,559.2875,2+,
1,102,214.9522,0,25.9043,915,915,2,-1,1,1,559.2875,2+,
1,209,485.2281,0,34.4176,884,884,2,-1,1,1,559.2875,2+,
1,206,433.2319,0,34.2848,883,883,2,-1,1,1,559.2875,2+,
1,196,307.0552,0,33.2359,877,877,2,-1,1,1,559.2875,2+,
1,199,257.1792,0,33.6336,844,844,2,-1,1,1,559.2875,2+,
1,2,80.0251,0,16.227,835,835,2,-1,1,1,559.2875,2+,
1,447,703.4722,0,90.6709,831,831,2,-1,1,1,559.2875,2+,
1,322,382.9729,0,47.4351,827,827,2,-1,1,1,559.2875,2+,
1,173,274.9937,0,31.1846,812,812,2,-1,1,1,559.2875,2+,
1,122,228.1816,0,27.6827,791,791,2,-1,1,1,559.2875,2+,
1,416,561.3484,0,72.7189,782,782,2,-1,1,1,559.2875,2+,
1,37,159.1032,0,19.2277,757,757,2,-1,1,1,559.2875,2+,
1,99,232.9648,0,25.8857,735,735,2,-1,1,1,559.2875,2+,
1,277,528.3054,0,40.8287,725,725,2,-1,1,1,559.2875,2+,
1,67,205.0567,0,23.5573,709,709,2,-1,1,1,559.2875,2+,
1,100,330.2126,0,25.9014,688,688,2,-1,1,1,559.2875,2+,
1,307,334.2421,0,44.6449,674,674,2,-1,1,1,559.2875,2+,
1,273,313.24,0,40.6871,670,670,2,-1,1,1,559.2875,2+,
1,14,74.072,0,16.6189,669,669,2,-1,1,1,559.2875,2+,
1,324,321.2602,0,47.5471,664,664,2,-1,1,1,559.2875,2+,
1,340,378.2367,0,50.9751,654,654,2,-1,1,1,559.2875,2+,
1,128,342.7266,0,27.99,646,646,2,-1,1,1,559.2875,2+,
1,255,316.165,0,38.3626,636,636,2,-1,1,1,559.2875,2+,
1,161,237.1727,0,30.2354,596,596,2,-1,1,1,559.2875,2+,
1,176,264.9647,0,31.601898,590,590,2,-1,1,1,559.2875,2+,
1,146,404.1959,0,29.3217,575,575,2,-1,1,1,559.2875,2+,
1,9,61.0501,0,16.4375,569,569,2,-1,1,1,559.2875,2+,
1,275,528.8032,0,40.7619,557,557,2,-1,1,1,559.2875,2+,
1,195,270.1482,0,33.2344,547,547,2,-1,1,1,559.2875,2+,
1,250,497.7578,0,37.4622,547,547,2,-1,1,1,559.2875,2+,
1,292,358.9577,0,42.4332,537,537,2,-1,1,1,559.2875,2+,
1,354,383.225,0,52.623,534,534,2,-1,1,1,559.2875,2+,
1,253,498.2594,0,37.573,531,531,2,-1,1,1,559.2875,2+,
1,245,283.1895,0,36.9662,525,525,2,-1,1,1,559.2875,2+,
1,202,265.1656,0,33.7262,524,524,2,-1,1,1,559.2875,2+,
1,445,662.408,0,90.2763,524,524,2,-1,1,1,559.2875,2+,
1,216,389.7604,0,35.1357,511,511,2,-1,1,1,559.2875,2+,
1,150,351.7331,0,29.5669,501,501,2,-1,1,1,559.2875,2+,
1,134,232.1757,0,28.3692,493,493,2,-1,1,1,559.2875,2+,
1,357,668.8749,0,52.9594,493,493,2,-1,1,1,559.2875,2+,
1,230,455.2482,0,36.2016,482,482,2,-1,1,1,559.2875,2+,
1,232,487.7605,0,36.2508,480,480,2,-1,1,1,559.2875,2+,
1,24,115.104,0,17.2136,471,471,2,-1,1,1,559.2875,2+,
1,25,143.1051,0,17.2813,470,470,2,-1,1,1,559.2875,2+,
