func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,4,70.0773,0,23.5205,199,199,2,-1,1,1,435.232369,2+,
1,10,151.0353,0,24.6084,1050,1050,2,-1,1,1,435.232369,2+,
1,9,120.1001,0,24.3774,871,871,2,-1,1,1,435.232369,2+,
1,1,93.0276,0,23.1905,296,296,2,-1,1,1,435.232369,2+,
1,2,110.087,0,23.4172,280,280,2,-1,1,1,435.232369,2+,
1,6,100.1279,0,23.7533,226,226,2,-1,1,1,435.232369,2+,
1,5,108.0627,0,23.6043,213,213,2,-1,1,1,435.232369,2+,
1,7,99.0003,0,24.0873,210,210,2,-1,1,1,435.232369,2+,
1,4,70.0773,0,23.5205,199,199,2,-1,1,1,435.232369,2+,
1,8,86.112,0,24.1726,175,175,2,-1,1,1,435.232369,2+,
1,8,86.112,0,24.1726,175,175,2,-1,1,1,435.232369,2+,
1,13,175.147,0,27.5364,170,170,2,-1,1,1,435.232369,2+,
1,13,175.147,0,27.5364,170,170,2,-1,1,1,435.232369,2+,
1,15,191.1487,0,31.513702,164,164,2,-1,1,1,435.232369,2+,
1,15,191.1487,0,31.513702,164,164,2,-1,1,1,435.232369,2+,
1,16,207.017,0,35.2588,163,163,2,-1,1,1,435.232369,2+,
1,12,178.0803,0,26.7899,138,138,2,-1,1,1,435.232369,2+,
1,12,178.0803,0,26.7899,138,138,2,-1,1,1,435.232369,2+,
1,21,679.4279,0,119.6749,132,132,2,-1,1,1,435.232369,2+,
1,11,136.0971,0,26.0286,125,125,2,-1,1,1,435.232369,2+,
1,11,136.0971,0,26.0286,125,125,2,-1,1,1,435.232369,2+,
1,17,219.1476,0,36.2091,113,113,2,-1,1,1,435.232369,2+,
