func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,84.0488,0,16.2325,147,147,2,-1,1,1,777.889637,2+,
1,4,86.1006,0,16.812,1319,1319,2,-1,1,1,777.889637,2+,
1,3,108.995,0,16.494,1273,1273,2,-1,1,1,777.889637,2+,
1,2,110.991,0,16.3619,148,148,2,-1,1,1,777.889637,2+,
1,6,120.0869,0,17.3899,534,534,2,-1,1,1,777.889637,2+,
1,7,136.0828,0,18.0874,1013,1013,2,-1,1,1,777.889637,2+,
1,5,151.0199,0,17.2379,1146,1146,2,-1,1,1,777.889637,2+,
1,8,172.9668,0,18.1832,184,184,2,-1,1,1,777.889637,2+,
1,12,175.1275,0,19.8823,279,279,2,-1,1,1,777.889637,2+,
1,10,178.0608,0,19.1011,137,137,2,-1,1,1,777.889637,2+,
1,17,204.9416,0,20.3633,226,226,2,-1,1,1,777.889637,2+,
1,18,206.9555,0,20.688,1053,1053,2,-1,1,1,777.889637,2+,
1,11,207.9534,0,19.1773,114,114,2,-1,1,1,777.889637,2+,
1,13,208.9551,0,19.8838,940,940,2,-1,1,1,777.889637,2+,
1,15,210.9528,0,20.044,475,475,2,-1,1,1,777.889637,2+,
1,9,212.9464,0,18.9243,260,260,2,-1,1,1,777.889637,2+,
1,14,214.951,0,19.982,218,218,2,-1,1,1,777.889637,2+,
1,16,216.9464,0,20.3478,109,109,2,-1,1,1,777.889637,2+,
1,25,238.9311,0,23.116,228,228,2,-1,1,1,777.889637,2+,
1,23,240.9305,0,22.5991,189,189,2,-1,1,1,777.889637,2+,
1,24,242.9252,0,22.6183,121,121,2,-1,1,1,777.889637,2+,
1,35,249.1718,0,32.8826,945,945,2,-1,1,1,777.889637,2+,
1,37,250.1773,0,34.0016,164,164,2,-1,1,1,777.889637,2+,
1,26,272.9038,0,24.2064,330,330,2,-1,1,1,777.889637,2+,
1,27,274.8989,0,24.5945,183,183,2,-1,1,1,777.889637,2+,
1,39,277.168,0,35.3192,548,548,2,-1,1,1,777.889637,2+,
1,38,278.1731,0,34.9923,114,114,2,-1,1,1,777.889637,2+,
1,28,278.8976,0,25.9052,153,153,2,-1,1,1,777.889637,2+,
1,29,285.9914,0,28.6806,180,180,2,-1,1,1,777.889637,2+,
1,40,300.1709,0,38.5126,132,132,2,-1,1,1,777.889637,2+,
1,36,307.0234,0,33.1931,138,138,2,-1,1,1,777.889637,2+,
1,41,316.1265,0,38.713,141,141,2,-1,1,1,777.889637,2+,
1,21,344.9929,0,21.0749,555,555,2,-1,1,1,777.889637,2+,
1,20,345.9971,0,20.992,616,616,2,-1,1,1,777.889637,2+,
1,22,346.9945,0,21.1156,620,620,2,-1,1,1,777.889637,2+,
1,19,348.9995,0,20.9574,254,254,2,-1,1,1,777.889637,2+,
1,32,421.0068,0,29.399,239,239,2,-1,1,1,777.889637,2+,
1,33,422.0046,0,29.5649,318,318,2,-1,1,1,777.889637,2+,
1,42,422.8573,0,43.956,115,115,2,-1,1,1,777.889637,2+,
1,30,423.0106,0,28.9801,274,274,2,-1,1,1,777.889637,2+,
1,31,425.0071,0,29.119,121,121,2,-1,1,1,777.889637,2+,
1,44,440.2435,0,58.3626,273,273,2,-1,1,1,777.889637,2+,
1,34,475.9204,0,30.7621,105,105,2,-1,1,1,777.889637,2+,
1,48,565.3384,0,82.9915,328,328,2,-1,1,1,777.889637,2+,
1,43,582.2827,0,50.1867,126,126,2,-1,1,1,777.889637,2+,
1,50,728.4159,0,101.1291,223,223,2,-1,1,1,777.889637,2+,
1,47,776.9174,0,68.1166,189,189,2,-1,1,1,777.889637,2+,
1,46,777.4243,0,67.1381,208,208,2,-1,1,1,777.889637,2+,
1,45,777.9147,0,67.0947,124,124,2,-1,1,1,777.889637,2+,
1,49,799.4467,0,99.8308,418,418,2,-1,1,1,777.889637,2+,
1,51,847.472,0,112.2357,258,258,2,-1,1,1,777.889637,2+,
1,52,848.4927,0,113.7178,208,208,2,-1,1,1,777.889637,2+,
1,53,870.4936,0,120.141,344,344,2,-1,1,1,777.889637,2+,
1,54,1002.5286,0,131.8961,239,239,2,-1,1,1,777.889637,2+,
1,55,1002.5395,0,138.7562,258,258,2,-1,1,1,777.889637,2+,
1,56,1003.5295,0,139.8059,203,203,2,-1,1,1,777.889637,2+,
