func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,70.0721,0,16.3724,169,169,2,-1,1,1,790.922522,2+,
1,2,84.0489,0,16.3758,372,372,2,-1,1,1,790.922522,2+,
1,5,86.102,0,16.8205,1212,1212,2,-1,1,1,790.922522,2+,
1,3,108.9963,0,16.3905,779,779,2,-1,1,1,790.922522,2+,
1,8,120.088,0,17.3346,361,361,2,-1,1,1,790.922522,2+,
1,6,129.0741,0,17.1675,211,211,2,-1,1,1,790.922522,2+,
1,9,129.1121,0,17.6264,170,170,2,-1,1,1,790.922522,2+,
1,4,130.0727,0,16.7755,198,198,2,-1,1,1,790.922522,2+,
1,10,136.0845,0,17.9935,243,243,2,-1,1,1,790.922522,2+,
1,7,151.0212,0,17.3046,691,691,2,-1,1,1,790.922522,2+,
1,17,159.1014,0,20.1053,428,428,2,-1,1,1,790.922522,2+,
1,20,169.1426,0,20.6869,123,123,2,-1,1,1,790.922522,2+,
1,11,170.0718,0,18.2533,158,158,2,-1,1,1,790.922522,2+,
1,15,175.1294,0,19.9767,231,231,2,-1,1,1,790.922522,2+,
1,26,196.1582,0,25.75,200,200,2,-1,1,1,790.922522,2+,
1,23,197.1404,0,23.1591,578,578,2,-1,1,1,790.922522,2+,
1,18,206.9583,0,20.4784,495,495,2,-1,1,1,790.922522,2+,
1,16,208.9589,0,20.0573,635,635,2,-1,1,1,790.922522,2+,
1,14,210.9522,0,19.6346,311,311,2,-1,1,1,790.922522,2+,
1,12,212.9486,0,18.5425,154,154,2,-1,1,1,790.922522,2+,
1,27,214.1672,0,26.4827,3134,3134,2,-1,1,1,790.922522,2+,
1,13,214.9471,0,19.2224,128,128,2,-1,1,1,790.922522,2+,
1,28,215.1712,0,26.7335,472,472,2,-1,1,1,790.922522,2+,
1,34,224.1535,0,30.7027,255,255,2,-1,1,1,790.922522,2+,
1,32,226.1725,0,30.2161,125,125,2,-1,1,1,790.922522,2+,
1,24,238.9355,0,23.4983,133,133,2,-1,1,1,790.922522,2+,
