func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,3,72.0939,0,23.7672,209,209,2,-1,1,1,422.2533015,2+,
1,4,86.1103,0,23.9007,179,179,2,-1,1,1,422.2533015,2+,
1,2,93.0258,0,23.4594,183,183,2,-1,1,1,422.2533015,2+,
1,1,109.0087,0,23.4586,181,181,2,-1,1,1,422.2533015,2+,
1,5,151.0328,0,24.9337,142,142,2,-1,1,1,422.2533015,2+,
1,10,185.192,0,34.3625,149,149,2,-1,1,1,422.2533015,2+,
1,9,210.0561,0,30.623,155,155,2,-1,1,1,422.2533015,2+,
1,9,210.0561,0,30.623,155,155,2,-1,1,1,422.2533015,2+,
1,10,185.192,0,34.3625,149,149,2,-1,1,1,422.2533015,2+,
1,5,151.0328,0,24.9337,142,142,2,-1,1,1,422.2533015,2+,
1,6,312.0395,0,27.6943,132,132,2,-1,1,1,422.2533015,2+,
