func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,5,56.0528,0,15.997799,723,723,2,-1,1,-1,633.3155,2+,
1,7,70.0688,0,16.018,1600,1600,2,-1,1,-1,633.3155,2+,
1,3,72.0842,0,15.9596,475,475,2,-1,1,-1,633.3155,2+,
1,11,81.0476,0,16.0876,266,266,2,-1,1,-1,633.3155,2+,
1,6,82.0549,0,16.0003,196,196,2,-1,1,-1,633.3155,2+,
1,9,83.0628,0,16.0432,2265,2265,2,-1,1,-1,633.3155,2+,
1,8,84.0472,0,16.0424,3076,3076,2,-1,1,-1,633.3155,2+,
1,2,84.0841,0,15.9016,258,258,2,-1,1,-1,633.3155,2+,
1,13,86.0993,0,16.1001,822,822,2,-1,1,-1,633.3155,2+,
1,4,93.0476,0,15.971001,1172,1172,2,-1,1,-1,633.3155,2+,
1,18,101.0743,0,16.166,974,974,2,-1,1,-1,633.3155,2+,
1,1,103.057,0,15.895,287,287,2,-1,1,-1,633.3155,2+,
1,14,110.072,0,16.1052,15026,15026,2,-1,1,-1,633.3155,2+,
1,10,111.0777,0,16.0609,1303,1303,2,-1,1,-1,633.3155,2+,
1,15,112.0893,0,16.1107,186,186,2,-1,1,-1,633.3155,2+,
1,30,115.0908,0,16.3135,175,175,2,-1,1,-1,633.3155,2+,
1,16,116.0746,0,16.1162,440,440,2,-1,1,-1,633.3155,2+,
1,21,120.0837,0,16.2063,5325,5325,2,-1,1,-1,633.3155,2+,
1,12,121.0465,0,16.0977,191,191,2,-1,1,-1,633.3155,2+,
1,17,121.0871,0,16.1337,499,499,2,-1,1,-1,633.3155,2+,
1,27,123.0614,0,16.2782,251,251,2,-1,1,-1,633.3155,2+,
1,20,128.0856,0,16.2015,349,349,2,-1,1,-1,633.3155,2+,
1,22,129.0705,0,16.2114,1027,1027,2,-1,1,-1,633.3155,2+,
1,25,130.0711,0,16.2398,272,272,2,-1,1,-1,633.3155,2+,
1,29,136.0807,0,16.3017,251,251,2,-1,1,-1,633.3155,2+,
1,23,138.0689,0,16.2229,208,208,2,-1,1,-1,633.3155,2+,
