func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,2,100.0476,0,15.922199,371,371,2,-1,1,1,642.3615,2+,
1,3,101.056,0,16.0139,1058,1058,2,-1,1,1,642.3615,2+,
1,7,110.0671,0,16.0493,2908,2908,2,-1,1,1,642.3615,2+,
1,4,111.0407,0,16.0143,2490,2490,2,-1,1,1,642.3615,2+,
1,1,111.0715,0,15.893,228,228,2,-1,1,1,642.3615,2+,
1,18,113.0545,0,16.1843,333,333,2,-1,1,1,642.3615,2+,
1,11,114.0869,0,16.1064,9313,9313,2,-1,1,1,642.3615,2+,
1,8,115.0909,0,16.061,732,732,2,-1,1,1,642.3615,2+,
1,15,119.0817,0,16.1662,383,383,2,-1,1,1,642.3615,2+,
1,17,120.0795,0,16.1735,270,270,2,-1,1,1,642.3615,2+,
1,10,121.0977,0,16.0896,162,162,2,-1,1,1,642.3615,2+,
1,13,127.0711,0,16.1303,422,422,2,-1,1,1,642.3615,2+,
1,16,129.0506,0,16.1703,290,290,2,-1,1,1,642.3615,2+,
1,24,131.0803,0,16.243,149,149,2,-1,1,1,642.3615,2+,
1,12,133.0799,0,16.1301,286,286,2,-1,1,1,642.3615,2+,
1,22,136.0713,0,16.2341,497,497,2,-1,1,1,642.3615,2+,
1,5,137.0568,0,16.0214,231,231,2,-1,1,1,642.3615,2+,
1,27,137.1283,0,16.2867,306,306,2,-1,1,1,642.3615,2+,
1,37,138.086,0,16.4377,204,204,2,-1,1,1,642.3615,2+,
1,19,147.0753,0,16.2017,1147,1147,2,-1,1,1,642.3615,2+,
1,6,152.1023,0,16.0272,157,157,2,-1,1,1,642.3615,2+,
1,20,155.0636,0,16.2062,7755,7755,2,-1,1,1,642.3615,2+,
1,21,156.0697,0,16.2078,484,484,2,-1,1,1,642.3615,2+,
1,14,158.0832,0,16.1526,143,143,2,-1,1,1,642.3615,2+,
1,29,164.1006,0,16.3241,214,214,2,-1,1,1,642.3615,2+,
1,30,169.0818,0,16.3275,433,433,2,-1,1,1,642.3615,2+,
1,9,170.0889,0,16.077,150,150,2,-1,1,1,642.3615,2+,
1,44,171.1299,0,16.5617,230,230,2,-1,1,1,642.3615,2+,
1,23,173.0722,0,16.2378,10855,10855,2,-1,1,1,642.3615,2+,
1,26,174.0759,0,16.2566,1048,1048,2,-1,1,1,642.3615,2+,
1,32,175.043,0,16.3377,228,228,2,-1,1,1,642.3615,2+,
1,31,175.1124,0,16.3312,711,711,2,-1,1,1,642.3615,2+,
1,33,177.1048,0,16.3617,243,243,2,-1,1,1,642.3615,2+,
1,36,181.0891,0,16.4359,576,576,2,-1,1,1,642.3615,2+,
1,70,185.004,0,17.199,144,144,2,-1,1,1,642.3615,2+,
1,25,186.0758,0,16.2516,205,205,2,-1,1,1,642.3615,2+,
1,28,187.0898,0,16.3236,1546,1546,2,-1,1,1,642.3615,2+,
1,40,188.0918,0,16.4698,182,182,2,-1,1,1,642.3615,2+,
1,34,189.0343,0,16.3662,165,165,2,-1,1,1,642.3615,2+,
1,58,190.1162,0,16.8705,158,158,2,-1,1,1,642.3615,2+,
1,51,192.0965,0,16.6734,167,167,2,-1,1,1,642.3615,2+,
1,41,193.09,0,16.515,359,359,2,-1,1,1,642.3615,2+,
1,35,195.1095,0,16.4311,254,254,2,-1,1,1,642.3615,2+,
1,42,199.0971,0,16.5407,820,820,2,-1,1,1,642.3615,2+,
1,39,200.1006,0,16.4648,183,183,2,-1,1,1,642.3615,2+,
1,38,201.0407,0,16.4503,316,316,2,-1,1,1,642.3615,2+,
1,49,203.0556,0,16.6464,647,647,2,-1,1,1,642.3615,2+,
1,47,213.1036,0,16.5927,1102,1102,2,-1,1,1,642.3615,2+,
1,57,214.1078,0,16.8672,206,206,2,-1,1,1,642.3615,2+,
1,48,217.098,0,16.6353,2949,2949,2,-1,1,1,642.3615,2+,
1,56,218.1032,0,16.8545,288,288,2,-1,1,1,642.3615,2+,
1,60,219.0589,0,16.9394,3513,3513,2,-1,1,1,642.3615,2+,
1,85,219.1652,0,17.9486,284,284,2,-1,1,1,642.3615,2+,
1,55,220.0537,0,16.8507,535,535,2,-1,1,1,642.3615,2+,
1,62,226.1056,0,17.0277,170,170,2,-1,1,1,642.3615,2+,
1,69,227.097,0,17.1439,351,351,2,-1,1,1,642.3615,2+,
1,101,227.1913,0,22.5252,355,355,2,-1,1,1,642.3615,2+,
1,59,228.1171,0,16.9297,186,186,2,-1,1,1,642.3615,2+,
1,75,229.0313,0,17.5218,562,562,2,-1,1,1,642.3615,2+,
1,61,231.1174,0,16.9754,649,649,2,-1,1,1,642.3615,2+,
1,64,233.0637,0,17.0462,352,352,2,-1,1,1,642.3615,2+,
1,54,234.0857,0,16.8362,1348,1348,2,-1,1,1,642.3615,2+,
1,78,235.1085,0,17.6114,1866,1866,2,-1,1,1,642.3615,2+,
1,74,236.1113,0,17.5047,350,350,2,-1,1,1,642.3615,2+,
1,77,237.0785,0,17.5513,441,441,2,-1,1,1,642.3615,2+,
1,90,237.1515,0,18.7537,337,337,2,-1,1,1,642.3615,2+,
1,53,239.1372,0,16.8162,168,168,2,-1,1,1,642.3615,2+,
1,83,243.0457,0,17.7845,204,204,2,-1,1,1,642.3615,2+,
1,89,244.1569,0,18.7387,148,148,2,-1,1,1,642.3615,2+,
1,68,245.0658,0,17.1012,171,171,2,-1,1,1,642.3615,2+,
1,72,247.0417,0,17.4333,149,149,2,-1,1,1,642.3615,2+,
1,84,247.0952,0,17.9341,168,168,2,-1,1,1,642.3615,2+,
1,119,255.2226,0,27.9348,1014,1014,2,-1,1,1,642.3615,2+,
1,118,256.2239,0,27.9284,240,240,2,-1,1,1,642.3615,2+,
1,86,257.0637,0,17.9819,317,317,2,-1,1,1,642.3615,2+,
1,82,259.08,0,17.7683,356,356,2,-1,1,1,642.3615,2+,
1,76,261.1224,0,17.5253,216,216,2,-1,1,1,642.3615,2+,
1,95,263.0926,0,20.3142,483,483,2,-1,1,1,642.3615,2+,
1,91,265.1005,0,18.7742,192,192,2,-1,1,1,642.3615,2+,
1,96,271.167,0,20.8341,147,147,2,-1,1,1,642.3615,2+,
1,50,272.1108,0,16.6489,334,334,2,-1,1,1,642.3615,2+,
1,80,277.0828,0,17.7021,303,303,2,-1,1,1,642.3615,2+,
1,46,278.0789,0,16.572,310,310,2,-1,1,1,642.3615,2+,
1,67,279.1209,0,17.0925,359,359,2,-1,1,1,642.3615,2+,
1,102,281.1012,0,23.2765,448,448,2,-1,1,1,642.3615,2+,
1,128,281.2369,0,29.5319,195,195,2,-1,1,1,642.3615,2+,
1,140,283.2531,0,32.9381,417,417,2,-1,1,1,642.3615,2+,
1,143,284.253,0,33.446,133,133,2,-1,1,1,642.3615,2+,
1,45,285.0848,0,16.5634,308,308,2,-1,1,1,642.3615,2+,
1,66,286.1276,0,17.0812,206,206,2,-1,1,1,642.3615,2+,
1,94,291.0642,0,20.0055,356,356,2,-1,1,1,642.3615,2+,
1,100,301.1775,0,21.8819,143,143,2,-1,1,1,642.3615,2+,
1,97,303.0646,0,21.4026,1015,1015,2,-1,1,1,642.3615,2+,
1,98,304.0741,0,21.5226,208,208,2,-1,1,1,642.3615,2+,
1,92,305.1463,0,19.0512,368,368,2,-1,1,1,642.3615,2+,
1,147,309.2677,0,35.0562,2633,2633,2,-1,1,1,642.3615,2+,
1,146,310.2721,0,35.0272,647,647,2,-1,1,1,642.3615,2+,
1,148,311.2732,0,36.5539,168,168,2,-1,1,1,642.3615,2+,
1,73,325.6847,0,17.4486,138,138,2,-1,1,1,642.3615,2+,
1,104,327.1331,0,24.0961,461,461,2,-1,1,1,642.3615,2+,
1,105,328.1233,0,24.969,158,158,2,-1,1,1,642.3615,2+,
1,112,335.1104,0,26.4151,3063,3063,2,-1,1,1,642.3615,2+,
1,113,336.1163,0,26.6329,684,684,2,-1,1,1,642.3615,2+,
1,93,338.689,0,19.1451,226,226,2,-1,1,1,642.3615,2+,
1,122,340.133,0,28.2806,215,215,2,-1,1,1,642.3615,2+,
1,107,345.14,0,25.2339,5822,5822,2,-1,1,1,642.3615,2+,
1,108,346.139,0,25.2417,1692,1692,2,-1,1,1,642.3615,2+,
1,106,347.1461,0,25.0184,296,296,2,-1,1,1,642.3615,2+,
1,134,349.04,0,31.4197,225,225,2,-1,1,1,642.3615,2+,
1,117,349.123,0,27.8824,140,140,2,-1,1,1,642.3615,2+,
1,110,357.0726,0,25.7995,930,930,2,-1,1,1,642.3615,2+,
1,111,358.0806,0,25.984,128,128,2,-1,1,1,642.3615,2+,
1,115,359.1602,0,27.5381,612,612,2,-1,1,1,642.3615,2+,
1,120,360.1641,0,27.9883,184,184,2,-1,1,1,642.3615,2+,
1,43,360.2088,0,16.5553,142,142,2,-1,1,1,642.3615,2+,
1,52,364.1118,0,16.6874,314,314,2,-1,1,1,642.3615,2+,
1,135,366.1474,0,31.704002,270,270,2,-1,1,1,642.3615,2+,
1,103,367.116,0,24.0027,112,112,2,-1,1,1,642.3615,2+,
1,116,368.157,0,27.6798,823,823,2,-1,1,1,642.3615,2+,
1,130,369.2241,0,30.7423,495,495,2,-1,1,1,642.3615,2+,
1,144,370.2122,0,33.8046,292,292,2,-1,1,1,642.3615,2+,
1,121,371.0909,0,28.1873,383,383,2,-1,1,1,642.3615,2+,
1,65,371.1156,0,17.0504,512,512,2,-1,1,1,642.3615,2+,
1,145,371.209,0,33.8384,126,126,2,-1,1,1,642.3615,2+,
1,63,371.6187,0,17.0435,176,176,2,-1,1,1,642.3615,2+,
1,127,373.17,0,29.3867,148,148,2,-1,1,1,642.3615,2+,
1,71,378.1175,0,17.3667,209,209,2,-1,1,1,642.3615,2+,
1,125,383.0892,0,28.7747,220,220,2,-1,1,1,642.3615,2+,
1,153,384.2497,0,37.4191,127,127,2,-1,1,1,642.3615,2+,
1,137,385.1667,0,32.3163,318,318,2,-1,1,1,642.3615,2+,
1,129,389.165,0,30.5143,708,708,2,-1,1,1,642.3615,2+,
1,132,390.158,0,30.8937,411,411,2,-1,1,1,642.3615,2+,
1,138,391.1478,0,32.3666,149,149,2,-1,1,1,642.3615,2+,
1,109,394.2222,0,25.4151,124,124,2,-1,1,1,642.3615,2+,
1,131,397.1014,0,30.7916,187,187,2,-1,1,1,642.3615,2+,
1,126,401.0986,0,29.1644,1102,1102,2,-1,1,1,642.3615,2+,
1,158,401.2761,0,41.9715,135,135,2,-1,1,1,642.3615,2+,
1,123,402.0997,0,28.2824,276,276,2,-1,1,1,642.3615,2+,
1,142,403.18,0,33.4343,270,270,2,-1,1,1,642.3615,2+,
1,87,405.9003,0,18.1417,163,163,2,-1,1,1,642.3615,2+,
1,88,406.2398,0,18.4461,112,112,2,-1,1,1,642.3615,2+,
1,124,407.2328,0,28.4325,152,152,2,-1,1,1,642.3615,2+,
1,79,414.0118,0,17.6701,254,254,2,-1,1,1,642.3615,2+,
1,81,414.5101,0,17.7514,143,143,2,-1,1,1,642.3615,2+,
1,136,415.1108,0,31.8783,700,700,2,-1,1,1,642.3615,2+,
1,139,416.1177,0,32.5933,168,168,2,-1,1,1,642.3615,2+,
1,114,425.1266,0,26.8673,123,123,2,-1,1,1,642.3615,2+,
1,99,442.918,0,21.8176,110,110,2,-1,1,1,642.3615,2+,
1,152,451.1021,0,37.3417,278,278,2,-1,1,1,642.3615,2+,
1,155,455.1737,0,39.5956,106,106,2,-1,1,1,642.3615,2+,
1,157,461.1872,0,40.8594,298,298,2,-1,1,1,642.3615,2+,
1,156,473.1827,0,40.6318,107,107,2,-1,1,1,642.3615,2+,
1,166,479.2323,0,48.068,506,506,2,-1,1,1,642.3615,2+,
1,165,480.24,0,47.9196,130,130,2,-1,1,1,642.3615,2+,
1,161,483.1687,0,45.3957,119,119,2,-1,1,1,642.3615,2+,
1,169,488.2453,0,51.6086,381,381,2,-1,1,1,642.3615,2+,
1,168,489.2585,0,51.0928,143,143,2,-1,1,1,642.3615,2+,
1,172,505.3462,0,56.246,1305,1305,2,-1,1,1,642.3615,2+,
1,174,506.3447,0,56.9704,569,569,2,-1,1,1,642.3615,2+,
1,173,507.3535,0,56.3863,169,169,2,-1,1,1,642.3615,2+,
1,160,517.2121,0,45.1837,335,335,2,-1,1,1,642.3615,2+,
1,170,527.1767,0,52.7677,127,127,2,-1,1,1,642.3615,2+,
1,159,529.141,0,43.0552,244,244,2,-1,1,1,642.3615,2+,
1,163,531.2256,0,47.3949,1649,1649,2,-1,1,1,642.3615,2+,
1,164,532.2239,0,47.6332,387,387,2,-1,1,1,642.3615,2+,
1,162,543.1614,0,46.1371,192,192,2,-1,1,1,642.3615,2+,
1,171,560.2469,0,55.4833,151,151,2,-1,1,1,642.3615,2+,
1,141,573.8016,0,33.2692,140,140,2,-1,1,1,642.3615,2+,
1,167,587.1748,0,50.278,146,146,2,-1,1,1,642.3615,2+,
1,179,587.3609,0,66.5734,342,342,2,-1,1,1,642.3615,2+,
1,181,588.3815,0,67.6714,135,135,2,-1,1,1,642.3615,2+,
1,149,633.3252,0,37.0899,1158,1158,2,-1,1,1,642.3615,2+,
1,151,633.8254,0,37.1472,930,930,2,-1,1,1,642.3615,2+,
1,150,634.3319,0,37.1,448,448,2,-1,1,1,642.3615,2+,
1,180,641.3517,0,67.5546,225,225,2,-1,1,1,642.3615,2+,
1,186,641.4624,0,83.3929,627,627,2,-1,1,1,642.3615,2+,
1,182,642.3248,0,71.8496,147,147,2,-1,1,1,642.3615,2+,
1,154,642.3377,0,38.0433,143,143,2,-1,1,1,642.3615,2+,
1,187,642.4723,0,83.422,363,363,2,-1,1,1,642.3615,2+,
1,175,643.3013,0,59.9023,31730,31730,2,-1,1,1,642.3615,2+,
1,183,643.4681,0,79.208,126,126,2,-1,1,1,642.3615,2+,
1,177,644.3073,0,59.9753,11293,11293,2,-1,1,1,642.3615,2+,
1,176,645.3074,0,59.9579,5460,5460,2,-1,1,1,642.3615,2+,
1,133,645.3193,0,31.412498,213,213,2,-1,1,1,642.3615,2+,
1,185,645.4702,0,79.565,412,412,2,-1,1,1,642.3615,2+,
1,178,646.3188,0,61.0682,232,232,2,-1,1,1,642.3615,2+,
1,184,686.4298,0,79.2806,366,366,2,-1,1,1,642.3615,2+,
1,188,757.4661,0,86.7909,469,469,2,-1,1,1,642.3615,2+,
1,189,758.4714,0,89.2723,172,172,2,-1,1,1,642.3615,2+,
1,191,920.5213,0,122.8982,496,496,2,-1,1,1,642.3615,2+,
1,190,921.5267,0,120.3116,337,337,2,-1,1,1,642.3615,2+,
1,192,1049.5676,0,135.0119,333,333,2,-1,1,1,642.3615,2+,
1,193,1050.573,0,136.1967,212,212,2,-1,1,1,642.3615,2+,
1,194,1146.616,0,159.0042,455,455,2,-1,1,1,642.3615,2+,
