func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,6,101.0452,0,15.9813,842,842,2,-1,1,1,740.4035,2+,
1,13,102.0394,0,16.068,1939,1939,2,-1,1,1,740.4035,2+,
1,9,103.0407,0,16.0426,255,255,2,-1,1,1,740.4035,2+,
1,11,105.0275,0,16.0668,175,175,2,-1,1,1,740.4035,2+,
1,23,107.0327,0,16.1469,571,571,2,-1,1,1,740.4035,2+,
1,2,109.0115,0,15.941101,219,219,2,-1,1,1,740.4035,2+,
1,1,110.0527,0,15.9333,164,164,2,-1,1,1,740.4035,2+,
1,17,111.0275,0,16.1048,1545,1545,2,-1,1,1,740.4035,2+,
1,4,112.0306,0,15.9564,162,162,2,-1,1,1,740.4035,2+,
1,15,114.0751,0,16.0768,1190,1190,2,-1,1,1,740.4035,2+,
1,3,116.0524,0,15.951599,244,244,2,-1,1,1,740.4035,2+,
1,7,119.0322,0,16.0074,530,530,2,-1,1,1,740.4035,2+,
1,8,119.07,0,16.0342,366,366,2,-1,1,1,740.4035,2+,
1,20,120.0628,0,16.1301,3055,3055,2,-1,1,1,740.4035,2+,
1,33,121.0666,0,16.237,415,415,2,-1,1,1,740.4035,2+,
1,18,123.0257,0,16.1065,220,220,2,-1,1,1,740.4035,2+,
1,10,127.0197,0,16.05,378,378,2,-1,1,1,740.4035,2+,
1,26,129.037,0,16.1783,357,357,2,-1,1,1,740.4035,2+,
1,16,130.0307,0,16.1029,480,480,2,-1,1,1,740.4035,2+,
1,31,130.0759,0,16.231,170,170,2,-1,1,1,740.4035,2+,
1,5,133.0673,0,15.968899,466,466,2,-1,1,1,740.4035,2+,
1,21,135.0349,0,16.1381,233,233,2,-1,1,1,740.4035,2+,
1,30,136.0553,0,16.221,4831,4831,2,-1,1,1,740.4035,2+,
1,32,137.0584,0,16.2329,454,454,2,-1,1,1,740.4035,2+,
1,44,137.1142,0,16.333,180,180,2,-1,1,1,740.4035,2+,
1,14,141.0474,0,16.0693,258,258,2,-1,1,1,740.4035,2+,
1,39,143.097,0,16.2694,500,500,2,-1,1,1,740.4035,2+,
1,25,147.0585,0,16.1695,1113,1113,2,-1,1,1,740.4035,2+,
1,27,148.0563,0,16.1816,295,295,2,-1,1,1,740.4035,2+,
1,24,152.0846,0,16.165,218,218,2,-1,1,1,740.4035,2+,
1,28,155.0474,0,16.185,2869,2869,2,-1,1,1,740.4035,2+,
1,42,156.0525,0,16.305,385,385,2,-1,1,1,740.4035,2+,
1,29,156.0786,0,16.2093,282,282,2,-1,1,1,740.4035,2+,
1,34,158.0682,0,16.2473,383,383,2,-1,1,1,740.4035,2+,
1,40,159.052,0,16.2738,322,322,2,-1,1,1,740.4035,2+,
1,37,160.0734,0,16.2572,163,163,2,-1,1,1,740.4035,2+,
1,51,164.0831,0,16.3719,182,182,2,-1,1,1,740.4035,2+,
1,36,169.0618,0,16.2539,470,470,2,-1,1,1,740.4035,2+,
1,43,170.0209,0,16.3136,261,261,2,-1,1,1,740.4035,2+,
1,53,171.0879,0,16.4396,1670,1670,2,-1,1,1,740.4035,2+,
1,64,172.0889,0,16.5735,196,196,2,-1,1,1,740.4035,2+,
1,38,173.0546,0,16.2649,5329,5329,2,-1,1,1,740.4035,2+,
1,22,174.0588,0,16.1468,974,974,2,-1,1,1,740.4035,2+,
1,49,175.0935,0,16.3593,1970,1970,2,-1,1,1,740.4035,2+,
1,45,176.0928,0,16.3425,213,213,2,-1,1,1,740.4035,2+,
1,48,177.0807,0,16.3579,698,698,2,-1,1,1,740.4035,2+,
1,46,178.0941,0,16.3452,221,221,2,-1,1,1,740.4035,2+,
1,12,183.0461,0,16.0669,164,164,2,-1,1,1,740.4035,2+,
1,35,185.0321,0,16.2493,203,203,2,-1,1,1,740.4035,2+,
1,55,186.0589,0,16.454,360,360,2,-1,1,1,740.4035,2+,
1,50,187.0674,0,16.3679,1794,1794,2,-1,1,1,740.4035,2+,
1,19,188.0713,0,16.1137,291,291,2,-1,1,1,740.4035,2+,
1,57,189.0153,0,16.4965,134,134,2,-1,1,1,740.4035,2+,
1,63,193.0678,0,16.5656,393,393,2,-1,1,1,740.4035,2+,
1,41,195.0846,0,16.2764,287,287,2,-1,1,1,740.4035,2+,
1,47,199.0688,0,16.3479,221,221,2,-1,1,1,740.4035,2+,
1,66,201.0164,0,16.5881,266,266,2,-1,1,1,740.4035,2+,
1,58,202.0557,0,16.5402,183,183,2,-1,1,1,740.4035,2+,
1,60,203.0314,0,16.5541,929,929,2,-1,1,1,740.4035,2+,
1,54,204.0395,0,16.4515,154,154,2,-1,1,1,740.4035,2+,
1,83,204.1076,0,17.1355,187,187,2,-1,1,1,740.4035,2+,
1,52,205.0643,0,16.4115,224,224,2,-1,1,1,740.4035,2+,
1,67,213.0816,0,16.6118,749,749,2,-1,1,1,740.4035,2+,
