func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,2,100.0437,0,15.9748,290,290,2,-1,1,1,710.353,2+,
1,11,101.054,0,16.152,514,514,2,-1,1,1,710.353,2+,
1,1,103.0695,0,15.9021,204,204,2,-1,1,1,710.353,2+,
1,8,110.0653,0,16.1097,909,909,2,-1,1,1,710.353,2+,
1,5,111.0387,0,16.065,1095,1095,2,-1,1,1,710.353,2+,
1,4,112.0205,0,16.0596,579,579,2,-1,1,1,710.353,2+,
1,6,114.0849,0,16.0754,1172,1172,2,-1,1,1,710.353,2+,
1,3,119.0782,0,16.0227,409,409,2,-1,1,1,710.353,2+,
1,12,120.0741,0,16.1689,326,326,2,-1,1,1,710.353,2+,
1,9,122.0752,0,16.1188,263,263,2,-1,1,1,710.353,2+,
1,7,127.0706,0,16.0905,222,222,2,-1,1,1,710.353,2+,
1,15,133.0785,0,16.1866,226,226,2,-1,1,1,710.353,2+,
1,29,136.0678,0,16.3895,159,159,2,-1,1,1,710.353,2+,
1,19,137.1267,0,16.2538,157,157,2,-1,1,1,710.353,2+,
1,18,138.0852,0,16.2482,145,145,2,-1,1,1,710.353,2+,
1,10,147.0714,0,16.1332,1351,1351,2,-1,1,1,710.353,2+,
1,22,152.0946,0,16.3026,194,194,2,-1,1,1,710.353,2+,
1,14,155.0613,0,16.1864,2755,2755,2,-1,1,1,710.353,2+,
1,21,156.0642,0,16.295,395,395,2,-1,1,1,710.353,2+,
1,24,169.0768,0,16.333,329,329,2,-1,1,1,710.353,2+,
1,17,173.0705,0,16.2303,4295,4295,2,-1,1,1,710.353,2+,
1,23,173.122,0,16.3192,177,177,2,-1,1,1,710.353,2+,
1,13,174.0739,0,16.1772,677,677,2,-1,1,1,710.353,2+,
1,20,175.0778,0,16.2691,333,333,2,-1,1,1,710.353,2+,
1,32,186.0754,0,16.4547,343,343,2,-1,1,1,710.353,2+,
1,27,187.0865,0,16.3777,656,656,2,-1,1,1,710.353,2+,
1,40,190.1108,0,16.646,160,160,2,-1,1,1,710.353,2+,
1,26,193.0834,0,16.3501,181,181,2,-1,1,1,710.353,2+,
1,28,195.1021,0,16.3893,268,268,2,-1,1,1,710.353,2+,
1,16,199.0856,0,16.2214,186,186,2,-1,1,1,710.353,2+,
1,30,200.1176,0,16.3966,377,377,2,-1,1,1,710.353,2+,
1,25,201.0373,0,16.3494,283,283,2,-1,1,1,710.353,2+,
1,31,203.0534,0,16.4495,521,521,2,-1,1,1,710.353,2+,
1,42,213.1012,0,16.746,595,595,2,-1,1,1,710.353,2+,
1,37,217.0945,0,16.5917,1748,1748,2,-1,1,1,710.353,2+,
1,38,218.0982,0,16.604,387,387,2,-1,1,1,710.353,2+,
1,44,219.0475,0,16.768,2148,2148,2,-1,1,1,710.353,2+,
1,34,220.0503,0,16.5647,328,328,2,-1,1,1,710.353,2+,
1,49,226.094,0,16.9422,3373,3373,2,-1,1,1,710.353,2+,
1,52,227.0976,0,16.9733,492,492,2,-1,1,1,710.353,2+,
1,45,228.1093,0,16.829,2224,2224,2,-1,1,1,710.353,2+,
1,56,229.0219,0,17.5307,181,181,2,-1,1,1,710.353,2+,
1,48,229.107,0,16.9193,210,210,2,-1,1,1,710.353,2+,
1,53,231.1097,0,16.9854,1258,1258,2,-1,1,1,710.353,2+,
1,47,232.1124,0,16.8433,162,162,2,-1,1,1,710.353,2+,
1,51,233.0615,0,16.9711,319,319,2,-1,1,1,710.353,2+,
1,55,239.0975,0,17.5291,239,239,2,-1,1,1,710.353,2+,
1,54,243.0423,0,17.1974,479,479,2,-1,1,1,710.353,2+,
1,85,255.2204,0,28.2706,233,233,2,-1,1,1,710.353,2+,
1,66,259.1565,0,22.5078,177,177,2,-1,1,1,710.353,2+,
1,39,272.1058,0,16.6263,495,495,2,-1,1,1,710.353,2+,
1,58,277.0793,0,17.8928,1392,1392,2,-1,1,1,710.353,2+,
1,36,278.0737,0,16.5682,210,210,2,-1,1,1,710.353,2+,
1,46,279.1143,0,16.8427,506,506,2,-1,1,1,710.353,2+,
1,41,279.617,0,16.6928,153,153,2,-1,1,1,710.353,2+,
1,68,281.101,0,23.8177,123,123,2,-1,1,1,710.353,2+,
1,95,281.2332,0,30.7251,133,133,2,-1,1,1,710.353,2+,
1,103,283.2483,0,33.6456,154,154,2,-1,1,1,710.353,2+,
1,33,285.08,0,16.56,205,205,2,-1,1,1,710.353,2+,
1,62,286.1491,0,20.716,2107,2107,2,-1,1,1,710.353,2+,
1,61,287.1476,0,20.596,257,257,2,-1,1,1,710.353,2+,
1,65,307.124,0,22.0965,703,703,2,-1,1,1,710.353,2+,
1,105,309.263,0,34.7277,380,380,2,-1,1,1,710.353,2+,
1,84,320.1613,0,27.7826,200,200,2,-1,1,1,710.353,2+,
1,59,321.101,0,19.7222,134,134,2,-1,1,1,710.353,2+,
1,79,335.1025,0,26.1992,739,739,2,-1,1,1,710.353,2+,
1,86,338.1606,0,28.3699,543,543,2,-1,1,1,710.353,2+,
