func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,2,101.0601,0,16.0431,2124,2124,2,-1,1,1,874.3585,2+,
1,3,111.0423,0,16.0698,5053,5053,2,-1,1,1,874.3585,2+,
1,4,112.0472,0,16.0744,220,220,2,-1,1,1,874.3585,2+,
1,1,113.0604,0,15.970699,400,400,2,-1,1,1,874.3585,2+,
1,6,114.0912,0,16.1121,435,435,2,-1,1,1,874.3585,2+,
1,9,120.0817,0,16.1656,426,426,2,-1,1,1,874.3585,2+,
1,11,127.0751,0,16.1853,668,668,2,-1,1,1,874.3585,2+,
1,7,129.0544,0,16.1283,652,652,2,-1,1,1,874.3585,2+,
1,5,133.0869,0,16.1023,244,244,2,-1,1,1,874.3585,2+,
1,15,136.0744,0,16.2425,857,857,2,-1,1,1,874.3585,2+,
1,10,137.0614,0,16.1668,335,335,2,-1,1,1,874.3585,2+,
1,20,141.0932,0,16.3467,169,169,2,-1,1,1,874.3585,2+,
1,13,147.0809,0,16.2165,414,414,2,-1,1,1,874.3585,2+,
1,14,155.0685,0,16.2187,11978,11978,2,-1,1,1,874.3585,2+,
1,12,156.075,0,16.1998,787,787,2,-1,1,1,874.3585,2+,
1,17,169.0856,0,16.2848,1153,1153,2,-1,1,1,874.3585,2+,
1,18,173.0792,0,16.2947,18159,18159,2,-1,1,1,874.3585,2+,
1,8,173.2085,0,16.1348,326,326,2,-1,1,1,874.3585,2+,
1,16,174.0857,0,16.2666,1902,1902,2,-1,1,1,874.3585,2+,
1,22,187.0955,0,16.3753,3454,3454,2,-1,1,1,874.3585,2+,
1,19,188.0984,0,16.3272,312,312,2,-1,1,1,874.3585,2+,
1,23,195.11,0,16.4824,256,256,2,-1,1,1,874.3585,2+,
1,21,199.0965,0,16.3479,601,601,2,-1,1,1,874.3585,2+,
1,27,203.0606,0,16.6648,193,193,2,-1,1,1,874.3585,2+,
1,28,213.1111,0,16.7092,4836,4836,2,-1,1,1,874.3585,2+,
1,31,214.1174,0,16.852,542,542,2,-1,1,1,874.3585,2+,
1,26,217.1061,0,16.6167,4048,4048,2,-1,1,1,874.3585,2+,
1,25,218.113,0,16.6025,281,281,2,-1,1,1,874.3585,2+,
1,29,219.0572,0,16.8122,352,352,2,-1,1,1,874.3585,2+,
1,32,221.1171,0,16.9805,222,222,2,-1,1,1,874.3585,2+,
1,33,231.1216,0,17.0658,769,769,2,-1,1,1,874.3585,2+,
1,34,233.092,0,17.163,173,173,2,-1,1,1,874.3585,2+,
1,35,247.0937,0,17.8814,253,253,2,-1,1,1,874.3585,2+,
1,36,262.1375,0,18.4848,157,157,2,-1,1,1,874.3585,2+,
1,37,265.1022,0,18.5814,415,415,2,-1,1,1,874.3585,2+,
1,24,272.1222,0,16.5814,163,163,2,-1,1,1,874.3585,2+,
1,40,274.1647,0,20.0531,264,264,2,-1,1,1,874.3585,2+,
1,39,275.1697,0,19.6746,105,105,2,-1,1,1,874.3585,2+,
1,41,278.1118,0,21.078,213,213,2,-1,1,1,874.3585,2+,
1,30,279.1262,0,16.8497,162,162,2,-1,1,1,874.3585,2+,
1,60,283.2625,0,32.963,246,246,2,-1,1,1,874.3585,2+,
1,38,287.151,0,19.281,135,135,2,-1,1,1,874.3585,2+,
1,57,307.2646,0,32.0026,113,113,2,-1,1,1,874.3585,2+,
