func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,4,104.0986,0,16.0887,1031,1031,2,-1,1,1,875.337,2+,
1,1,110.1012,0,15.970001,538,538,2,-1,1,1,875.337,2+,
1,19,114.9833,0,16.3696,1133,1133,2,-1,1,1,875.337,2+,
1,6,119.0801,0,16.1452,188,188,2,-1,1,1,875.337,2+,
1,8,120.1118,0,16.1853,773,773,2,-1,1,1,875.337,2+,
1,7,122.1131,0,16.1496,2446,2446,2,-1,1,1,875.337,2+,
1,9,123.1164,0,16.1998,173,173,2,-1,1,1,875.337,2+,
1,29,129.0022,0,16.5838,185,185,2,-1,1,1,875.337,2+,
1,3,129.1019,0,16.0576,204,204,2,-1,1,1,875.337,2+,
1,5,129.1378,0,16.1078,210,210,2,-1,1,1,875.337,2+,
1,35,130.0003,0,16.6806,167,167,2,-1,1,1,875.337,2+,
1,12,132.9983,0,16.2179,196,196,2,-1,1,1,875.337,2+,
1,2,133.077,0,15.999001,263,263,2,-1,1,1,875.337,2+,
1,24,134.0063,0,16.4988,148,148,2,-1,1,1,875.337,2+,
1,23,134.9984,0,16.4652,393,393,2,-1,1,1,875.337,2+,
1,13,136.1116,0,16.2428,1666,1666,2,-1,1,1,875.337,2+,
1,17,136.9994,0,16.3029,160,160,2,-1,1,1,875.337,2+,
1,16,137.1164,0,16.2878,176,176,2,-1,1,1,875.337,2+,
1,10,140.1454,0,16.2065,225,225,2,-1,1,1,875.337,2+,
1,18,145.0035,0,16.3448,282,282,2,-1,1,1,875.337,2+,
1,11,154.1646,0,16.2134,836,836,2,-1,1,1,875.337,2+,
1,28,160.072,0,16.5625,877,877,2,-1,1,1,875.337,2+,
1,20,168.181,0,16.3992,144,144,2,-1,1,1,875.337,2+,
1,21,171.1945,0,16.4096,470,470,2,-1,1,1,875.337,2+,
1,39,172.0191,0,16.7236,528,528,2,-1,1,1,875.337,2+,
1,15,172.1212,0,16.2754,192,192,2,-1,1,1,875.337,2+,
1,14,175.1659,0,16.2494,604,604,2,-1,1,1,875.337,2+,
1,25,178.0945,0,16.5378,195,195,2,-1,1,1,875.337,2+,
1,41,193.018,0,16.7302,7330,7330,2,-1,1,1,875.337,2+,
1,32,194.0211,0,16.6366,535,535,2,-1,1,1,875.337,2+,
1,37,195.0126,0,16.7143,873,873,2,-1,1,1,875.337,2+,
1,58,196.0549,0,16.9771,265,265,2,-1,1,1,875.337,2+,
1,42,197.0107,0,16.7427,187,187,2,-1,1,1,875.337,2+,
1,72,198.0486,0,17.1404,199,199,2,-1,1,1,875.337,2+,
1,26,202.036,0,16.5496,932,932,2,-1,1,1,875.337,2+,
1,36,204.0524,0,16.7026,1092,1092,2,-1,1,1,875.337,2+,
1,48,211.0332,0,16.8165,1689,1689,2,-1,1,1,875.337,2+,
1,53,213.0344,0,16.8571,186,186,2,-1,1,1,875.337,2+,
