func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,5,104.0986,0,16.1645,987,987,2,-1,1,1,954.467,2+,
1,1,110.1012,0,16.0898,832,832,2,-1,1,1,954.467,2+,
1,2,120.1121,0,16.1072,1142,1142,2,-1,1,1,954.467,2+,
1,3,122.1135,0,16.1551,2294,2294,2,-1,1,1,954.467,2+,
1,7,123.1188,0,16.2074,174,174,2,-1,1,1,954.467,2+,
1,8,129.1386,0,16.2514,299,299,2,-1,1,1,954.467,2+,
1,6,130.122,0,16.1794,474,474,2,-1,1,1,954.467,2+,
1,4,136.1156,0,16.1638,228,228,2,-1,1,1,954.467,2+,
1,9,140.1437,0,16.2519,182,182,2,-1,1,1,954.467,2+,
1,13,154.1639,0,16.4035,515,515,2,-1,1,1,954.467,2+,
1,11,157.1053,0,16.3408,172,172,2,-1,1,1,954.467,2+,
1,10,171.1956,0,16.3242,284,284,2,-1,1,1,954.467,2+,
1,18,172.0185,0,16.739,271,271,2,-1,1,1,954.467,2+,
1,12,178.1834,0,16.3909,257,257,2,-1,1,1,954.467,2+,
1,15,202.0379,0,16.6485,569,569,2,-1,1,1,954.467,2+,
1,14,204.0542,0,16.5969,428,428,2,-1,1,1,954.467,2+,
1,19,209.1614,0,16.7629,161,161,2,-1,1,1,954.467,2+,
1,20,213.1406,0,16.7898,334,334,2,-1,1,1,954.467,2+,
1,17,216.0601,0,16.7379,205,205,2,-1,1,1,954.467,2+,
1,16,220.1325,0,16.7136,160,160,2,-1,1,1,954.467,2+,
1,31,221.1902,0,17.2655,174,174,2,-1,1,1,954.467,2+,
1,23,228.1648,0,16.9905,224,224,2,-1,1,1,954.467,2+,
1,42,231.1757,0,17.6277,171,171,2,-1,1,1,954.467,2+,
1,64,233.227,0,18.2982,581,581,2,-1,1,1,954.467,2+,
1,26,248.1387,0,17.1301,264,264,2,-1,1,1,954.467,2+,
1,34,250.0545,0,17.3676,2711,2711,2,-1,1,1,954.467,2+,
1,38,251.0572,0,17.4946,230,230,2,-1,1,1,954.467,2+,
1,37,252.0493,0,17.4816,199,199,2,-1,1,1,954.467,2+,
1,91,258.2176,0,19.1112,517,517,2,-1,1,1,954.467,2+,
1,108,261.227,0,19.5471,443,443,2,-1,1,1,954.467,2+,
1,63,263.0599,0,18.2233,264,264,2,-1,1,1,954.467,2+,
1,117,272.0068,0,20.5724,167,167,2,-1,1,1,954.467,2+,
1,111,276.2314,0,19.8422,469,469,2,-1,1,1,954.467,2+,
1,120,285.2085,0,21.3454,269,269,2,-1,1,1,954.467,2+,
1,121,286.2181,0,21.3567,177,177,2,-1,1,1,954.467,2+,
1,57,288.0248,0,17.9482,142,142,2,-1,1,1,954.467,2+,
1,93,289.0746,0,19.1806,327,327,2,-1,1,1,954.467,2+,
1,80,291.1195,0,18.7074,157,157,2,-1,1,1,954.467,2+,
1,130,296.2033,0,23.8371,158,158,2,-1,1,1,954.467,2+,
1,106,307.0901,0,19.524,11131,11131,2,-1,1,1,954.467,2+,
1,105,308.0937,0,19.514,2257,2257,2,-1,1,1,954.467,2+,
1,109,309.0883,0,19.5651,5406,5406,2,-1,1,1,954.467,2+,
1,102,310.0896,0,19.4382,723,723,2,-1,1,1,954.467,2+,
1,100,311.0872,0,19.4225,1543,1543,2,-1,1,1,954.467,2+,
1,110,312.0887,0,19.6686,161,161,2,-1,1,1,954.467,2+,
1,127,314.2213,0,22.5812,303,303,2,-1,1,1,954.467,2+,
1,131,319.1916,0,23.9773,256,256,2,-1,1,1,954.467,2+,
1,125,324.2194,0,22.4154,217,217,2,-1,1,1,954.467,2+,
1,122,339.0757,0,21.4171,327,327,2,-1,1,1,954.467,2+,
1,162,344.2892,0,31.702103,396,396,2,-1,1,1,954.467,2+,
1,123,345.0506,0,21.7155,558,558,2,-1,1,1,954.467,2+,
1,152,356.2652,0,28.1483,145,145,2,-1,1,1,954.467,2+,
1,157,359.2822,0,29.8998,111,111,2,-1,1,1,954.467,2+,
1,124,361.964,0,22.3048,388,388,2,-1,1,1,954.467,2+,
1,172,362.3027,0,32.5858,423,423,2,-1,1,1,954.467,2+,
1,171,363.3118,0,32.567,115,115,2,-1,1,1,954.467,2+,
1,126,363.9642,0,22.5598,391,391,2,-1,1,1,954.467,2+,
1,146,371.1694,0,26.2032,372,372,2,-1,1,1,954.467,2+,
1,161,377.3056,0,30.8885,1264,1264,2,-1,1,1,954.467,2+,
1,119,377.9998,0,21.0024,373,373,2,-1,1,1,954.467,2+,
1,159,378.3052,0,30.8394,253,253,2,-1,1,1,954.467,2+,
1,129,379.9799,0,23.054,224,224,2,-1,1,1,954.467,2+,
1,149,381.0378,0,26.8341,540,540,2,-1,1,1,954.467,2+,
1,128,381.9752,0,22.7024,296,296,2,-1,1,1,954.467,2+,
1,148,383.0312,0,26.7546,214,214,2,-1,1,1,954.467,2+,
1,147,383.1154,0,26.4507,464,464,2,-1,1,1,954.467,2+,
1,145,385.0236,0,26.1171,177,177,2,-1,1,1,954.467,2+,
1,169,386.2912,0,32.2719,309,309,2,-1,1,1,954.467,2+,
1,175,390.2443,0,32.9253,138,138,2,-1,1,1,954.467,2+,
1,132,401.9998,0,23.9986,117,117,2,-1,1,1,954.467,2+,
1,170,409.1195,0,32.4043,330,330,2,-1,1,1,954.467,2+,
1,134,409.1315,0,24.2168,149,149,2,-1,1,1,954.467,2+,
1,176,415.2891,0,33.1997,131,131,2,-1,1,1,954.467,2+,
1,140,415.9682,0,24.8447,123,123,2,-1,1,1,954.467,2+,
1,139,416.8108,0,24.7561,120,120,2,-1,1,1,954.467,2+,
1,156,417.0196,0,29.8532,354,354,2,-1,1,1,954.467,2+,
1,144,417.9653,0,25.6297,187,187,2,-1,1,1,954.467,2+,
1,158,419.0229,0,30.3991,240,240,2,-1,1,1,954.467,2+,
1,154,421.01,0,29.4083,103,103,2,-1,1,1,954.467,2+,
1,188,425.2887,0,35.1622,167,167,2,-1,1,1,954.467,2+,
1,133,433.9793,0,24.0021,163,163,2,-1,1,1,954.467,2+,
1,137,435.0388,0,24.6673,1142,1142,2,-1,1,1,954.467,2+,
1,135,436.0425,0,24.4949,189,189,2,-1,1,1,954.467,2+,
1,136,437.0388,0,24.6198,649,649,2,-1,1,1,954.467,2+,
1,138,439.0303,0,24.7109,172,172,2,-1,1,1,954.467,2+,
1,191,443.2981,0,36.1789,502,502,2,-1,1,1,954.467,2+,
1,177,445.1049,0,33.2985,190,190,2,-1,1,1,954.467,2+,
1,155,447.083,0,29.4893,453,453,2,-1,1,1,954.467,2+,
1,216,447.3815,0,39.08,193,193,2,-1,1,1,954.467,2+,
1,163,454.9821,0,31.703102,261,261,2,-1,1,1,954.467,2+,
1,165,456.978,0,32.0482,483,483,2,-1,1,1,954.467,2+,
1,166,458.9748,0,32.0794,286,286,2,-1,1,1,954.467,2+,
1,21,459.0427,0,16.9816,177,177,2,-1,1,1,954.467,2+,
1,173,459.1263,0,32.7952,1177,1177,2,-1,1,1,954.467,2+,
1,25,460.0448,0,17.1283,194,194,2,-1,1,1,954.467,2+,
1,174,460.1349,0,32.8671,191,191,2,-1,1,1,954.467,2+,
1,181,461.1436,0,33.9633,541,541,2,-1,1,1,954.467,2+,
1,214,461.3037,0,38.8469,207,207,2,-1,1,1,954.467,2+,
1,151,472.9995,0,27.4159,352,352,2,-1,1,1,954.467,2+,
1,24,477.0303,0,17.0269,180,180,2,-1,1,1,954.467,2+,
1,22,478.0279,0,16.987,251,251,2,-1,1,1,954.467,2+,
1,35,479.0212,0,17.401,157,157,2,-1,1,1,954.467,2+,
