func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,104.098,0,16.074,198,198,2,-1,1,1,874.3585,2+,
1,3,122.1128,0,16.2542,982,982,2,-1,1,1,874.3585,2+,
1,2,136.1107,0,16.2225,235,235,2,-1,1,1,874.3585,2+,
1,5,193.015,0,16.8062,738,738,2,-1,1,1,874.3585,2+,
1,4,211.0336,0,16.7413,200,200,2,-1,1,1,874.3585,2+,
1,7,250.0551,0,17.2733,669,669,2,-1,1,1,874.3585,2+,
1,11,288.0181,0,17.8935,431,431,2,-1,1,1,874.3585,2+,
1,17,306.0344,0,18.4769,116,116,2,-1,1,1,874.3585,2+,
1,20,307.0883,0,19.5281,2876,2876,2,-1,1,1,874.3585,2+,
1,22,308.0929,0,19.698,429,429,2,-1,1,1,874.3585,2+,
1,21,309.0867,0,19.5397,367,367,2,-1,1,1,874.3585,2+,
1,23,311.0899,0,19.8137,138,138,2,-1,1,1,874.3585,2+,
1,13,319.9839,0,17.9201,129,129,2,-1,1,1,874.3585,2+,
1,18,320.9716,0,18.5826,760,760,2,-1,1,1,874.3585,2+,
1,51,323.312,0,29.5395,357,357,2,-1,1,1,874.3585,2+,
1,50,335.2221,0,29.2776,144,144,2,-1,1,1,874.3585,2+,
1,19,338.9841,0,19.0377,393,393,2,-1,1,1,874.3585,2+,
1,55,341.328,0,30.8045,129,129,2,-1,1,1,874.3585,2+,
1,27,343.0908,0,22.6918,140,140,2,-1,1,1,874.3585,2+,
1,25,345.06,0,21.8138,206,206,2,-1,1,1,874.3585,2+,
1,37,371.1618,0,26.5297,427,427,2,-1,1,1,874.3585,2+,
1,24,378.0011,0,20.8082,611,611,2,-1,1,1,874.3585,2+,
1,36,381.0384,0,26.5018,811,811,2,-1,1,1,874.3585,2+,
1,39,383.0392,0,26.9712,231,231,2,-1,1,1,874.3585,2+,
1,38,399.051,0,26.9633,202,202,2,-1,1,1,874.3585,2+,
1,59,409.1272,0,32.3713,150,150,2,-1,1,1,874.3585,2+,
1,28,409.1279,0,24.0114,119,119,2,-1,1,1,874.3585,2+,
1,52,417.0181,0,30.0102,717,717,2,-1,1,1,874.3585,2+,
1,53,419.0249,0,30.2253,397,397,2,-1,1,1,874.3585,2+,
1,30,433.9758,0,24.7096,143,143,2,-1,1,1,874.3585,2+,
1,31,435.0386,0,24.8935,750,750,2,-1,1,1,874.3585,2+,
1,29,437.0392,0,24.3324,137,137,2,-1,1,1,874.3585,2+,
1,54,447.0873,0,30.4393,140,140,2,-1,1,1,874.3585,2+,
1,62,461.1423,0,33.9499,135,135,2,-1,1,1,874.3585,2+,
1,34,461.9737,0,25.8534,235,235,2,-1,1,1,874.3585,2+,
1,41,472.9998,0,27.3241,757,757,2,-1,1,1,874.3585,2+,
1,67,483.0755,0,35.2053,158,158,2,-1,1,1,874.3585,2+,
1,66,485.0573,0,34.9372,155,155,2,-1,1,1,874.3585,2+,
1,6,488.5599,0,17.092,176,176,2,-1,1,1,874.3585,2+,
1,49,491.0098,0,29.1612,607,607,2,-1,1,1,874.3585,2+,
1,69,497.082,0,35.7003,572,572,2,-1,1,1,874.3585,2+,
1,68,498.088,0,35.5954,189,189,2,-1,1,1,874.3585,2+,
1,76,499.0947,0,38.4806,2099,2099,2,-1,1,1,874.3585,2+,
1,79,500.1016,0,39.0509,466,466,2,-1,1,1,874.3585,2+,
1,75,501.0981,0,38.4134,646,646,2,-1,1,1,874.3585,2+,
1,84,502.1385,0,40.3888,244,244,2,-1,1,1,874.3585,2+,
1,9,505.5545,0,17.4921,158,158,2,-1,1,1,874.3585,2+,
1,33,505.9457,0,25.8018,1756,1756,2,-1,1,1,874.3585,2+,
1,8,506.5453,0,17.3086,234,234,2,-1,1,1,874.3585,2+,
1,35,506.9565,0,26.1579,170,170,2,-1,1,1,874.3585,2+,
1,10,507.5506,0,17.5923,151,151,2,-1,1,1,874.3585,2+,
1,32,507.9445,0,25.412,203,203,2,-1,1,1,874.3585,2+,
1,104,508.2909,0,44.0269,169,169,2,-1,1,1,874.3585,2+,
1,57,508.9715,0,32.0979,4074,4074,2,-1,1,1,874.3585,2+,
1,58,509.9851,0,32.1362,395,395,2,-1,1,1,874.3585,2+,
1,56,510.9791,0,31.790901,783,783,2,-1,1,1,874.3585,2+,
1,77,519.043,0,38.9678,177,177,2,-1,1,1,874.3585,2+,
1,71,521.0349,0,36.1851,215,215,2,-1,1,1,874.3585,2+,
1,81,533.0723,0,39.9625,428,428,2,-1,1,1,874.3585,2+,
1,87,535.082,0,40.8388,534,534,2,-1,1,1,874.3585,2+,
1,82,536.0742,0,40.3133,115,115,2,-1,1,1,874.3585,2+,
1,70,537.0625,0,35.7211,766,766,2,-1,1,1,874.3585,2+,
1,64,539.0565,0,34.5227,129,129,2,-1,1,1,874.3585,2+,
1,42,545.902,0,27.4895,141,141,2,-1,1,1,874.3585,2+,
1,60,546.9466,0,33.2268,146,146,2,-1,1,1,874.3585,2+,
1,12,551.534,0,17.8939,221,221,2,-1,1,1,874.3585,2+,
1,14,552.0321,0,17.9367,141,141,2,-1,1,1,874.3585,2+,
1,15,552.5311,0,18.1852,235,235,2,-1,1,1,874.3585,2+,
1,105,556.1315,0,44.177,2727,2727,2,-1,1,1,874.3585,2+,
1,109,557.1415,0,44.7435,594,594,2,-1,1,1,874.3585,2+,
1,108,558.1359,0,44.639,574,574,2,-1,1,1,874.3585,2+,
1,16,570.5195,0,18.3736,136,136,2,-1,1,1,874.3585,2+,
1,99,573.0539,0,42.9886,165,165,2,-1,1,1,874.3585,2+,
1,73,575.0256,0,37.8818,259,259,2,-1,1,1,874.3585,2+,
1,124,575.2183,0,46.565,118,118,2,-1,1,1,874.3585,2+,
1,78,589.0854,0,39.0214,182,182,2,-1,1,1,874.3585,2+,
1,129,592.1211,0,47.8332,2146,2146,2,-1,1,1,874.3585,2+,
1,131,593.1298,0,47.9499,443,443,2,-1,1,1,874.3585,2+,
1,97,594.0955,0,42.868,2197,2197,2,-1,1,1,874.3585,2+,
1,102,595.1095,0,43.5543,303,303,2,-1,1,1,874.3585,2+,
1,127,596.1285,0,47.6593,120,120,2,-1,1,1,874.3585,2+,
1,63,600.9388,0,34.0761,1989,1989,2,-1,1,1,874.3585,2+,
1,61,601.956,0,33.6877,171,171,2,-1,1,1,874.3585,2+,
1,85,611.0117,0,40.8136,506,506,2,-1,1,1,874.3585,2+,
1,152,611.2048,0,50.4294,359,359,2,-1,1,1,874.3585,2+,
1,40,611.334,0,27.3051,143,143,2,-1,1,1,874.3585,2+,
1,83,613.015,0,40.3216,205,205,2,-1,1,1,874.3585,2+,
1,134,613.1719,0,48.3193,313,313,2,-1,1,1,874.3585,2+,
1,128,617.1798,0,47.7711,120,120,2,-1,1,1,874.3585,2+,
1,88,625.0293,0,41.2106,429,429,2,-1,1,1,874.3585,2+,
1,94,626.0369,0,42.2864,135,135,2,-1,1,1,874.3585,2+,
1,96,627.042,0,42.7115,3704,3704,2,-1,1,1,874.3585,2+,
1,95,628.053,0,42.6221,665,665,2,-1,1,1,874.3585,2+,
1,158,628.1254,0,52.8453,131,131,2,-1,1,1,874.3585,2+,
1,98,629.0439,0,42.9637,932,932,2,-1,1,1,874.3585,2+,
1,121,630.0804,0,45.9967,587,587,2,-1,1,1,874.3585,2+,
1,101,631.0545,0,43.0979,182,182,2,-1,1,1,874.3585,2+,
1,126,632.0773,0,47.6252,110,110,2,-1,1,1,874.3585,2+,
1,118,646.1385,0,45.7008,130,130,2,-1,1,1,874.3585,2+,
1,156,649.1672,0,51.9668,228,228,2,-1,1,1,874.3585,2+,
1,154,651.1378,0,51.2306,277,277,2,-1,1,1,874.3585,2+,
1,125,663.0304,0,47.3407,509,509,2,-1,1,1,874.3585,2+,
1,167,664.0985,0,55.7088,535,535,2,-1,1,1,874.3585,2+,
1,107,665.01,0,44.6139,413,413,2,-1,1,1,874.3585,2+,
1,65,665.4672,0,34.7519,137,137,2,-1,1,1,874.3585,2+,
1,155,666.0735,0,51.3056,577,577,2,-1,1,1,874.3585,2+,
1,166,666.0918,0,54.921,641,641,2,-1,1,1,874.3585,2+,
1,119,667.006,0,45.8344,126,126,2,-1,1,1,874.3585,2+,
1,151,668.0692,0,50.3247,397,397,2,-1,1,1,874.3585,2+,
1,26,670.4861,0,21.8748,132,132,2,-1,1,1,874.3585,2+,
