func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,5,55.0647,0,11.2327,297,297,2,-1,1,1,1099.615,2+,
1,1,56.0602,0,11.0954,492,492,2,-1,1,1,1099.615,2+,
1,6,57.0447,0,11.2467,253,253,2,-1,1,1,1099.615,2+,
1,8,70.0775,0,11.2877,1812,1812,2,-1,1,1,1099.615,2+,
1,9,72.093,0,11.3053,3474,3474,2,-1,1,1,1099.615,2+,
1,4,73.0975,0,11.2152,196,196,2,-1,1,1,1099.615,2+,
1,2,84.0584,0,11.1838,658,658,2,-1,1,1,1099.615,2+,
1,3,84.0945,0,11.2084,934,934,2,-1,1,1,1099.615,2+,
1,18,86.1102,0,11.4142,324,324,2,-1,1,1,1099.615,2+,
1,13,101.0899,0,11.3938,244,244,2,-1,1,1,1099.615,2+,
1,7,104.0884,0,11.2818,689,689,2,-1,1,1,1099.615,2+,
1,10,117.1244,0,11.3057,205,205,2,-1,1,1,1099.615,2+,
1,11,122.1022,0,11.3742,1485,1485,2,-1,1,1,1099.615,2+,
1,12,129.1246,0,11.3868,1314,1314,2,-1,1,1,1099.615,2+,
1,29,130.1241,0,11.5282,183,183,2,-1,1,1,1099.615,2+,
1,20,136.1004,0,11.4278,166,166,2,-1,1,1,1099.615,2+,
1,17,141.1267,0,11.4115,842,842,2,-1,1,1,1099.615,2+,
1,14,143.1426,0,11.3939,1001,1001,2,-1,1,1,1099.615,2+,
1,24,154.1503,0,11.4783,182,182,2,-1,1,1,1099.615,2+,
1,28,169.1258,0,11.526,1831,1831,2,-1,1,1,1099.615,2+,
1,30,170.1297,0,11.5514,193,193,2,-1,1,1,1099.615,2+,
1,27,171.1427,0,11.5259,1060,1060,2,-1,1,1,1099.615,2+,
1,35,172.0067,0,11.8005,306,306,2,-1,1,1,1099.615,2+,
1,15,172.1435,0,11.3961,186,186,2,-1,1,1,1099.615,2+,
1,25,175.1506,0,11.4941,426,426,2,-1,1,1,1099.615,2+,
1,23,181.0935,0,11.4749,228,228,2,-1,1,1,1099.615,2+,
1,33,183.1809,0,11.7034,188,188,2,-1,1,1,1099.615,2+,
1,16,185.1115,0,11.3977,278,278,2,-1,1,1,1099.615,2+,
1,21,185.1305,0,11.4483,292,292,2,-1,1,1,1099.615,2+,
1,19,196.0967,0,11.4203,206,206,2,-1,1,1,1099.615,2+,
1,37,197.1991,0,11.9249,422,422,2,-1,1,1,1099.615,2+,
1,26,198.1211,0,11.5248,160,160,2,-1,1,1,1099.615,2+,
1,22,199.1076,0,11.4513,175,175,2,-1,1,1,1099.615,2+,
1,34,200.176,0,11.7193,205,205,2,-1,1,1,1099.615,2+,
1,36,202.0213,0,11.8121,575,575,2,-1,1,1,1099.615,2+,
1,31,204.0361,0,11.6564,173,173,2,-1,1,1,1099.615,2+,
1,53,211.1846,0,12.5227,189,189,2,-1,1,1,1099.615,2+,
1,32,213.1233,0,11.6673,815,815,2,-1,1,1,1099.615,2+,
1,38,216.0375,0,11.9304,276,276,2,-1,1,1,1099.615,2+,
1,39,216.1364,0,11.963,241,241,2,-1,1,1,1099.615,2+,
1,42,226.1215,0,12.173,191,191,2,-1,1,1,1099.615,2+,
1,44,227.1059,0,12.3018,583,583,2,-1,1,1,1099.615,2+,
1,46,228.1744,0,12.3642,651,651,2,-1,1,1,1099.615,2+,
1,109,242.2282,0,14.1219,668,668,2,-1,1,1,1099.615,2+,
1,60,244.1355,0,12.7876,1119,1119,2,-1,1,1,1099.615,2+,
1,43,250.0315,0,12.2712,1045,1045,2,-1,1,1,1099.615,2+,
1,40,252.0313,0,11.9989,126,126,2,-1,1,1,1099.615,2+,
1,71,252.2188,0,13.1035,150,150,2,-1,1,1,1099.615,2+,
1,134,254.2306,0,17.1185,137,137,2,-1,1,1,1099.615,2+,
