func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,101.0916,0,15.956001,293,293,2,-1,1,1,673.856,2+,
1,3,102.0755,0,16.0413,730,730,2,-1,1,1,673.856,2+,
1,4,104.0908,0,16.063,401,401,2,-1,1,1,673.856,2+,
1,2,110.093,0,15.976,441,441,2,-1,1,1,673.856,2+,
1,11,114.1127,0,16.1912,285,285,2,-1,1,1,673.856,2+,
1,5,122.1055,0,16.1036,1036,1036,2,-1,1,1,673.856,2+,
1,16,129.1273,0,16.2214,401,401,2,-1,1,1,673.856,2+,
1,32,129.9917,0,16.5056,163,163,2,-1,1,1,673.856,2+,
1,14,130.1122,0,16.2146,1030,1030,2,-1,1,1,673.856,2+,
1,8,136.1036,0,16.1891,190,190,2,-1,1,1,673.856,2+,
1,6,147.1411,0,16.1416,587,587,2,-1,1,1,673.856,2+,
1,9,154.156,0,16.1904,336,336,2,-1,1,1,673.856,2+,
1,12,159.1441,0,16.2072,890,890,2,-1,1,1,673.856,2+,
1,36,160.0614,0,16.5419,565,565,2,-1,1,1,673.856,2+,
1,15,171.1821,0,16.2187,285,285,2,-1,1,1,673.856,2+,
1,57,172.0104,0,16.724,489,489,2,-1,1,1,673.856,2+,
1,27,173.1618,0,16.484,495,495,2,-1,1,1,673.856,2+,
1,7,175.1535,0,16.1887,177,177,2,-1,1,1,673.856,2+,
1,54,178.0719,0,16.7123,160,160,2,-1,1,1,673.856,2+,
1,21,181.1327,0,16.3742,2076,2076,2,-1,1,1,673.856,2+,
1,42,182.1378,0,16.5896,205,205,2,-1,1,1,673.856,2+,
1,33,183.1485,0,16.514,901,901,2,-1,1,1,673.856,2+,
1,35,183.1862,0,16.5196,717,717,2,-1,1,1,673.856,2+,
1,23,184.1502,0,16.4102,207,207,2,-1,1,1,673.856,2+,
1,25,187.1397,0,16.4382,214,214,2,-1,1,1,673.856,2+,
1,85,196.0418,0,17.2503,189,189,2,-1,1,1,673.856,2+,
1,80,198.0365,0,17.1039,188,188,2,-1,1,1,673.856,2+,
1,43,199.1466,0,16.5982,866,866,2,-1,1,1,673.856,2+,
1,50,201.165,0,16.6831,259,259,2,-1,1,1,673.856,2+,
1,56,202.0251,0,16.7214,914,914,2,-1,1,1,673.856,2+,
1,52,204.0378,0,16.6928,339,339,2,-1,1,1,673.856,2+,
1,58,209.1328,0,16.7248,2910,2910,2,-1,1,1,673.856,2+,
1,37,210.1361,0,16.5497,478,478,2,-1,1,1,673.856,2+,
1,18,214.9307,0,16.2964,386,386,2,-1,1,1,673.856,2+,
1,72,216.0443,0,17.0038,525,525,2,-1,1,1,673.856,2+,
1,55,216.1413,0,16.7175,199,199,2,-1,1,1,673.856,2+,
1,24,216.9276,0,16.4215,353,353,2,-1,1,1,673.856,2+,
1,77,220.0376,0,17.056,195,195,2,-1,1,1,673.856,2+,
1,111,223.2023,0,18.6427,137,137,2,-1,1,1,673.856,2+,
1,90,223.9363,0,17.3752,314,314,2,-1,1,1,673.856,2+,
1,73,227.1473,0,17.0061,394,394,2,-1,1,1,673.856,2+,
1,108,233.9988,0,18.5871,1987,1987,2,-1,1,1,673.856,2+,
1,115,235.9968,0,18.7516,573,573,2,-1,1,1,673.856,2+,
1,95,240.1487,0,17.7808,210,210,2,-1,1,1,673.856,2+,
1,81,241.9487,0,17.111,521,521,2,-1,1,1,673.856,2+,
1,101,245.9479,0,17.9683,192,192,2,-1,1,1,673.856,2+,
1,104,248.2119,0,18.504,311,311,2,-1,1,1,673.856,2+,
1,89,250.039,0,17.3742,1579,1579,2,-1,1,1,673.856,2+,
1,118,252.0118,0,18.9584,2188,2188,2,-1,1,1,673.856,2+,
1,116,254.0095,0,18.8646,688,688,2,-1,1,1,673.856,2+,
1,119,257.1757,0,18.9648,160,160,2,-1,1,1,673.856,2+,
1,63,259.9223,0,16.8903,171,171,2,-1,1,1,673.856,2+,
1,161,260.2471,0,21.8662,1099,1099,2,-1,1,1,673.856,2+,
1,166,261.2564,0,22.1669,161,161,2,-1,1,1,673.856,2+,
1,75,261.9153,0,17.0296,1015,1015,2,-1,1,1,673.856,2+,
1,103,263.0365,0,18.2031,501,501,2,-1,1,1,673.856,2+,
1,64,263.9108,0,16.9322,277,277,2,-1,1,1,673.856,2+,
1,100,265.0299,0,17.9541,136,136,2,-1,1,1,673.856,2+,
1,133,266.9522,0,19.6119,150,150,2,-1,1,1,673.856,2+,
1,142,269.9824,0,20.5139,914,914,2,-1,1,1,673.856,2+,
1,143,271.9792,0,20.5819,529,529,2,-1,1,1,673.856,2+,
1,121,274.1927,0,19.0502,281,281,2,-1,1,1,673.856,2+,
1,154,276.2268,0,21.2986,143,143,2,-1,1,1,673.856,2+,
1,84,279.9288,0,17.1434,550,550,2,-1,1,1,673.856,2+,
1,225,280.2209,0,24.731,203,203,2,-1,1,1,673.856,2+,
1,134,284.9576,0,19.8001,125,125,2,-1,1,1,673.856,2+,
1,127,285.1766,0,19.3502,150,150,2,-1,1,1,673.856,2+,
1,113,286.8534,0,18.7052,1040,1040,2,-1,1,1,673.856,2+,
1,117,287.9986,0,18.8721,1469,1469,2,-1,1,1,673.856,2+,
1,106,288.8502,0,18.564,357,357,2,-1,1,1,673.856,2+,
1,120,289.0561,0,19.0161,597,597,2,-1,1,1,673.856,2+,
1,141,289.9915,0,20.4654,373,373,2,-1,1,1,673.856,2+,
1,138,290.0807,0,20.1904,253,253,2,-1,1,1,673.856,2+,
1,229,294.2422,0,25.4793,573,573,2,-1,1,1,673.856,2+,
1,228,295.2396,0,25.1843,141,141,2,-1,1,1,673.856,2+,
1,190,298.2363,0,23.219,240,240,2,-1,1,1,673.856,2+,
1,160,303.188,0,21.6638,113,113,2,-1,1,1,673.856,2+,
1,232,304.2126,0,25.7751,159,159,2,-1,1,1,673.856,2+,
1,112,304.868,0,18.6785,766,766,2,-1,1,1,673.856,2+,
1,202,305.1674,0,23.3995,126,126,2,-1,1,1,673.856,2+,
1,216,305.9685,0,24.3028,147,147,2,-1,1,1,673.856,2+,
1,102,306.0117,0,18.1516,484,484,2,-1,1,1,673.856,2+,
1,109,306.8619,0,18.5879,218,218,2,-1,1,1,673.856,2+,
1,130,307.0663,0,19.4262,16178,16178,2,-1,1,1,673.856,2+,
1,206,307.9628,0,23.8821,151,151,2,-1,1,1,673.856,2+,
1,128,308.0732,0,19.3711,3165,3165,2,-1,1,1,673.856,2+,
