func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,57,102.994,0,17.6202,213,213,2,-1,1,1,487.2845,2+,
1,1,104.0939,0,16.187,470,470,2,-1,1,1,487.2845,2+,
1,4,110.0952,0,16.2544,424,424,2,-1,1,1,487.2845,2+,
1,69,112.0326,0,17.9023,728,728,2,-1,1,1,487.2845,2+,
1,6,112.1358,0,16.3019,209,209,2,-1,1,1,487.2845,2+,
1,11,113.0959,0,16.4954,184,184,2,-1,1,1,487.2845,2+,
1,10,114.0818,0,16.4337,461,461,2,-1,1,1,487.2845,2+,
1,54,115.02,0,17.4934,1194,1194,2,-1,1,1,487.2845,2+,
1,5,116.0599,0,16.2947,529,529,2,-1,1,1,487.2845,2+,
1,78,117.0138,0,18.237,579,579,2,-1,1,1,487.2845,2+,
1,8,119.0751,0,16.3914,151,151,2,-1,1,1,487.2845,2+,
1,21,120.1078,0,16.7747,170,170,2,-1,1,1,487.2845,2+,
1,9,122.108,0,16.4157,1023,1023,2,-1,1,1,487.2845,2+,
1,2,124.0654,0,16.224,243,243,2,-1,1,1,487.2845,2+,
1,13,127.0779,0,16.5184,601,601,2,-1,1,1,487.2845,2+,
1,24,127.1153,0,16.8143,314,314,2,-1,1,1,487.2845,2+,
1,20,128.137,0,16.7596,215,215,2,-1,1,1,487.2845,2+,
1,16,129.131,0,16.6513,1450,1450,2,-1,1,1,487.2845,2+,
1,101,129.9931,0,19.3668,669,669,2,-1,1,1,487.2845,2+,
1,72,130.0487,0,17.983,294,294,2,-1,1,1,487.2845,2+,
1,14,130.1159,0,16.5274,3013,3013,2,-1,1,1,487.2845,2+,
1,66,131.034,0,17.8549,268,268,2,-1,1,1,487.2845,2+,
1,19,131.1167,0,16.7331,288,288,2,-1,1,1,487.2845,2+,
1,91,132.9905,0,19.139,3896,3896,2,-1,1,1,487.2845,2+,
1,89,133.9921,0,18.999,345,345,2,-1,1,1,487.2845,2+,
1,96,134.9876,0,19.2102,3957,3957,2,-1,1,1,487.2845,2+,
1,34,136.1064,0,17.0406,1206,1206,2,-1,1,1,487.2845,2+,
1,92,136.9846,0,19.143,314,314,2,-1,1,1,487.2845,2+,
1,27,138.1222,0,16.8655,276,276,2,-1,1,1,487.2845,2+,
1,23,141.0969,0,16.7979,346,346,2,-1,1,1,487.2845,2+,
1,86,142.0496,0,18.5998,220,220,2,-1,1,1,487.2845,2+,
1,28,145.0924,0,16.8851,350,350,2,-1,1,1,487.2845,2+,
1,31,147.1457,0,17.0041,1799,1799,2,-1,1,1,487.2845,2+,
1,109,148.0063,0,19.6691,236,236,2,-1,1,1,487.2845,2+,
1,106,149.9987,0,19.638,145,145,2,-1,1,1,487.2845,2+,
1,98,151.0048,0,19.2428,1630,1630,2,-1,1,1,487.2845,2+,
1,97,152.0368,0,19.2194,313,313,2,-1,1,1,487.2845,2+,
1,94,153.0025,0,19.1757,1735,1735,2,-1,1,1,487.2845,2+,
1,70,154.1558,0,17.9072,269,269,2,-1,1,1,487.2845,2+,
1,85,155.0017,0,18.4124,142,142,2,-1,1,1,487.2845,2+,
1,18,155.1152,0,16.7241,349,349,2,-1,1,1,487.2845,2+,
1,67,155.1532,0,17.8568,392,392,2,-1,1,1,487.2845,2+,
1,62,156.1383,0,17.8141,304,304,2,-1,1,1,487.2845,2+,
1,104,157.0406,0,19.4521,198,198,2,-1,1,1,487.2845,2+,
1,45,157.0936,0,17.2431,169,169,2,-1,1,1,487.2845,2+,
1,88,157.1684,0,18.8255,790,790,2,-1,1,1,487.2845,2+,
1,32,158.1296,0,17.0094,425,425,2,-1,1,1,487.2845,2+,
1,41,159.1121,0,17.0905,2607,2607,2,-1,1,1,487.2845,2+,
1,122,160.0642,0,20.3949,2389,2389,2,-1,1,1,487.2845,2+,
1,125,162.03,0,20.8585,201,201,2,-1,1,1,487.2845,2+,
1,146,166.9064,0,21.9648,10816,10816,2,-1,1,1,487.2845,2+,
1,100,168.0345,0,19.3311,152,152,2,-1,1,1,487.2845,2+,
1,107,170.0517,0,19.6383,188,188,2,-1,1,1,487.2845,2+,
1,139,170.899,0,21.7506,353,353,2,-1,1,1,487.2845,2+,
1,95,171.0159,0,19.1769,144,144,2,-1,1,1,487.2845,2+,
1,99,171.1851,0,19.2935,176,176,2,-1,1,1,487.2845,2+,
1,126,172.013,0,21.0052,597,597,2,-1,1,1,487.2845,2+,
1,58,173.0917,0,17.6935,236,236,2,-1,1,1,487.2845,2+,
1,90,173.1687,0,19.0948,644,644,2,-1,1,1,487.2845,2+,
1,83,175.111,0,18.2754,340,340,2,-1,1,1,487.2845,2+,
1,75,175.1578,0,18.164,1313,1313,2,-1,1,1,487.2845,2+,
1,123,178.0786,0,20.5889,1206,1206,2,-1,1,1,487.2845,2+,
1,124,182.0566,0,20.6222,138,138,2,-1,1,1,487.2845,2+,
1,71,183.1181,0,17.9428,198,198,2,-1,1,1,487.2845,2+,
1,121,183.1543,0,20.2403,544,544,2,-1,1,1,487.2845,2+,
1,132,183.1915,0,21.33,896,896,2,-1,1,1,487.2845,2+,
1,137,184.1955,0,21.6128,127,127,2,-1,1,1,487.2845,2+,
1,140,184.9214,0,21.7623,1695,1695,2,-1,1,1,487.2845,2+,
1,87,185.0982,0,18.7024,546,546,2,-1,1,1,487.2845,2+,
1,108,185.169,0,19.6478,750,750,2,-1,1,1,487.2845,2+,
1,153,185.206,0,22.3774,1632,1632,2,-1,1,1,487.2845,2+,
1,152,186.0303,0,22.3558,343,343,2,-1,1,1,487.2845,2+,
1,144,186.2115,0,21.8962,228,228,2,-1,1,1,487.2845,2+,
1,80,187.1142,0,18.2583,1634,1634,2,-1,1,1,487.2845,2+,
1,151,188.025,0,22.3194,146,146,2,-1,1,1,487.2845,2+,
