func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,8,56.0604,0,11.2894,352,352,2,-1,1,1,1127.0825,2+,
1,1,57.0449,0,11.0708,221,221,2,-1,1,1,1127.0825,2+,
1,3,70.0781,0,11.1495,331,331,2,-1,1,1,1127.0825,2+,
1,11,72.095,0,11.3452,412,412,2,-1,1,1,1127.0825,2+,
1,7,84.0601,0,11.2621,351,351,2,-1,1,1,1127.0825,2+,
1,2,84.095,0,11.1312,685,685,2,-1,1,1,1127.0825,2+,
1,14,86.1131,0,11.3596,298,298,2,-1,1,1,1127.0825,2+,
1,13,88.0549,0,11.3537,145,145,2,-1,1,1,1127.0825,2+,
1,17,101.0885,0,11.394,334,334,2,-1,1,1,1127.0825,2+,
1,6,104.0895,0,11.241,807,807,2,-1,1,1,1127.0825,2+,
1,5,110.0916,0,11.2249,146,146,2,-1,1,1,1127.0825,2+,
1,4,119.0721,0,11.1512,214,214,2,-1,1,1,1127.0825,2+,
1,15,120.1019,0,11.3683,2223,2223,2,-1,1,1,1127.0825,2+,
1,21,121.1074,0,11.4485,207,207,2,-1,1,1,1127.0825,2+,
1,12,122.1029,0,11.3479,1708,1708,2,-1,1,1,1127.0825,2+,
1,16,129.126,0,11.3924,387,387,2,-1,1,1,1127.0825,2+,
1,10,130.1113,0,11.332,390,390,2,-1,1,1,1127.0825,2+,
1,18,136.1006,0,11.4024,2141,2141,2,-1,1,1,1127.0825,2+,
1,20,137.1056,0,11.4466,298,298,2,-1,1,1,1127.0825,2+,
1,9,141.091,0,11.3276,374,374,2,-1,1,1,1127.0825,2+,
1,19,147.1419,0,11.4431,240,240,2,-1,1,1,1127.0825,2+,
1,23,157.127,0,11.4704,197,197,2,-1,1,1,1127.0825,2+,
1,22,171.1454,0,11.452,176,176,2,-1,1,1,1127.0825,2+,
1,30,171.1822,0,11.7623,160,160,2,-1,1,1,1127.0825,2+,
1,24,172.0051,0,11.5711,313,313,2,-1,1,1,1127.0825,2+,
1,25,192.1366,0,11.5771,137,137,2,-1,1,1,1127.0825,2+,
1,28,193.137,0,11.7362,203,203,2,-1,1,1,1127.0825,2+,
1,29,200.139,0,11.7586,258,258,2,-1,1,1,1127.0825,2+,
1,26,202.0208,0,11.7165,779,779,2,-1,1,1,1127.0825,2+,
1,27,204.0341,0,11.7283,177,177,2,-1,1,1,1127.0825,2+,
1,33,205.1378,0,11.8688,283,283,2,-1,1,1,1127.0825,2+,
1,31,212.1411,0,11.7976,435,435,2,-1,1,1,1127.0825,2+,
1,32,213.1347,0,11.7986,216,216,2,-1,1,1,1127.0825,2+,
1,34,216.0421,0,11.8816,378,378,2,-1,1,1,1127.0825,2+,
1,35,219.155,0,12.0325,141,141,2,-1,1,1,1127.0825,2+,
1,37,221.1297,0,12.0923,327,327,2,-1,1,1,1127.0825,2+,
1,38,230.1578,0,12.1274,197,197,2,-1,1,1,1127.0825,2+,
1,46,235.1546,0,12.5461,535,535,2,-1,1,1,1127.0825,2+,
1,55,239.1574,0,13.0232,193,193,2,-1,1,1,1127.0825,2+,
1,44,240.1443,0,12.477,229,229,2,-1,1,1,1127.0825,2+,
1,39,250.0364,0,12.1462,905,905,2,-1,1,1,1127.0825,2+,
1,40,252.0323,0,12.2207,185,185,2,-1,1,1,1127.0825,2+,
1,96,256.2135,0,14.1426,187,187,2,-1,1,1,1127.0825,2+,
1,73,257.1737,0,13.4836,191,191,2,-1,1,1,1127.0825,2+,
1,113,260.2465,0,15.354,761,761,2,-1,1,1,1127.0825,2+,
1,48,263.0358,0,12.652,399,399,2,-1,1,1,1127.0825,2+,
1,63,263.1319,0,13.1897,137,137,2,-1,1,1,1127.0825,2+,
1,116,264.1852,0,15.652,165,165,2,-1,1,1,1127.0825,2+,
1,100,270.1607,0,14.2631,364,364,2,-1,1,1,1127.0825,2+,
1,81,271.1852,0,13.7055,148,148,2,-1,1,1,1127.0825,2+,
1,131,288.1891,0,17.6197,432,432,2,-1,1,1,1127.0825,2+,
1,74,289.0529,0,13.4985,608,608,2,-1,1,1,1127.0825,2+,
1,119,295.1989,0,16.0692,123,123,2,-1,1,1,1127.0825,2+,
