func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,53,56.0512,0,16.4769,177,177,2,-1,1,1,624.318,2+,
1,169,56.9673,0,17.4467,220,220,2,-1,1,1,624.318,2+,
1,3,69.0718,0,16.0274,200,200,2,-1,1,1,624.318,2+,
1,20,70.0679,0,16.2087,2915,2915,2,-1,1,1,624.318,2+,
1,8,71.0711,0,16.0797,167,167,2,-1,1,1,624.318,2+,
1,38,72.083,0,16.3705,194,194,2,-1,1,1,624.318,2+,
1,4,74.0086,0,16.03,267,267,2,-1,1,1,624.318,2+,
1,137,74.9346,0,17.0811,216,216,2,-1,1,1,624.318,2+,
1,147,81.9653,0,17.2025,201,201,2,-1,1,1,624.318,2+,
1,7,83.0636,0,16.0434,1022,1022,2,-1,1,1,624.318,2+,
1,2,84.0477,0,15.960201,336,336,2,-1,1,1,624.318,2+,
1,11,84.0837,0,16.1145,2430,2430,2,-1,1,1,624.318,2+,
1,90,84.9623,0,16.7067,6408,6408,2,-1,1,1,624.318,2+,
1,17,86.0994,0,16.1903,1743,1743,2,-1,1,1,624.318,2+,
1,29,88.026,0,16.2893,199,199,2,-1,1,1,624.318,2+,
1,91,88.9551,0,16.7082,219,219,2,-1,1,1,624.318,2+,
1,1,90.0038,0,15.9475,501,501,2,-1,1,1,624.318,2+,
1,5,93.048,0,16.0321,620,620,2,-1,1,1,624.318,2+,
1,12,95.0637,0,16.1226,428,428,2,-1,1,1,624.318,2+,
1,56,98.99,0,16.4959,4720,4720,2,-1,1,1,624.318,2+,
1,22,102.0586,0,16.2289,252,252,2,-1,1,1,624.318,2+,
1,42,102.9748,0,16.4127,273,273,2,-1,1,1,624.318,2+,
1,26,103.0582,0,16.2739,209,209,2,-1,1,1,624.318,2+,
1,14,110.0745,0,16.1585,9680,9680,2,-1,1,1,624.318,2+,
1,21,111.0782,0,16.2146,807,807,2,-1,1,1,624.318,2+,
1,10,112.0895,0,16.1141,248,248,2,-1,1,1,624.318,2+,
1,69,114.9645,0,16.5814,161,161,2,-1,1,1,624.318,2+,
1,19,116.0216,0,16.1948,215,215,2,-1,1,1,624.318,2+,
