func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,45,55.9849,0,23.8225,138,138,2,-1,1,1,411.7075,2+,
1,78,56.9685,0,24.2645,509,509,2,-1,1,1,411.7075,2+,
1,1,72.0843,0,22.9823,313,313,2,-1,1,1,411.7075,2+,
1,92,74.9357,0,24.7196,285,285,2,-1,1,1,411.7075,2+,
1,99,81.9642,0,24.82,247,247,2,-1,1,1,411.7075,2+,
1,7,83.979,0,23.3015,159,159,2,-1,1,1,411.7075,2+,
1,3,84.0849,0,23.0236,240,240,2,-1,1,1,411.7075,2+,
1,27,84.9615,0,23.6145,5069,5069,2,-1,1,1,411.7075,2+,
1,18,88.957,0,23.4486,146,146,2,-1,1,1,411.7075,2+,
1,15,97.9948,0,23.4249,230,230,2,-1,1,1,411.7075,2+,
1,11,98.9904,0,23.3497,2286,2286,2,-1,1,1,411.7075,2+,
1,5,102.9797,0,23.1953,490,490,2,-1,1,1,411.7075,2+,
1,16,109.9963,0,23.4271,390,390,2,-1,1,1,411.7075,2+,
1,22,110.9794,0,23.4963,330,330,2,-1,1,1,411.7075,2+,
1,43,111.9598,0,23.7781,139,139,2,-1,1,1,411.7075,2+,
1,17,112.9072,0,23.4418,295,295,2,-1,1,1,411.7075,2+,
1,25,112.9956,0,23.5739,341,341,2,-1,1,1,411.7075,2+,
1,12,117.0002,0,23.3674,163,163,2,-1,1,1,411.7075,2+,
1,2,120.0849,0,22.9933,128,128,2,-1,1,1,411.7075,2+,
1,28,124.996,0,23.6234,695,695,2,-1,1,1,411.7075,2+,
1,8,125.9923,0,23.3097,145,145,2,-1,1,1,411.7075,2+,
1,67,128.9005,0,24.1182,195,195,2,-1,1,1,411.7075,2+,
1,38,128.9731,0,23.7564,313,313,2,-1,1,1,411.7075,2+,
1,33,129.9685,0,23.7073,2044,2044,2,-1,1,1,411.7075,2+,
1,4,130.0713,0,23.1287,177,177,2,-1,1,1,411.7075,2+,
1,83,130.8944,0,24.3186,806,806,2,-1,1,1,411.7075,2+,
1,66,132.8905,0,24.1145,197,197,2,-1,1,1,411.7075,2+,
1,48,134.9687,0,23.8483,648,648,2,-1,1,1,411.7075,2+,
1,68,136.9665,0,24.1412,211,211,2,-1,1,1,411.7075,2+,
1,20,137.9927,0,23.4819,341,341,2,-1,1,1,411.7075,2+,
1,73,140.9224,0,24.2136,828,828,2,-1,1,1,411.7075,2+,
1,81,141.9698,0,24.306,252,252,2,-1,1,1,411.7075,2+,
1,86,143.9838,0,24.4067,134,134,2,-1,1,1,411.7075,2+,
1,19,144.9973,0,23.4626,1535,1535,2,-1,1,1,411.7075,2+,
1,62,147.979,0,24.0473,234,234,2,-1,1,1,411.7075,2+,
1,63,148.9055,0,24.0687,551,551,2,-1,1,1,411.7075,2+,
1,47,153.9693,0,23.8342,148,148,2,-1,1,1,411.7075,2+,
1,37,155.9097,0,23.7376,176,176,2,-1,1,1,411.7075,2+,
1,42,156.0035,0,23.7718,128,128,2,-1,1,1,411.7075,2+,
1,69,156.8952,0,24.1597,2140,2140,2,-1,1,1,411.7075,2+,
1,29,157.9056,0,23.6253,186,186,2,-1,1,1,411.7075,2+,
1,57,158.9335,0,23.9731,1342,1342,2,-1,1,1,411.7075,2+,
1,26,159.0252,0,23.582,691,691,2,-1,1,1,411.7075,2+,
1,90,160.9068,0,24.6197,615,615,2,-1,1,1,411.7075,2+,
1,89,162.9032,0,24.5088,219,219,2,-1,1,1,411.7075,2+,
1,32,164.0079,0,23.6786,264,264,2,-1,1,1,411.7075,2+,
1,116,166.8709,0,25.4186,216,216,2,-1,1,1,411.7075,2+,
1,14,168.0016,0,23.3998,708,708,2,-1,1,1,411.7075,2+,
1,120,168.8707,0,25.6928,191,191,2,-1,1,1,411.7075,2+,
1,104,170.8682,0,25.0826,158,158,2,-1,1,1,411.7075,2+,
1,77,170.9363,0,24.2407,403,403,2,-1,1,1,411.7075,2+,
