func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
2,739,675.36115,23.79207,91.2,43943,675.36115,6.3,-1,1,-1,416.734745,2+,
2,740,676.36584,23.79337,90.8,18533,676.36584,6.23,-1,1,-1,416.734745,2+,
2,741,421.75452,23.85545,39.5,80369,421.75452,2.72,-1,1,-1,416.734745,2+,
2,742,422.2573,23.85774,39.5,30665,422.2573,2.72,-1,1,-1,416.734745,2+,
2,743,412.74963,23.85874,39.6,25471,412.74963,2.72,-1,1,-1,416.734745,2+,
2,744,353.69388,23.92433,37.2,44413,353.69388,2.58,-1,1,-1,416.734745,2+,
2,745,404.33728,23.92651,40,21160,404.33728,2.79,-1,1,-1,416.734745,2+,
2,746,405.21994,23.92743,40.2,73654,405.21994,2.79,-1,1,-1,416.734745,2+,
2,747,560.3167,23.92851,80.6,48971,560.3167,5.54,-1,1,-1,416.734745,2+,
2,748,404.21826,23.93036,40.1,543922,404.21826,2.79,-1,1,-1,416.734745,2+,
2,749,807.43054,23.93129,118.8,21829,807.43054,8.15,-1,1,-1,416.734745,2+,
2,750,404.22095,23.93139,72.3,11298,404.22095,5,-1,1,-1,416.734745,2+,
2,751,404.71893,23.93207,40.1,264308,404.71893,2.79,-1,1,-1,416.734745,2+,
2,752,221.12633,23.93271,32.9,76091,221.12633,2.25,-1,1,-1,416.734745,2+,
2,753,559.3142,23.94291,80.8,225918,559.3142,5.54,-1,1,-1,416.734745,2+,
2,754,706.3806,23.95434,103.1,20950,706.3806,7.13,-1,1,-1,416.734745,2+,
2,755,488.27844,23.96534,68.6,31018,488.27844,4.72,-1,1,-1,416.734745,2+,
2,756,561.31995,23.96897,80.3,12519,561.31995,5.54,-1,1,-1,416.734745,2+,
2,757,460.2267,24.04988,41.5,51562,460.2267,2.86,-1,1,-1,416.734745,2+,
2,758,428.7595,24.07093,44.5,21736,428.7595,3.06,-1,1,-1,416.734745,2+,
2,759,470.5665,24.10689,40.5,22573,470.5665,2.79,-1,1,-1,416.734745,2+,
2,760,469.8993,24.11524,40.7,118639,469.8993,2.79,-1,1,-1,416.734745,2+,
2,761,470.23282,24.11924,40.5,43815,470.23282,2.79,-1,1,-1,416.734745,2+,
2,762,704.3451,24.11967,72.9,31793,704.3451,4.99,-1,1,-1,416.734745,2+,
2,763,619.79895,24.11971,60.2,30729,619.79895,4.16,-1,1,-1,416.734745,2+,
