func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
2,254,475.73434,20.70206,43,31572,475.73434,3,-1,1,-1,458.748914,2+,
2,255,466.2232,20.70345,42.2,29631,466.2232,2.93,-1,1,-1,458.748914,2+,
2,256,465.72256,20.70351,42.4,53695,465.72256,2.93,-1,1,-1,458.748914,2+,
2,257,620.31366,20.70365,86.5,34138,620.31366,5.95,-1,1,-1,458.748914,2+,
2,258,474.36526,20.70367,43.1,21708,474.36526,3,-1,1,-1,458.748914,2+,
2,259,558.58966,20.75317,42.7,24108,558.58966,2.92,-1,1,-1,458.748914,2+,
2,260,355.06628,20.75944,43.7,96588,355.06628,3,-1,1,-1,458.748914,2+,
2,261,512.5948,20.81812,46.1,36648,512.5948,3.2,-1,1,-1,458.748914,2+,
2,262,512.9294,20.81877,46.1,20286,512.9294,3.2,-1,1,-1,458.748914,2+,
2,263,511.92703,20.81913,46.1,166744,511.92703,3.2,-1,1,-1,458.748914,2+,
2,264,512.26166,20.81969,46.1,113696,512.26166,3.2,-1,1,-1,458.748914,2+,
2,265,511.59402,20.82169,46,241341,511.59402,3.2,-1,1,-1,458.748914,2+,
2,266,384.19696,20.82218,34.9,149208,384.19696,2.37,-1,1,-1,458.748914,2+,
2,267,384.4469,20.82577,34.9,73865,384.4469,2.37,-1,1,-1,458.748914,2+,
2,268,416.21094,20.82805,36.2,32806,416.21094,2.51,-1,1,-1,458.748914,2+,
2,269,421.25217,20.83,44.3,21182,421.25217,3.06,-1,1,-1,458.748914,2+,
2,270,473.89966,20.83226,43.1,44522,473.89966,3,-1,1,-1,458.748914,2+,
2,271,420.2488,20.83251,44.3,159038,420.2488,3.06,-1,1,-1,458.748914,2+,
2,272,420.74954,20.83372,44.2,80106,420.74954,3.06,-1,1,-1,458.748914,2+,
2,273,383.94785,20.83393,34.7,144093,383.94785,2.37,-1,1,-1,458.748914,2+,
2,274,508.7546,20.83525,45.3,28548,508.7546,3.13,-1,1,-1,458.748914,2+,
2,275,415.54105,20.8367,35.9,164673,415.54105,2.44,-1,1,-1,458.748914,2+,
2,276,573.7769,20.83735,51.5,26940,573.7769,3.54,-1,1,-1,458.748914,2+,
2,277,622.80994,20.83812,56.2,38775,622.80994,3.88,-1,1,-1,458.748914,2+,
2,278,573.2753,20.83949,51.4,53904,573.2753,3.54,-1,1,-1,458.748914,2+,
2,279,623.3102,20.84036,56.3,17944,623.3102,3.88,-1,1,-1,458.748914,2+,
2,280,415.87393,20.84222,35.9,97799,415.87393,2.44,-1,1,-1,458.748914,2+,
2,281,384.6965,20.84462,34.7,28865,384.6965,2.37,-1,1,-1,458.748914,2+,
2,282,467.22107,20.85531,64.7,25096,467.22107,4.44,-1,1,-1,458.748914,2+,
2,283,412.20993,20.90859,37.8,22899,412.20993,2.58,-1,1,-1,458.748914,2+,
2,284,341.20105,20.948,32.7,32347,341.20105,2.24,-1,1,-1,458.748914,2+,
2,285,412.54846,20.95658,37.5,28897,412.54846,2.58,-1,1,-1,458.748914,2+,
2,286,741.3789,20.95871,102.2,18180,741.3789,7.06,-1,1,-1,458.748914,2+,
2,287,494.29135,20.96101,73.9,30598,494.29135,5.07,-1,1,-1,458.748914,2+,
2,288,582.32556,20.966,84.1,23311,582.32556,5.81,-1,1,-1,458.748914,2+,
2,289,340.69965,20.99043,32.4,91502,340.69965,2.24,-1,1,-1,458.748914,2+,
2,290,581.3235,20.99248,84.1,87947,581.3235,5.81,-1,1,-1,458.748914,2+,
2,291,425.8648,20.9931,38,20809,425.8648,2.65,-1,1,-1,458.748914,2+,
2,292,446.91336,20.99365,44.6,47934,446.91336,3.06,-1,1,-1,458.748914,2+,
2,293,500.52304,21.00659,39.2,19016,500.52304,2.72,-1,1,-1,458.748914,2+,
2,294,607.245,21.00665,51,59193,607.245,3.54,-1,1,-1,458.748914,2+,
2,295,607.74493,21.0068,50.8,31731,607.74493,3.47,-1,1,-1,458.748914,2+,
2,296,730.3148,21.00867,63.5,24842,730.3148,4.37,-1,1,-1,458.748914,2+,
2,297,401.1895,21.00953,36.4,31010,401.1895,2.51,-1,1,-1,458.748914,2+,
2,298,441.24124,21.01237,43.9,18389,441.24124,3,-1,1,-1,458.748914,2+,
2,299,400.68628,21.01903,36.2,56693,400.68628,2.51,-1,1,-1,458.748914,2+,
2,300,432.201,21.02068,40.2,39739,432.201,2.79,-1,1,-1,458.748914,2+,
2,301,646.3011,21.02126,61.1,34815,646.3011,4.23,-1,1,-1,458.748914,2+,
2,302,431.2017,21.02354,40.3,249599,431.2017,2.79,-1,1,-1,458.748914,2+,
2,303,425.1967,21.02395,38.3,58720,425.1967,2.65,-1,1,-1,458.748914,2+,
2,304,425.53195,21.02632,38,46272,425.53195,2.65,-1,1,-1,458.748914,2+,
2,305,431.53635,21.0285,40.3,175614,431.53635,2.79,-1,1,-1,458.748914,2+,
2,306,689.32275,21.02959,93.5,105214,689.32275,6.44,-1,1,-1,458.748914,2+,
2,307,690.32587,21.03038,93.4,42678,690.32587,6.44,-1,1,-1,458.748914,2+,
2,308,431.8695,21.03379,40.3,52198,431.8695,2.79,-1,1,-1,458.748914,2+,
2,309,449.73962,21.03437,42.9,181212,449.73962,2.93,-1,1,-1,458.748914,2+,
2,310,447.249,21.03518,44.4,32683,447.249,3.06,-1,1,-1,458.748914,2+,
2,311,499.8515,21.03687,38.7,28232,499.8515,2.65,-1,1,-1,458.748914,2+,
2,312,722.9814,21.03692,64.1,22644,722.9814,4.43,-1,1,-1,458.748914,2+,
2,313,730.8157,21.03731,63.5,23010,730.8157,4.37,-1,1,-1,458.748914,2+,
2,314,722.4789,21.03786,64.1,39594,722.4789,4.43,-1,1,-1,458.748914,2+,
2,315,393.70248,21.03906,37,38088,393.70248,2.58,-1,1,-1,458.748914,2+,
2,316,450.74246,21.04017,42.9,26875,450.74246,2.93,-1,1,-1,458.748914,2+,
2,317,450.24066,21.04057,42.8,91525,450.24066,2.93,-1,1,-1,458.748914,2+,
2,318,393.19907,21.04064,36.9,96576,393.19907,2.51,-1,1,-1,458.748914,2+,
2,319,723.3207,21.04166,64.2,354059,723.3207,4.43,-1,1,-1,458.748914,2+,
2,320,722.3195,21.04209,64.2,958886,722.3195,4.43,-1,1,-1,458.748914,2+,
2,321,571.24866,21.0421,51.7,43421,571.24866,3.54,-1,1,-1,458.748914,2+,
2,322,722.8208,21.04239,64.2,758141,722.8208,4.43,-1,1,-1,458.748914,2+,
2,323,723.82184,21.0429,64.2,109358,723.82184,4.43,-1,1,-1,458.748914,2+,
2,324,724.3242,21.04455,64.4,30590,724.3242,4.43,-1,1,-1,458.748914,2+,
2,325,569.7477,21.08179,51.6,536378,569.7477,3.54,-1,1,-1,458.748914,2+,
2,326,570.2488,21.08628,51.7,302472,570.2488,3.54,-1,1,-1,458.748914,2+,
2,327,570.7474,21.09027,51.7,111328,570.7474,3.54,-1,1,-1,458.748914,2+,
2,328,465.7093,21.09684,41,10110,465.7093,2.86,-1,1,-1,458.748914,2+,
2,329,517.7356,21.10239,44.1,86235,517.7356,3.06,-1,1,-1,458.748914,2+,
2,330,518.23566,21.10707,44,43646,518.23566,3.06,-1,1,-1,458.748914,2+,
2,331,504.73563,21.12346,45.6,67606,504.73563,3.13,-1,1,-1,458.748914,2+,
2,332,505.23605,21.1595,45.7,20568,505.23605,3.13,-1,1,-1,458.748914,2+,
2,333,604.3445,21.16031,88.4,15847,604.3445,6.09,-1,1,-1,458.748914,2+,
2,334,504.23544,21.16264,45.7,126490,504.23544,3.13,-1,1,-1,458.748914,2+,
2,335,705.38776,21.18955,101.9,31326,705.38776,6.99,-1,1,-1,458.748914,2+,
2,336,173.12668,21.19489,26.5,39096,173.12668,1.83,-1,1,-1,458.748914,2+,
2,337,353.19876,21.195,33.3,206372,353.19876,2.31,-1,1,-1,458.748914,2+,
2,338,505.27567,21.19524,72.3,218100,505.27567,5,-1,1,-1,458.748914,2+,
2,339,353.69925,21.19634,33.4,65250,353.69925,2.31,-1,1,-1,458.748914,2+,
2,340,506.2765,21.19643,72.3,64847,506.2765,5,-1,1,-1,458.748914,2+,
2,341,405.57123,21.20104,39.2,63853,405.57123,2.72,-1,1,-1,458.748914,2+,
2,342,405.90485,21.20242,39.3,23936,405.90485,2.72,-1,1,-1,458.748914,2+,
2,343,405.23523,21.20321,39.2,95537,405.23523,2.72,-1,1,-1,458.748914,2+,
2,344,354.19876,21.2051,33.3,21979,354.19876,2.31,-1,1,-1,458.748914,2+,
2,345,739.76025,21.2317,62.5,159840,739.76025,4.3,-1,1,-1,458.748914,2+,
