func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,684.3447,0.0,85.254,1577,3.36408,5.49,-1.0,1,-1.0
1,2,782.4162,0.0,92.5998,4122,6.54294,5.94,-1.0,1,-1.0
1,3,782.9115,0.0,92.9968,2825,4.4093,5.94,-1.0,1,-1.0
1,7,790.9668,0.0,97.0704,6011,5.80133,6.26,-1.0,1,-1.0
1,5,791.4009,0.0,93.3321,31468,6.5477,6.0,-1.0,1,-1.0
1,4,791.9001,0.0,93.0788,28146,6.57596,6.0,-1.0,1,-1.0
1,6,792.4122,0.0,93.9216,18291,6.76355,6.0,-1.0,1,-1.0
1,8,951.4857,0.0,139.4743,4628,8.30727,8.96,-1.0,1,-1.0
1,10,1052.5461,0.0,148.1913,2916,5.52542,9.52,-1.0,1,-1.0
1,9,1052.5516,0.0,145.5052,1802,4.64818,9.33,-1.0,1,-1.0
