func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,115.0991,0.0,39.0817,3758,5.95289,2.55,-1.0,1,-1.0
1,2,183.1711,0.0,49.0179,2877,6.62131,3.19,-1.0,1,-1.0
1,14,211.1691,0.0,55.6419,3035,5.40374,3.58,-1.0,1,-1.0
1,10,235.1268,0.0,55.1316,40425,5.87006,3.58,-1.0,1,-1.0
1,8,236.1372,0.0,54.999,9787,5.68351,3.51,-1.0,1,-1.0
1,17,263.1291,0.0,57.2006,28072,5.78838,3.71,-1.0,1,-1.0
1,16,264.1388,0.0,57.132,5771,5.52698,3.71,-1.0,1,-1.0
1,47,360.1952,0.0,69.7527,13117,6.05909,4.47,-1.0,1,-1.0
1,48,361.2137,0.0,70.4688,5233,5.95911,4.53,-1.0,1,-1.0
1,9,370.2323,0.0,55.1061,1289,3.45448,3.57,-1.0,1,-1.0
1,15,378.7194,0.0,56.3205,38671,4.5332,3.63,-1.0,1,-1.0
1,18,378.9423,0.0,57.635,2191,3.43177,3.7,-1.0,1,-1.0
1,6,378.9444,0.0,54.5397,990,1.83757,3.5,-1.0,1,-1.0
1,4,379.2119,0.0,53.9867,31494,3.679,3.44,-1.0,1,-1.0
1,19,379.2161,0.0,57.788,17105,2.47475,3.7,-1.0,1,-1.0
1,3,379.4364,0.0,53.4003,993,1.74206,3.44,-1.0,1,-1.0
1,20,379.4384,0.0,57.9941,2898,3.99023,3.7,-1.0,1,-1.0
1,13,379.7221,0.0,55.6046,38616,4.93862,3.57,-1.0,1,-1.0
1,5,379.9367,0.0,54.374,2275,4.92073,3.5,-1.0,1,-1.0
1,11,380.0722,0.0,55.1351,2987,4.33407,3.57,-1.0,1,-1.0
1,12,380.2439,0.0,55.4645,21830,4.94341,3.57,-1.0,1,-1.0
1,7,380.7554,0.0,54.7893,3159,5.54467,3.5,-1.0,1,-1.0
1,22,432.7813,0.0,61.28,1803,3.9246,3.95,-1.0,1,-1.0
1,24,452.2884,0.0,62.4976,2856,5.12699,4.02,-1.0,1,-1.0
1,25,452.7828,0.0,62.508,4897,4.60898,4.02,-1.0,1,-1.0
1,23,453.2844,0.0,62.45,2329,4.74099,4.02,-1.0,1,-1.0
1,52,473.2929,0.0,83.2186,10588,6.15478,5.37,-1.0,1,-1.0
1,53,474.3005,0.0,83.2801,2006,4.08099,5.37,-1.0,1,-1.0
1,49,475.2817,0.0,81.1829,6819,5.99177,5.24,-1.0,1,-1.0
1,51,476.2639,0.0,81.4869,12697,6.1464,5.24,-1.0,1,-1.0
1,50,477.272,0.0,81.3621,3233,6.0879,5.24,-1.0,1,-1.0
1,45,487.3336,0.0,68.1325,5989,4.32373,4.4,-1.0,1,-1.0
1,43,487.8358,0.0,67.9961,4991,4.42069,4.34,-1.0,1,-1.0
1,42,488.3408,0.0,67.9955,2195,4.19462,4.34,-1.0,1,-1.0
1,33,490.3033,0.0,65.2336,2043,4.5157,4.21,-1.0,1,-1.0
1,54,496.309,0.0,87.7125,1479,3.61118,5.62,-1.0,1,-1.0
1,30,500.8017,0.0,64.5186,5112,5.49498,4.15,-1.0,1,-1.0
1,31,501.2946,0.0,64.5227,11182,5.72228,4.15,-1.0,1,-1.0
1,32,501.7981,0.0,64.9251,6877,5.57212,4.15,-1.0,1,-1.0
1,40,508.7997,0.0,66.5337,4245,4.66237,4.27,-1.0,1,-1.0
1,44,508.8325,0.0,68.1191,4983,5.59464,4.4,-1.0,1,-1.0
1,34,509.2803,0.0,65.3145,6091,4.818,4.21,-1.0,1,-1.0
1,46,509.3438,0.0,68.623,2979,4.01423,4.4,-1.0,1,-1.0
1,38,509.7875,0.0,65.8741,26711,4.47782,4.21,-1.0,1,-1.0
1,39,510.0376,0.0,65.9412,1545,3.89295,4.21,-1.0,1,-1.0
