func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,70.0732,0.0,26.493,8743,6.36935,1.72,-1.0,1,-1.0
1,2,72.0889,0.0,28.0655,3387,6.54859,1.85,-1.0,1,-1.0
1,4,86.103,0.0,29.1368,50382,7.09872,1.92,-1.0,1,-1.0
1,39,86.1071,0.0,64.2547,3317,6.94428,4.17,-1.0,1,-1.0
1,3,86.2007,0.0,28.7661,2308,4.48727,1.85,-1.0,1,-1.0
1,5,87.1107,0.0,29.3793,4465,6.61455,1.92,-1.0,1,-1.0
1,7,129.1206,0.0,32.9358,4282,6.1954,2.1,-1.0,1,-1.0
1,6,130.1035,0.0,32.489,6011,6.30675,2.1,-1.0,1,-1.0
1,9,147.1303,0.0,35.0954,27804,6.17547,2.29,-1.0,1,-1.0
1,8,148.1361,0.0,34.878,2521,5.66184,2.23,-1.0,1,-1.0
1,10,159.134,0.0,38.2845,16027,6.40479,2.49,-1.0,1,-1.0
1,13,173.1516,0.0,41.8217,12826,6.41052,2.68,-1.0,1,-1.0
1,12,181.1209,0.0,40.3875,16377,6.71163,2.61,-1.0,1,-1.0
1,18,183.1377,0.0,42.7962,7846,6.19137,2.74,-1.0,1,-1.0
1,17,183.1761,0.0,42.7585,6716,7.14285,2.74,-1.0,1,-1.0
1,11,187.1327,0.0,40.3824,8331,5.99503,2.61,-1.0,1,-1.0
1,14,199.1323,0.0,41.9703,24653,6.49463,2.68,-1.0,1,-1.0
1,16,200.14,0.0,42.3775,3167,6.43051,2.74,-1.0,1,-1.0
1,20,201.1507,0.0,44.3727,13374,6.39773,2.87,-1.0,1,-1.0
1,19,209.1172,0.0,43.5077,30221,7.21257,2.81,-1.0,1,-1.0
1,15,210.1278,0.0,42.3634,2432,4.12015,2.74,-1.0,1,-1.0
1,22,211.1741,0.0,49.7768,5203,6.31705,3.19,-1.0,1,-1.0
1,21,227.132,0.0,45.0123,18200,6.78361,2.94,-1.0,1,-1.0
1,27,260.2282,0.0,58.839,29445,6.95812,3.77,-1.0,1,-1.0
1,28,261.2375,0.0,59.6975,5612,6.82681,3.84,-1.0,1,-1.0
1,31,272.2336,0.0,61.3525,3776,6.94576,3.96,-1.0,1,-1.0
1,23,274.1778,0.0,54.634,7151,6.59929,3.51,-1.0,1,-1.0
1,25,282.2191,0.0,58.39,9660,6.74651,3.77,-1.0,1,-1.0
1,40,294.2153,0.0,64.464,36264,7.63475,4.16,-1.0,1,-1.0
1,38,295.2265,0.0,64.0955,4669,4.55418,4.16,-1.0,1,-1.0
1,37,298.2177,0.0,62.3662,4352,7.20552,4.03,-1.0,1,-1.0
1,41,322.2192,0.0,66.2665,16338,8.11432,4.27,-1.0,1,-1.0
1,45,340.2303,0.0,67.5761,19047,7.10737,4.34,-1.0,1,-1.0
1,49,341.2387,0.0,67.9484,4291,6.90142,4.34,-1.0,1,-1.0
1,50,381.2617,0.0,70.3341,24155,7.26247,4.53,-1.0,1,-1.0
1,52,382.2701,0.0,71.2817,6524,7.16496,4.6,-1.0,1,-1.0
1,58,387.2778,0.0,72.8835,3259,7.34835,4.66,-1.0,1,-1.0
1,54,391.2333,0.0,71.6318,68104,7.35311,4.6,-1.0,1,-1.0
1,80,391.2857,0.0,79.4892,16381,5.72007,5.11,-1.0,1,-1.0
1,51,391.4517,0.0,71.1426,2156,5.08429,4.6,-1.0,1,-1.0
1,53,392.2546,0.0,71.5463,28736,7.16061,4.6,-1.0,1,-1.0
1,77,392.2959,0.0,79.0387,6516,6.1625,5.11,-1.0,1,-1.0
1,55,393.2628,0.0,72.0139,3878,7.23727,4.66,-1.0,1,-1.0
1,59,409.2483,0.0,73.0891,61469,7.69427,4.72,-1.0,1,-1.0
1,60,410.2714,0.0,73.5647,23083,7.85274,4.72,-1.0,1,-1.0
1,24,411.2658,0.0,54.6832,3719,4.46524,3.5,-1.0,1,-1.0
1,72,427.2745,0.0,76.8005,20740,7.64941,4.92,-1.0,1,-1.0
1,69,428.2837,0.0,76.3487,5470,7.61183,4.92,-1.0,1,-1.0
1,67,431.2497,0.0,75.6931,7691,8.18627,4.85,-1.0,1,-1.0
1,30,460.8044,0.0,61.2715,8502,5.24762,3.95,-1.0,1,-1.0
1,29,461.3074,0.0,61.1395,4874,5.00113,3.95,-1.0,1,-1.0
1,88,462.3242,0.0,84.476,46759,8.24965,5.43,-1.0,1,-1.0
1,90,463.3362,0.0,84.9246,17676,8.03597,5.43,-1.0,1,-1.0
1,26,478.7999,0.0,58.4677,3828,5.42506,3.76,-1.0,1,-1.0
1,94,480.3431,0.0,86.8962,31094,8.0699,5.56,-1.0,1,-1.0
1,93,481.3532,0.0,86.2944,10470,7.7094,5.56,-1.0,1,-1.0
1,89,490.3105,0.0,84.5159,81494,8.47796,5.43,-1.0,1,-1.0
1,87,490.5593,0.0,84.305,2583,5.76311,5.43,-1.0,1,-1.0
1,92,491.3277,0.0,85.0299,37751,7.93159,5.5,-1.0,1,-1.0
1,91,492.3515,0.0,84.9347,7669,7.96483,5.43,-1.0,1,-1.0
1,33,495.3226,0.0,62.1497,5183,5.85749,4.02,-1.0,1,-1.0
1,32,495.8224,0.0,61.7953,4439,5.87877,3.95,-1.0,1,-1.0
