func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,84.0547,0.0,23.9358,2311,5.26889,1.53,-1.0,1,-1.0
1,4,86.1074,0.0,27.0953,3822,5.51877,1.79,-1.0,1,-1.0
1,2,101.0841,0.0,24.2641,2817,5.11007,1.6,-1.0,1,-1.0
1,3,110.0864,0.0,24.8955,3122,4.85627,1.6,-1.0,1,-1.0
1,6,159.1152,0.0,34.6958,3490,5.39819,2.23,-1.0,1,-1.0
1,5,175.1446,0.0,34.0918,8674,5.09864,2.23,-1.0,1,-1.0
1,7,185.1907,0.0,40.2274,11904,5.44073,2.61,-1.0,1,-1.0
1,8,213.1912,0.0,42.1673,5347,5.09225,2.74,-1.0,1,-1.0
1,15,285.177,0.0,50.2034,5822,5.4294,3.26,-1.0,1,-1.0
1,14,290.1891,0.0,49.7768,2487,3.55682,3.19,-1.0,1,-1.0
1,10,314.2072,0.0,43.3333,4419,3.77099,2.81,-1.0,1,-1.0
1,22,341.2671,0.0,58.0614,12405,5.92035,3.76,-1.0,1,-1.0
1,9,378.738,0.0,42.9822,1290,3.66671,2.73,-1.0,1,-1.0
1,34,389.272,0.0,62.9963,4977,5.59234,4.02,-1.0,1,-1.0
1,42,413.2556,0.0,65.2907,3049,5.86453,4.21,-1.0,1,-1.0
1,11,422.2612,0.0,46.2926,3039,3.62419,2.99,-1.0,1,-1.0
1,13,450.7737,0.0,49.1877,5951,3.81951,3.18,-1.0,1,-1.0
1,12,451.2748,0.0,49.1809,1294,3.56461,3.18,-1.0,1,-1.0
1,19,455.3044,0.0,51.9515,1466,3.92171,3.31,-1.0,1,-1.0
1,66,488.3623,0.0,74.2009,2961,6.50323,4.79,-1.0,1,-1.0
1,65,490.3352,0.0,74.1894,11910,6.01441,4.79,-1.0,1,-1.0
1,16,505.8067,0.0,51.3871,4230,4.33209,3.31,-1.0,1,-1.0
1,17,506.296,0.0,51.4801,9414,4.05288,3.31,-1.0,1,-1.0
1,18,506.8035,0.0,51.589,2429,3.88151,3.31,-1.0,1,-1.0
1,20,514.8101,0.0,54.822,7338,4.04216,3.5,-1.0,1,-1.0
1,21,515.317,0.0,54.938,2051,4.16009,3.5,-1.0,1,-1.0
1,25,534.3598,0.0,59.0838,2019,4.5541,3.83,-1.0,1,-1.0
1,26,548.3587,0.0,59.6102,2398,5.60062,3.83,-1.0,1,-1.0
1,23,572.3328,0.0,58.8566,6766,4.11368,3.76,-1.0,1,-1.0
1,24,572.8397,0.0,58.8573,1933,3.77208,3.76,-1.0,1,-1.0
1,27,576.8719,0.0,60.8437,3503,4.38238,3.89,-1.0,1,-1.0
1,96,597.4394,0.0,89.1347,2299,3.85459,5.75,-1.0,1,-1.0
1,35,620.396,0.0,63.6381,3204,4.38697,4.07,-1.0,1,-1.0
1,93,625.438,0.0,88.0483,8421,6.90567,5.68,-1.0,1,-1.0
1,91,627.4109,0.0,86.446,13182,6.38915,5.55,-1.0,1,-1.0
1,29,629.8579,0.0,61.2772,2398,4.04784,3.94,-1.0,1,-1.0
1,43,672.8689,0.0,65.348,2049,4.7586,4.2,-1.0,1,-1.0
1,40,673.3782,0.0,64.7977,3942,4.35361,4.14,-1.0,1,-1.0
1,36,699.7257,0.0,64.2536,4103,4.24599,4.14,-1.0,1,-1.0
1,37,700.0614,0.0,64.2933,2706,4.4171,4.14,-1.0,1,-1.0
1,50,716.9019,0.0,67.5014,3531,4.38358,4.33,-1.0,1,-1.0
1,55,721.4364,0.0,70.2181,5874,4.40732,4.52,-1.0,1,-1.0
1,54,721.9413,0.0,70.0841,2587,4.72101,4.52,-1.0,1,-1.0
1,49,745.4134,0.0,66.7793,9044,4.75725,4.26,-1.0,1,-1.0
1,48,745.9197,0.0,66.6973,3405,4.76522,4.26,-1.0,1,-1.0
1,45,748.7574,0.0,66.1137,4877,4.87262,4.26,-1.0,1,-1.0
1,44,749.0903,0.0,65.9745,3694,4.90736,4.2,-1.0,1,-1.0
1,99,756.4771,0.0,91.6455,7511,7.01126,5.87,-1.0,1,-1.0
1,111,772.5258,0.0,101.0339,9037,7.60782,6.51,-1.0,1,-1.0
1,69,778.9549,0.0,74.6923,10600,4.70659,4.78,-1.0,1,-1.0
1,67,779.4584,0.0,74.6349,5189,4.43979,4.78,-1.0,1,-1.0
1,30,779.7729,0.0,61.2983,2647,6.49576,3.94,-1.0,1,-1.0
1,28,780.1019,0.0,61.0892,2244,6.06385,3.94,-1.0,1,-1.0
1,33,785.4447,0.0,62.7534,6712,5.51194,4.01,-1.0,1,-1.0
1,31,785.7697,0.0,62.4712,11715,5.68214,4.01,-1.0,1,-1.0
1,32,786.1029,0.0,62.5251,6004,5.08972,4.01,-1.0,1,-1.0
1,70,787.4766,0.0,75.1517,3849,4.45179,4.84,-1.0,1,-1.0
1,71,787.9797,0.0,75.1766,1825,4.58192,4.84,-1.0,1,-1.0
1,38,791.4417,0.0,64.5721,13887,5.38754,4.14,-1.0,1,-1.0
1,39,791.7761,0.0,64.6187,11098,5.01789,4.14,-1.0,1,-1.0
1,41,818.8026,0.0,65.0812,2282,6.09764,4.2,-1.0,1,-1.0
1,47,824.4749,0.0,66.4942,10905,5.8135,4.26,-1.0,1,-1.0
1,46,824.8063,0.0,66.48,9393,5.54713,4.26,-1.0,1,-1.0
1,79,828.9967,0.0,78.6106,3222,5.77529,5.04,-1.0,1,-1.0
1,57,829.4587,0.0,71.4374,2556,5.39095,4.59,-1.0,1,-1.0
1,62,829.9561,0.0,72.097,4157,5.97259,4.65,-1.0,1,-1.0
1,60,838.4587,0.0,71.7958,14479,5.04987,4.59,-1.0,1,-1.0
1,58,838.9656,0.0,71.6443,7046,5.12758,4.59,-1.0,1,-1.0
1,78,842.9931,0.0,78.251,7705,5.39572,5.04,-1.0,1,-1.0
1,77,843.4999,0.0,78.1207,4482,5.74639,5.04,-1.0,1,-1.0
1,110,843.5162,0.0,100.9279,8459,6.9001,6.45,-1.0,1,-1.0
1,51,850.501,0.0,67.7299,4947,7.77493,4.33,-1.0,1,-1.0
1,61,856.1682,0.0,71.9836,7840,5.00107,4.59,-1.0,1,-1.0
1,53,856.1691,0.0,69.1012,8598,4.95613,4.46,-1.0,1,-1.0
1,56,856.4969,0.0,70.9045,23188,8.59521,4.52,-1.0,1,-1.0
1,59,856.8318,0.0,71.6921,10204,7.91453,4.59,-1.0,1,-1.0
1,68,862.1411,0.0,74.6424,51585,7.74948,4.78,-1.0,1,-1.0
1,52,862.4878,0.0,68.7227,34883,9.1889,4.39,-1.0,1,-1.0
1,73,862.4921,0.0,76.7649,16573,7.34452,4.91,-1.0,1,-1.0
1,64,862.9807,0.0,73.9076,10221,6.17859,4.71,-1.0,1,-1.0
1,63,863.3305,0.0,73.8775,3003,4.77552,4.71,-1.0,1,-1.0
1,81,871.5101,0.0,80.0748,4753,5.41953,5.16,-1.0,1,-1.0
1,80,872.0151,0.0,79.8963,2638,5.14962,5.1,-1.0,1,-1.0
