func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,188.1252,0.0,43.9263,4466,6.7128,2.81,-1.0,1,-1.0
1,2,216.1242,0.0,50.2543,13616,7.16335,3.26,-1.0,1,-1.0
1,5,248.1897,0.0,57.5498,8442,7.11037,3.71,-1.0,1,-1.0
1,25,363.2305,0.0,74.5212,11724,7.72055,4.79,-1.0,1,-1.0
1,26,367.2439,0.0,80.5331,3239,4.92679,5.17,-1.0,1,-1.0
1,3,370.2307,0.0,54.0826,11332,5.34327,3.5,-1.0,1,-1.0
1,4,370.7324,0.0,54.3232,6703,5.35795,3.5,-1.0,1,-1.0
1,8,394.2496,0.0,58.7825,25716,5.59554,3.76,-1.0,1,-1.0
1,7,394.7549,0.0,58.5173,13678,5.5219,3.76,-1.0,1,-1.0
1,27,395.2407,0.0,81.5061,3012,4.70934,5.24,-1.0,1,-1.0
1,28,395.2421,0.0,84.0493,4540,5.20044,5.43,-1.0,1,-1.0
1,6,395.2656,0.0,58.3887,4033,5.56196,3.76,-1.0,1,-1.0
1,30,476.3308,0.0,100.1061,9062,8.62674,6.46,-1.0,1,-1.0
1,10,484.2987,0.0,65.3621,5635,6.66102,4.21,-1.0,1,-1.0
1,12,484.8001,0.0,65.8218,2984,6.18026,4.21,-1.0,1,-1.0
1,17,492.7887,0.0,66.8018,49869,6.47511,4.27,-1.0,1,-1.0
1,15,493.0399,0.0,66.5226,2676,5.27597,4.27,-1.0,1,-1.0
1,16,493.2949,0.0,66.7259,38988,6.57473,4.27,-1.0,1,-1.0
1,11,493.8018,0.0,65.4522,20092,6.53905,4.21,-1.0,1,-1.0
1,9,494.3148,0.0,64.2638,2624,3.71886,4.15,-1.0,1,-1.0
1,18,494.3213,0.0,66.8069,2252,3.97842,4.27,-1.0,1,-1.0
1,19,501.2997,0.0,67.0567,3996,6.37253,4.34,-1.0,1,-1.0
1,20,501.7891,0.0,68.1367,57384,6.51599,4.4,-1.0,1,-1.0
1,14,502.0441,0.0,66.418,2205,3.92641,4.27,-1.0,1,-1.0
1,13,502.305,0.0,66.1407,18850,3.53039,4.27,-1.0,1,-1.0
1,23,502.3057,0.0,70.8991,22392,4.01604,4.53,-1.0,1,-1.0
1,21,502.8038,0.0,68.3099,18715,6.14132,4.4,-1.0,1,-1.0
1,22,502.9538,0.0,68.3431,1806,4.09969,4.4,-1.0,1,-1.0
1,24,503.3337,0.0,71.0275,3028,5.41237,4.6,-1.0,1,-1.0
1,29,510.2821,0.0,94.5327,9186,8.82386,6.07,-1.0,1,-1.0
1,32,591.368,0.0,112.1099,17662,8.97765,7.23,-1.0,1,-1.0
1,31,592.3756,0.0,111.9681,4337,6.28891,7.17,-1.0,1,-1.0
1,33,623.3804,0.0,116.7176,2837,6.13074,7.48,-1.0,1,-1.0
1,35,787.5102,0.0,142.4465,23926,9.62124,9.15,-1.0,1,-1.0
1,34,788.5206,0.0,141.6528,10544,9.59357,9.08,-1.0,1,-1.0
