func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,2,72.0872,0.0,29.0313,17920,7.53665,1.92,-1.0,1,-1.0
1,1,110.084,0.0,28.707,2885,6.25587,1.85,-1.0,1,-1.0
1,3,129.1171,0.0,35.8578,7077,7.27814,2.29,-1.0,1,-1.0
1,4,136.0921,0.0,37.1832,3294,6.76387,2.42,-1.0,1,-1.0
1,5,147.1307,0.0,37.4398,6702,6.79456,2.42,-1.0,1,-1.0
1,6,157.1161,0.0,40.1376,4224,4.1486,2.61,-1.0,1,-1.0
1,7,204.1599,0.0,49.6469,5146,7.16701,3.19,-1.0,1,-1.0
1,8,267.1414,0.0,57.3639,3216,4.1028,3.71,-1.0,1,-1.0
1,11,272.1548,0.0,60.4399,16458,7.39044,3.9,-1.0,1,-1.0
1,12,275.2052,0.0,60.7261,7096,7.24737,3.9,-1.0,1,-1.0
1,16,315.2038,0.0,66.0541,4955,7.7135,4.27,-1.0,1,-1.0
1,29,343.202,0.0,71.6518,8803,8.02487,4.6,-1.0,1,-1.0
1,27,358.182,0.0,70.4604,3380,6.52773,4.53,-1.0,1,-1.0
1,34,388.303,0.0,83.1172,3645,4.89703,5.37,-1.0,1,-1.0
1,9,392.2279,0.0,58.5447,2243,5.1756,3.76,-1.0,1,-1.0
1,32,404.2178,0.0,80.7981,2510,4.11535,5.17,-1.0,1,-1.0
1,31,404.2181,0.0,78.4565,2917,4.87922,5.05,-1.0,1,-1.0
1,33,412.2345,0.0,82.1263,4676,8.41849,5.3,-1.0,1,-1.0
1,37,424.2713,0.0,93.7411,1908,4.56659,6.01,-1.0,1,-1.0
1,10,428.7802,0.0,59.2258,2396,5.05303,3.83,-1.0,1,-1.0
1,35,440.2302,0.0,84.0752,7641,8.0672,5.43,-1.0,1,-1.0
1,15,442.7591,0.0,64.6302,9132,5.51873,4.15,-1.0,1,-1.0
1,14,443.2608,0.0,64.393,4884,5.55076,4.15,-1.0,1,-1.0
1,36,457.259,0.0,88.2147,11652,8.62629,5.69,-1.0,1,-1.0
1,13,457.2917,0.0,61.3466,3112,5.17108,3.95,-1.0,1,-1.0
1,19,489.2782,0.0,67.4292,6385,6.02536,4.34,-1.0,1,-1.0
1,20,489.78,0.0,67.6807,3732,6.05345,4.34,-1.0,1,-1.0
1,18,497.3081,0.0,67.2821,2603,5.91595,4.34,-1.0,1,-1.0
1,17,497.8217,0.0,66.2908,6116,6.50716,4.27,-1.0,1,-1.0
1,21,498.2882,0.0,67.7198,9824,6.89738,4.34,-1.0,1,-1.0
1,22,498.7903,0.0,67.8691,5822,6.72824,4.34,-1.0,1,-1.0
1,25,506.3122,0.0,68.7432,14565,7.87325,4.4,-1.0,1,-1.0
1,23,506.8136,0.0,68.2843,36977,6.60367,4.4,-1.0,1,-1.0
1,28,507.2693,0.0,70.4617,44966,6.13271,4.53,-1.0,1,-1.0
1,24,507.7825,0.0,68.371,35276,6.75033,4.4,-1.0,1,-1.0
1,30,507.7829,0.0,71.6789,35157,6.71812,4.6,-1.0,1,-1.0
1,26,508.2846,0.0,69.5643,14444,5.99869,4.47,-1.0,1,-1.0
1,40,556.403,0.0,113.8526,39646,9.22916,7.29,-1.0,1,-1.0
1,39,557.4155,0.0,113.5157,16590,9.08527,7.29,-1.0,1,-1.0
1,41,610.3716,0.0,115.412,4128,5.46157,7.42,-1.0,1,-1.0
1,38,620.3735,0.0,110.1607,6806,8.5622,7.09,-1.0,1,-1.0
1,42,670.4638,0.0,123.0688,21313,9.18721,7.93,-1.0,1,-1.0
1,43,671.4725,0.0,125.0348,8474,9.18437,8.06,-1.0,1,-1.0
1,45,741.5122,0.0,133.1935,14338,9.68442,8.57,-1.0,1,-1.0
1,44,742.5139,0.0,132.9961,6175,9.24029,8.51,-1.0,1,-1.0
1,47,747.4494,0.0,140.1836,7623,9.15537,9.02,-1.0,1,-1.0
1,46,783.4546,0.0,137.7977,2983,5.0774,8.83,-1.0,1,-1.0
1,48,783.4558,0.0,140.7891,1217,2.5268,9.02,-1.0,1,-1.0
1,51,856.5512,0.0,148.0756,10150,5.8063,9.53,-1.0,1,-1.0
1,49,856.5517,0.0,145.3768,8935,6.03326,9.34,-1.0,1,-1.0
1,52,857.5557,0.0,148.8961,3089,2.57192,9.53,-1.0,1,-1.0
1,50,857.5588,0.0,146.4544,1582,1.17694,9.4,-1.0,1,-1.0
1,55,913.5684,0.0,156.9586,35848,9.95398,10.05,-1.0,1,-1.0
1,54,914.582,0.0,156.1074,12831,6.5868,10.05,-1.0,1,-1.0
1,53,915.5901,0.0,155.0898,2934,6.01437,9.98,-1.0,1,-1.0
