func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,1,84.0488,0.0,16.2325,147,147.0
1,4,86.1006,0.0,16.812,1319,1319.0
1,3,108.995,0.0,16.494,1273,1273.0
1,2,110.991,0.0,16.3619,148,148.0
1,6,120.0869,0.0,17.3899,534,534.0
1,7,136.0828,0.0,18.0874,1013,1013.0
1,5,151.0199,0.0,17.2379,1146,1146.0
1,8,172.9668,0.0,18.1832,184,184.0
1,12,175.1275,0.0,19.8823,279,279.0
1,10,178.0608,0.0,19.1011,137,137.0
1,17,204.9416,0.0,20.3633,226,226.0
1,18,206.9555,0.0,20.688,1053,1053.0
1,11,207.9534,0.0,19.1773,114,114.0
1,13,208.9551,0.0,19.8838,940,940.0
1,15,210.9528,0.0,20.044,475,475.0
1,9,212.9464,0.0,18.9243,260,260.0
1,14,214.951,0.0,19.982,218,218.0
1,16,216.9464,0.0,20.3478,109,109.0
1,25,238.9311,0.0,23.116,228,228.0
1,23,240.9305,0.0,22.5991,189,189.0
1,24,242.9252,0.0,22.6183,121,121.0
1,35,249.1718,0.0,32.8826,945,945.0
1,37,250.1773,0.0,34.0016,164,164.0
1,26,272.9038,0.0,24.2064,330,330.0
1,27,274.8989,0.0,24.5945,183,183.0
1,39,277.168,0.0,35.3192,548,548.0
1,38,278.1731,0.0,34.9923,114,114.0
1,28,278.8976,0.0,25.9052,153,153.0
1,29,285.9914,0.0,28.6806,180,180.0
1,40,300.1709,0.0,38.5126,132,132.0
1,36,307.0234,0.0,33.1931,138,138.0
1,41,316.1265,0.0,38.713,141,141.0
1,21,344.9929,0.0,21.0749,555,555.0
1,20,345.9971,0.0,20.992,616,616.0
1,22,346.9945,0.0,21.1156,620,620.0
1,19,348.9995,0.0,20.9574,254,254.0
1,32,421.0068,0.0,29.399,239,239.0
1,33,422.0046,0.0,29.5649,318,318.0
1,42,422.8573,0.0,43.956,115,115.0
1,30,423.0106,0.0,28.9801,274,274.0
1,31,425.0071,0.0,29.119,121,121.0
1,44,440.2435,0.0,58.3626,273,273.0
1,34,475.9204,0.0,30.7621,105,105.0
1,48,565.3384,0.0,82.9915,328,328.0
1,43,582.2827,0.0,50.1867,126,126.0
1,50,728.4159,0.0,101.1291,223,223.0
1,47,776.9174,0.0,68.1166,189,189.0
1,46,777.4243,0.0,67.1381,208,208.0
1,45,777.9147,0.0,67.0947,124,124.0
1,49,799.4467,0.0,99.8308,418,418.0
1,51,847.472,0.0,112.2357,258,258.0
1,52,848.4927,0.0,113.7178,208,208.0
1,53,870.4936,0.0,120.141,344,344.0
1,54,1002.5286,0.0,131.8961,239,239.0
1,55,1002.5395,0.0,138.7562,258,258.0
1,56,1003.5295,0.0,139.8059,203,203.0
