func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,8,100.0809,0.0,16.0362,305,305.0
1,6,101.0742,0.0,16.0214,1280,1280.0
1,3,101.1101,0.0,15.977501,192,192.0
1,5,110.0753,0.0,16.0061,5151,5151.0
1,2,111.0788,0.0,15.964401,354,354.0
1,10,115.0911,0.0,16.062,1583,1583.0
1,19,118.0902,0.0,16.1113,3578,3578.0
1,17,119.0935,0.0,16.107,367,367.0
1,14,120.0849,0.0,16.092,7724,7724.0
1,21,121.0894,0.0,16.1473,845,845.0
1,22,127.0918,0.0,16.1542,398,398.0
1,13,129.0686,0.0,16.0903,412,412.0
1,15,129.1078,0.0,16.0921,6346,6346.0
1,9,130.0703,0.0,16.0447,1646,1646.0
1,16,130.1097,0.0,16.0926,552,552.0
1,1,131.0739,0.0,15.886299,182,182.0
1,11,132.0836,0.0,16.0814,389,389.0
1,7,140.0743,0.0,16.0274,172,172.0
1,4,142.1301,0.0,15.9802,232,232.0
1,26,143.1224,0.0,16.1901,488,488.0
1,18,145.1028,0.0,16.1095,2095,2095.0
1,12,146.1048,0.0,16.0866,238,238.0
1,40,155.0886,0.0,16.2873,199,199.0
1,20,156.0818,0.0,16.1386,2844,2844.0
1,33,157.1391,0.0,16.2561,2566,2566.0
1,29,158.142,0.0,16.1987,366,366.0
1,41,167.0893,0.0,16.2884,255,255.0
1,35,171.1195,0.0,16.2629,2347,2347.0
1,24,172.0815,0.0,16.1713,428,428.0
1,65,172.1232,0.0,16.5499,251,251.0
1,27,173.0983,0.0,16.1932,2221,2221.0
1,38,174.1016,0.0,16.2849,213,213.0
1,50,175.1111,0.0,16.3738,3226,3226.0
1,31,181.1042,0.0,16.2321,183,183.0
1,30,184.1135,0.0,16.2113,963,963.0
1,45,185.1345,0.0,16.3121,1696,1696.0
1,47,186.1366,0.0,16.3359,303,303.0
1,42,190.0943,0.0,16.2894,2267,2267.0
1,28,191.0935,0.0,16.1957,433,433.0
1,23,193.1107,0.0,16.1665,145,145.0
1,43,195.0827,0.0,16.3007,490,490.0
1,46,197.1709,0.0,16.323,431,431.0
1,34,198.1293,0.0,16.2586,3685,3685.0
1,32,199.1335,0.0,16.2449,431,431.0
1,63,200.0808,0.0,16.5299,192,192.0
1,54,200.145,0.0,16.3984,330,330.0
1,52,202.127,0.0,16.3898,336,336.0
1,57,203.1245,0.0,16.4348,383,383.0
1,48,208.1164,0.0,16.3557,367,367.0
1,39,209.0987,0.0,16.286,1512,1512.0
1,36,210.1068,0.0,16.2757,207,207.0
1,53,212.1095,0.0,16.3905,1617,1617.0
1,37,213.0973,0.0,16.2804,766,766.0
1,56,213.1657,0.0,16.4173,759,759.0
1,49,214.0963,0.0,16.3575,148,148.0
1,44,217.1043,0.0,16.3031,1211,1211.0
1,51,218.0902,0.0,16.3873,894,894.0
1,55,221.1085,0.0,16.4035,461,461.0
1,25,223.0901,0.0,16.1795,196,196.0
1,62,225.1403,0.0,16.5082,638,638.0
1,61,226.123,0.0,16.4968,9114,9114.0
1,58,227.1283,0.0,16.4848,1354,1354.0
1,64,228.1387,0.0,16.534,282,282.0
1,67,230.1221,0.0,16.5637,739,739.0
1,68,231.1202,0.0,16.5728,426,426.0
1,70,235.1128,0.0,16.605,16661,16661.0
1,66,236.1183,0.0,16.5528,3427,3427.0
1,69,237.1216,0.0,16.5798,424,424.0
1,71,238.1262,0.0,16.6114,261,261.0
1,59,240.103,0.0,16.4863,205,205.0
1,78,241.1573,0.0,16.8128,227,227.0
1,93,242.1962,0.0,17.265,1134,1134.0
1,72,243.1172,0.0,16.6211,1379,1379.0
1,77,243.1558,0.0,16.8078,2476,2476.0
1,74,245.1002,0.0,16.6876,654,654.0
1,75,253.1017,0.0,16.7291,344,344.0
1,60,254.1197,0.0,16.4873,274,274.0
1,91,255.1573,0.0,17.2264,208,208.0
1,80,257.1426,0.0,16.9396,335,335.0
1,101,262.1299,0.0,17.4123,716,716.0
1,76,263.112,0.0,16.8003,3235,3235.0
1,79,264.1178,0.0,16.9363,582,582.0
1,95,265.1381,0.0,17.2881,267,267.0
1,96,266.1217,0.0,17.3055,479,479.0
1,123,268.1202,0.0,18.2966,200,200.0
1,99,268.1749,0.0,17.3623,255,255.0
1,110,269.1678,0.0,17.705,155,155.0
1,107,270.191,0.0,17.5924,257,257.0
1,88,271.1522,0.0,17.1845,620,620.0
1,112,281.1755,0.0,17.7619,220,220.0
1,103,282.1163,0.0,17.443,305,305.0
1,97,282.1559,0.0,17.3331,388,388.0
1,113,283.1489,0.0,17.8095,2125,2125.0
1,115,284.1451,0.0,17.879,601,601.0
1,111,285.1444,0.0,17.7599,1693,1693.0
1,116,286.1883,0.0,17.8865,924,924.0
1,153,288.1986,0.0,19.2166,7108,7108.0
1,147,289.2028,0.0,19.0351,1163,1163.0
1,102,290.1221,0.0,17.4135,537,537.0
1,162,290.2075,0.0,19.3775,148,148.0
1,124,292.1399,0.0,18.3179,531,531.0
1,184,298.1883,0.0,20.0781,574,574.0
1,132,299.1833,0.0,18.6712,1066,1066.0
1,114,300.1081,0.0,17.816,189,189.0
1,134,300.1829,0.0,18.7081,487,487.0
1,130,301.1612,0.0,18.6135,1104,1104.0
1,140,302.1546,0.0,18.9486,172,172.0
1,125,304.1494,0.0,18.3209,363,363.0
1,169,308.1795,0.0,19.6667,159,159.0
1,198,309.1634,0.0,20.3443,7737,7737.0
1,179,310.1653,0.0,19.8905,1679,1679.0
1,148,311.1552,0.0,19.041,459,459.0
1,297,313.2366,0.0,22.5186,163,163.0
1,104,319.0942,0.0,17.4572,340,340.0
1,142,322.1611,0.0,18.9602,906,906.0
1,133,323.1622,0.0,18.6779,183,183.0
1,232,325.2008,0.0,21.1596,147,147.0
1,190,326.1898,0.0,20.2118,852,852.0
1,185,327.1797,0.0,20.1338,7742,7742.0
1,178,328.1788,0.0,19.8842,2337,2337.0
1,182,329.172,0.0,19.9716,508,508.0
1,157,332.1374,0.0,19.2696,163,163.0
1,163,337.1626,0.0,19.3923,216,216.0
1,252,338.231,0.0,21.6314,281,281.0
1,278,339.2156,0.0,22.1257,269,269.0
1,244,340.1721,0.0,21.3666,9932,9932.0
1,247,341.1751,0.0,21.4765,2014,2014.0
1,329,341.2312,0.0,23.6658,841,841.0
1,187,342.1223,0.0,20.1879,314,314.0
1,235,342.1808,0.0,21.1769,248,248.0
1,280,343.2093,0.0,22.1516,882,882.0
1,261,344.2048,0.0,21.7691,1627,1627.0
1,260,345.2039,0.0,21.7371,598,598.0
1,271,349.1673,0.0,22.0019,149,149.0
1,262,350.174,0.0,21.7692,295,295.0
1,309,352.2099,0.0,22.8602,450,450.0
1,295,353.1998,0.0,22.4814,221,221.0
1,263,354.1904,0.0,21.788,2034,2034.0
1,249,355.1897,0.0,21.5393,535,535.0
1,359,356.2421,0.0,24.3845,1904,1904.0
1,346,357.2408,0.0,24.1845,451,451.0
1,286,359.1473,0.0,22.1877,683,683.0
1,375,359.2411,0.0,24.728,2320,2320.0
1,200,360.1319,0.0,20.3549,424,424.0
1,368,360.2459,0.0,24.6213,513,513.0
1,347,361.2363,0.0,24.1951,147,147.0
1,296,362.1569,0.0,22.506,836,836.0
1,294,363.1739,0.0,22.4348,338,338.0
1,265,364.1803,0.0,21.8613,117,117.0
1,321,368.1863,0.0,23.3502,1290,1290.0
1,311,369.185,0.0,22.9302,219,219.0
1,405,369.222,0.0,25.3337,357,357.0
1,387,370.2209,0.0,24.9266,1333,1333.0
1,396,371.229,0.0,25.0939,285,285.0
1,313,372.2119,0.0,22.9787,217,217.0
1,354,373.1983,0.0,24.3513,1022,1022.0
1,366,374.2079,0.0,24.604,230,230.0
1,306,376.1677,0.0,22.8047,187,187.0
1,336,377.1577,0.0,23.9268,3597,3597.0
1,337,378.1598,0.0,23.9679,891,891.0
1,327,379.1627,0.0,23.6321,185,185.0
1,413,380.2052,0.0,25.4623,3959,3959.0
1,373,381.2002,0.0,24.6981,1321,1321.0
1,404,382.1901,0.0,25.3167,308,308.0
1,388,383.1864,0.0,24.9296,448,448.0
1,486,384.2391,0.0,27.2333,750,750.0
1,515,385.2468,0.0,27.7012,247,247.0
1,613,386.2588,0.0,29.872,292,292.0
1,475,390.2263,0.0,26.9816,413,413.0
1,416,394.1845,0.0,25.4998,1236,1236.0
1,431,395.1898,0.0,25.842,320,320.0
1,482,396.1873,0.0,27.1119,243,243.0
1,457,396.2378,0.0,26.3191,407,407.0
1,474,397.238,0.0,26.9798,346,346.0
1,496,398.2161,0.0,27.4012,9997,9997.0
1,491,399.2215,0.0,27.299,2501,2501.0
1,483,400.2153,0.0,27.1602,640,640.0
1,469,401.1975,0.0,26.8833,491,491.0
1,226,402.0825,0.0,21.1189,182,182.0
1,466,402.1931,0.0,26.7698,178,178.0
1,284,404.0948,0.0,22.1682,122,122.0
1,596,413.2428,0.0,29.049,254,254.0
1,611,414.2515,0.0,29.7367,768,768.0
1,523,415.2446,0.0,27.8047,899,899.0
1,544,416.2403,0.0,28.2302,442,442.0
1,628,422.2544,0.0,30.2419,125,125.0
1,606,426.2201,0.0,29.3703,154,154.0
1,73,427.7283,0.0,16.6316,144,144.0
1,635,428.2477,0.0,30.4942,159,159.0
1,615,430.2265,0.0,29.9236,137,137.0
1,89,436.7141,0.0,17.1924,1242,1242.0
1,83,437.2142,0.0,17.1065,642,642.0
1,642,437.2197,0.0,30.8861,637,637.0
1,92,437.7136,0.0,17.2318,171,171.0
1,514,438.1827,0.0,27.695,231,231.0
1,647,438.2261,0.0,31.038399,176,176.0
1,871,441.3356,0.0,37.8956,357,357.0
1,708,442.282,0.0,32.795,1171,1171.0
1,724,443.2883,0.0,33.3684,306,306.0
1,655,446.2581,0.0,31.2179,199,199.0
1,84,447.7268,0.0,17.1415,172,172.0
1,100,452.7332,0.0,17.3691,163,163.0
1,654,454.2528,0.0,31.217499,192,192.0
1,527,455.2051,0.0,27.8626,2121,2121.0
1,703,456.2418,0.0,32.6645,1834,1834.0
1,711,457.2498,0.0,32.9158,532,532.0
1,749,460.2954,0.0,34.1767,5361,5361.0
1,760,461.296,0.0,34.4685,1439,1439.0
1,741,462.305,0.0,33.9264,213,213.0
1,866,465.2984,0.0,37.8386,229,229.0
1,614,466.1655,0.0,29.9121,932,932.0
1,702,466.2848,0.0,32.6457,280,280.0
1,85,466.7421,0.0,17.158,1274,1274.0
1,624,467.1669,0.0,30.1852,281,281.0
1,82,467.2396,0.0,17.0746,891,891.0
1,731,467.2853,0.0,33.5363,434,434.0
1,86,467.7431,0.0,17.1617,255,255.0
1,764,468.2814,0.0,34.6676,122,122.0
1,877,469.3298,0.0,38.0942,924,924.0
1,781,470.2225,0.0,35.0434,283,283.0
1,879,470.3337,0.0,38.1732,284,284.0
1,784,471.2474,0.0,35.1867,211,211.0
1,788,472.2592,0.0,35.24,142,142.0
1,759,473.2666,0.0,34.3889,226,226.0
1,974,473.3644,0.0,41.7708,570,570.0
1,720,474.2537,0.0,33.2203,949,949.0
1,701,475.2484,0.0,32.6401,272,272.0
1,90,475.7454,0.0,17.212,594,594.0
1,570,476.1228,0.0,28.5657,130,130.0
1,98,476.2488,0.0,17.3497,337,337.0
1,94,476.7327,0.0,17.2752,225,225.0
1,739,482.2442,0.0,33.8829,170,170.0
1,106,483.239,0.0,17.5788,172,172.0
1,857,483.3103,0.0,37.6767,2930,2930.0
1,109,483.725,0.0,17.6249,219,219.0
1,861,484.3105,0.0,37.7043,1236,1236.0
1,108,485.2408,0.0,17.6149,525,525.0
1,850,485.3115,0.0,37.3989,258,258.0
1,87,485.7079,0.0,17.1657,862,862.0
1,81,486.2086,0.0,16.988,433,433.0
1,892,486.3596,0.0,38.5936,210,210.0
1,829,487.2499,0.0,36.8069,788,788.0
1,149,487.7477,0.0,19.0829,160,160.0
1,824,488.2337,0.0,36.7284,2116,2116.0
1,138,488.251,0.0,18.7956,133,133.0
1,838,489.2438,0.0,36.9975,529,529.0
1,812,490.2588,0.0,36.1839,139,139.0
1,830,491.2856,0.0,36.8217,292,292.0
1,121,491.7624,0.0,18.0495,496,496.0
1,119,492.2569,0.0,17.9718,282,282.0
1,561,493.1588,0.0,28.4402,123,123.0
1,845,493.2944,0.0,37.2064,1061,1061.0
1,120,493.7562,0.0,17.9837,124,124.0
1,809,494.2888,0.0,36.1081,864,864.0
1,814,495.2849,0.0,36.2537,399,399.0
1,197,496.2536,0.0,20.3392,730,730.0
1,813,496.2845,0.0,36.2214,267,267.0
1,170,496.7573,0.0,19.6671,452,452.0
1,144,497.2474,0.0,18.9959,212,212.0
1,854,499.285,0.0,37.5992,216,216.0
1,141,501.2525,0.0,18.9577,310,310.0
1,783,501.2627,0.0,35.1694,236,236.0
1,137,501.7438,0.0,18.7289,438,438.0
1,136,502.2448,0.0,18.7238,271,271.0
1,785,502.2605,0.0,35.1973,119,119.0
1,131,502.7483,0.0,18.6558,153,153.0
1,909,505.2598,0.0,39.083,4016,4016.0
1,126,505.7306,0.0,18.3219,173,173.0
1,911,506.2633,0.0,39.0895,1159,1159.0
1,128,506.7332,0.0,18.5584,145,145.0
1,105,507.2158,0.0,17.5164,201,201.0
1,888,507.2664,0.0,38.4618,291,291.0
1,127,507.7436,0.0,18.4613,197,197.0
1,166,510.2515,0.0,19.6039,4465,4465.0
1,164,510.7537,0.0,19.577,2838,2838.0
1,152,511.2546,0.0,19.2101,1022,1022.0
1,886,511.3046,0.0,38.4575,9817,9817.0
1,139,511.7568,0.0,18.8843,513,513.0
1,154,512.2692,0.0,19.2371,212,212.0
1,899,512.3073,0.0,38.7305,3461,3461.0
1,159,513.2654,0.0,19.2911,138,138.0
1,905,513.3084,0.0,38.8956,754,754.0
1,894,514.3036,0.0,38.6199,173,173.0
1,825,515.258,0.0,36.7357,1258,1258.0
1,129,515.2622,0.0,18.5983,229,229.0
1,118,515.7317,0.0,17.9698,799,799.0
1,117,516.2347,0.0,17.9071,469,469.0
1,821,516.2631,0.0,36.5209,470,470.0
1,122,516.7353,0.0,18.155,250,250.0
1,605,517.1227,0.0,29.3454,265,265.0
1,945,517.3049,0.0,40.3606,442,442.0
1,957,518.3029,0.0,41.0803,128,128.0
1,608,519.13,0.0,29.6293,112,112.0
1,135,519.2622,0.0,18.7196,203,203.0
1,150,519.7579,0.0,19.1673,134,134.0
1,151,520.2754,0.0,19.2067,213,213.0
1,143,520.7748,0.0,18.9777,381,381.0
1,161,521.2859,0.0,19.3702,226,226.0
1,145,521.7715,0.0,19.0074,222,222.0
1,972,522.3117,0.0,41.737,174,174.0
1,212,523.2625,0.0,20.7063,324,324.0
1,253,523.7893,0.0,21.6335,1515,1515.0
1,241,524.288,0.0,21.3263,1063,1063.0
1,239,524.7862,0.0,21.2749,393,393.0
1,155,525.2534,0.0,19.2692,366,366.0
1,146,525.7534,0.0,19.0265,221,221.0
1,177,526.756,0.0,19.8602,166,166.0
1,158,527.2642,0.0,19.2828,173,173.0
1,908,527.2868,0.0,38.9965,1066,1066.0
1,896,528.2931,0.0,38.6614,379,379.0
1,912,529.3044,0.0,39.1404,349,349.0
1,937,531.2713,0.0,40.0522,127,127.0
1,965,532.2848,0.0,41.3999,116,116.0
1,980,533.2742,0.0,42.1772,151,151.0
1,173,533.2795,0.0,19.7583,398,398.0
1,176,533.7795,0.0,19.8581,433,433.0
1,165,534.2566,0.0,19.5893,432,432.0
1,156,534.7527,0.0,19.2696,274,274.0
1,171,536.2589,0.0,19.7375,214,214.0
1,195,536.7773,0.0,20.3165,330,330.0
1,181,537.2567,0.0,19.9049,154,154.0
1,1034,537.2954,0.0,44.2977,214,214.0
1,266,538.275,0.0,21.8678,125,125.0
1,1028,538.3198,0.0,44.1711,194,194.0
1,186,538.7616,0.0,20.1476,145,145.0
1,981,539.2813,0.0,42.2236,1115,1115.0
1,990,540.315,0.0,42.518,370,370.0
1,167,540.753,0.0,19.6423,925,925.0
1,168,541.2562,0.0,19.6482,641,641.0
1,961,541.3002,0.0,41.2793,145,145.0
1,174,541.756,0.0,19.7916,233,233.0
1,192,542.2884,0.0,20.2443,659,659.0
1,183,542.7823,0.0,20.0708,518,518.0
1,211,543.2831,0.0,20.6874,251,251.0
1,175,543.7749,0.0,19.8234,201,201.0
1,214,544.2799,0.0,20.7432,205,205.0
