func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,7,101.0582,0.0,16.066,388,388.0
1,1,103.0539,0.0,15.865601,1067,1067.0
1,2,111.0438,0.0,15.9716,1004,1004.0
1,4,114.0533,0.0,16.0176,456,456.0
1,8,114.0903,0.0,16.0738,433,433.0
1,5,119.0852,0.0,16.0472,179,179.0
1,14,120.0782,0.0,16.1539,15411,15411.0
1,6,120.1878,0.0,16.0569,121,121.0
1,10,121.0838,0.0,16.1317,2280,2280.0
1,24,122.083,0.0,16.2401,248,248.0
1,20,133.0858,0.0,16.1935,873,873.0
1,18,136.075,0.0,16.1875,269,269.0
1,13,141.0623,0.0,16.1494,271,271.0
1,3,145.0589,0.0,15.982399,179,179.0
1,12,146.0948,0.0,16.1452,215,215.0
1,9,147.0796,0.0,16.1232,434,434.0
1,16,155.0681,0.0,16.1686,1642,1642.0
1,22,159.0745,0.0,16.207,2789,2789.0
1,15,160.0779,0.0,16.1679,254,254.0
1,19,171.1099,0.0,16.192,247,247.0
1,17,173.0787,0.0,16.1808,3414,3414.0
1,21,174.0833,0.0,16.1953,396,396.0
1,11,175.1174,0.0,16.1444,618,618.0
1,23,177.1103,0.0,16.2324,540,540.0
1,27,187.0697,0.0,16.2966,2858,2858.0
1,26,188.0755,0.0,16.2944,357,357.0
1,39,190.0846,0.0,16.4504,378,378.0
1,28,191.1123,0.0,16.3326,183,183.0
1,31,195.113,0.0,16.3479,358,358.0
1,36,201.1001,0.0,16.4217,314,314.0
1,32,203.0601,0.0,16.3499,425,425.0
1,33,207.112,0.0,16.3542,262,262.0
1,35,213.1106,0.0,16.3956,575,575.0
1,30,217.1055,0.0,16.3438,1631,1631.0
1,29,218.1075,0.0,16.3412,197,197.0
1,37,219.0696,0.0,16.4266,1314,1314.0
1,41,220.0758,0.0,16.5375,210,210.0
1,68,227.1992,0.0,18.0479,577,577.0
1,44,229.0829,0.0,16.5817,250,250.0
1,38,231.1221,0.0,16.4457,1030,1030.0
1,34,232.1213,0.0,16.3752,175,175.0
1,40,233.0856,0.0,16.4872,263,263.0
1,53,233.1657,0.0,16.9237,960,960.0
1,43,237.0825,0.0,16.5631,404,404.0
1,58,240.134,0.0,17.1634,161,161.0
1,42,243.1206,0.0,16.5574,180,180.0
1,48,244.0947,0.0,16.7574,197,197.0
1,45,251.1033,0.0,16.5961,168,168.0
1,94,255.2275,0.0,21.4715,372,372.0
1,55,258.137,0.0,17.0502,148,148.0
1,66,259.1649,0.0,17.9556,227,227.0
1,50,261.1205,0.0,16.8946,2802,2802.0
1,54,262.1474,0.0,16.9836,1403,1403.0
1,52,263.1509,0.0,16.9033,214,214.0
1,84,265.2499,0.0,20.0052,195,195.0
1,56,268.1617,0.0,17.0699,144,144.0
1,25,272.1226,0.0,16.2888,241,241.0
1,59,274.1636,0.0,17.3799,652,652.0
1,57,275.1637,0.0,17.1521,171,171.0
1,71,281.1137,0.0,18.5767,258,258.0
1,105,281.2444,0.0,22.9331,498,498.0
1,103,282.2526,0.0,22.8445,117,117.0
1,51,283.1699,0.0,16.9017,241,241.0
1,115,283.262,0.0,25.2497,625,625.0
1,61,286.1383,0.0,17.5751,346,346.0
1,67,288.1343,0.0,18.0118,195,195.0
1,65,289.1183,0.0,17.8816,537,537.0
1,83,295.127,0.0,19.8992,370,370.0
1,76,306.1429,0.0,19.3402,228,228.0
1,109,307.2575,0.0,24.2419,212,212.0
1,130,309.275,0.0,26.9792,5827,5827.0
1,127,310.2789,0.0,26.8263,987,987.0
1,135,311.289,0.0,28.6132,176,176.0
1,63,316.1258,0.0,17.7206,245,245.0
1,95,318.1797,0.0,21.9366,191,191.0
1,60,321.1226,0.0,17.4145,168,168.0
1,49,325.6843,0.0,16.7653,122,122.0
1,87,329.1771,0.0,20.4952,126,126.0
1,73,331.173,0.0,18.983,186,186.0
1,78,333.1866,0.0,19.4205,143,143.0
1,74,334.1359,0.0,18.9946,1802,1802.0
