func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,4,101.0525,0.0,16.081,910,910.0
1,14,102.0471,0.0,16.2152,568,568.0
1,5,111.0346,0.0,16.0881,2096,2096.0
1,2,112.0167,0.0,16.0224,1202,1202.0
1,6,113.0505,0.0,16.1046,233,233.0
1,7,114.0823,0.0,16.108,1667,1667.0
1,3,119.076,0.0,16.0701,562,562.0
1,8,120.0716,0.0,16.1469,618,618.0
1,18,127.0672,0.0,16.2406,276,276.0
1,21,129.0452,0.0,16.2657,335,335.0
1,9,133.0747,0.0,16.166,386,386.0
1,19,136.0639,0.0,16.2418,1706,1706.0
1,16,137.12,0.0,16.2351,3475,3475.0
1,1,138.0809,0.0,15.983299,178,178.0
1,24,138.1245,0.0,16.3137,527,527.0
1,10,147.0683,0.0,16.1792,1502,1502.0
1,11,148.072,0.0,16.1844,173,173.0
1,13,155.057,0.0,16.2105,4597,4597.0
1,25,156.0613,0.0,16.3264,527,527.0
1,23,164.0937,0.0,16.3111,182,182.0
1,12,169.0692,0.0,16.2026,324,324.0
1,43,171.1241,0.0,16.7329,238,238.0
1,17,173.0618,0.0,16.2398,8719,8719.0
1,22,174.0698,0.0,16.2794,1055,1055.0
1,15,175.0732,0.0,16.2273,291,291.0
1,27,177.0973,0.0,16.4064,285,285.0
1,20,183.0608,0.0,16.246,165,165.0
1,33,184.0595,0.0,16.5071,163,163.0
1,26,187.0806,0.0,16.3364,1531,1531.0
1,42,190.1068,0.0,16.706,154,154.0
1,30,193.0814,0.0,16.4456,231,231.0
1,32,195.1026,0.0,16.4755,285,285.0
1,37,199.0867,0.0,16.5281,339,339.0
1,35,201.0311,0.0,16.5225,292,292.0
1,28,203.0466,0.0,16.4326,592,592.0
1,46,206.1166,0.0,16.7853,169,169.0
1,44,213.0958,0.0,16.7579,502,502.0
1,38,217.0877,0.0,16.6043,3983,3983.0
1,36,218.0943,0.0,16.5237,501,501.0
1,41,219.039,0.0,16.7019,7304,7304.0
1,40,220.0445,0.0,16.6752,1300,1300.0
1,45,221.0446,0.0,16.7662,275,275.0
1,49,226.0903,0.0,16.9062,391,391.0
1,53,227.1084,0.0,17.076,202,202.0
1,82,227.1822,0.0,22.0432,475,475.0
1,54,229.0202,0.0,17.1968,229,229.0
1,51,231.103,0.0,16.9472,1293,1293.0
1,48,232.1096,0.0,16.8662,223,223.0
1,59,237.0664,0.0,17.5614,1968,1968.0
1,57,238.0702,0.0,17.4695,288,288.0
1,56,243.1107,0.0,17.4325,215,215.0
1,58,245.1188,0.0,17.5463,418,418.0
1,65,247.0884,0.0,18.1631,1351,1351.0
1,66,248.0878,0.0,18.2692,231,231.0
1,62,254.1188,0.0,17.8437,204,204.0
1,106,255.2105,0.0,27.8093,542,542.0
1,63,259.0712,0.0,17.9189,152,152.0
1,85,259.1463,0.0,22.2982,280,280.0
1,55,261.1091,0.0,17.3099,333,333.0
1,75,263.0809,0.0,19.4524,364,364.0
1,76,265.0962,0.0,19.5757,1988,1988.0
1,78,266.0973,0.0,20.1486,413,413.0
1,69,268.133,0.0,19.1179,837,837.0
1,68,269.135,0.0,19.0192,207,207.0
1,39,272.0965,0.0,16.6252,145,145.0
1,74,273.045,0.0,19.405,159,159.0
1,67,275.0771,0.0,18.6672,304,304.0
1,60,277.0737,0.0,17.5731,191,191.0
1,31,278.0657,0.0,16.4685,151,151.0
1,50,279.1059,0.0,16.9115,154,154.0
1,87,281.0923,0.0,23.1642,615,615.0
1,117,281.2242,0.0,29.8528,892,892.0
1,115,282.2315,0.0,29.5889,211,211.0
1,64,283.1497,0.0,18.067,155,155.0
1,133,283.2383,0.0,32.8252,977,977.0
1,136,284.2394,0.0,33.5262,149,149.0
1,29,285.0691,0.0,16.4355,203,203.0
1,80,286.1445,0.0,20.4518,293,293.0
1,72,287.1274,0.0,19.3815,160,160.0
1,81,293.0857,0.0,20.92,245,245.0
1,130,295.2366,0.0,32.0468,134,134.0
1,84,303.1159,0.0,22.2135,373,373.0
1,70,305.1328,0.0,19.124,129,129.0
1,140,309.253,0.0,34.8015,3127,3127.0
1,142,310.2577,0.0,35.1331,799,799.0
1,145,311.2663,0.0,36.6459,164,164.0
1,79,321.0967,0.0,20.1491,315,315.0
1,61,325.6643,0.0,17.627,149,149.0
1,89,327.1155,0.0,23.5322,207,207.0
1,94,328.149,0.0,25.3245,434,434.0
1,88,331.1492,0.0,23.2834,152,152.0
1,97,335.0946,0.0,25.8427,682,682.0
1,96,336.0928,0.0,25.7456,134,134.0
1,73,338.6787,0.0,19.3962,138,138.0
1,119,340.12,0.0,30.2303,306,306.0
1,116,341.1213,0.0,29.7877,113,113.0
1,92,345.1237,0.0,25.0512,6377,6377.0
1,102,346.1533,0.0,27.4458,18513,18513.0
1,101,347.1597,0.0,27.3562,3977,3977.0
1,105,348.161,0.0,27.7243,646,646.0
1,107,349.1027,0.0,28.2771,172,172.0
1,93,357.0479,0.0,25.0739,148,148.0
1,104,359.1406,0.0,27.5524,2258,2258.0
1,103,360.139,0.0,27.5186,437,437.0
1,34,364.0927,0.0,16.5133,269,269.0
1,91,365.1363,0.0,24.585,167,167.0
1,47,371.1015,0.0,16.8248,284,284.0
1,121,373.1543,0.0,30.3411,570,570.0
1,114,374.156,0.0,29.5359,173,173.0
1,108,375.163,0.0,28.6474,142,142.0
1,52,378.1113,0.0,17.0518,181,181.0
1,125,378.1503,0.0,31.2551,345,345.0
1,99,381.1245,0.0,26.7305,121,121.0
1,83,381.2037,0.0,22.0506,117,117.0
1,110,383.0709,0.0,28.8843,116,116.0
1,112,385.1072,0.0,29.2409,150,150.0
1,120,389.1459,0.0,30.3141,1538,1538.0
1,122,390.1514,0.0,30.8949,313,313.0
1,124,391.1186,0.0,31.243202,879,879.0
1,127,392.1201,0.0,31.429703,202,202.0
1,100,393.1773,0.0,26.9056,164,164.0
1,95,394.2011,0.0,25.3649,172,172.0
1,113,395.1386,0.0,29.4092,147,147.0
1,126,399.1235,0.0,31.3731,239,239.0
1,111,401.0765,0.0,29.1023,678,678.0
1,109,402.0764,0.0,28.6916,149,149.0
1,147,403.1071,0.0,37.4418,419,419.0
1,131,403.1662,0.0,32.3637,455,455.0
1,129,404.1104,0.0,31.895203,261,261.0
1,138,405.1289,0.0,34.06,109,109.0
1,137,407.0566,0.0,33.9082,235,235.0
1,134,409.1256,0.0,32.8539,841,841.0
1,135,410.1295,0.0,33.0646,214,214.0
1,128,415.0941,0.0,31.535301,378,378.0
1,141,417.1764,0.0,34.9668,414,414.0
1,146,422.1231,0.0,37.0729,284,284.0
1,71,433.5586,0.0,19.3808,104,104.0
1,77,434.2336,0.0,19.924,119,119.0
1,143,435.1429,0.0,36.1137,236,236.0
1,144,436.1493,0.0,36.489,117,117.0
1,132,437.197,0.0,32.5334,163,163.0
1,123,449.7372,0.0,31.0728,168,168.0
1,150,453.1488,0.0,39.2101,272,272.0
1,139,462.7419,0.0,34.3059,127,127.0
1,151,463.2189,0.0,40.3115,110,110.0
1,90,470.5805,0.0,23.9838,113,113.0
1,86,471.2566,0.0,23.1578,127,127.0
1,160,475.1726,0.0,43.1084,148,148.0
1,98,479.9179,0.0,25.8825,118,118.0
1,148,481.2254,0.0,37.5641,189,189.0
1,213,482.267,0.0,51.9394,22038,22038.0
1,212,483.2712,0.0,51.8907,8010,8010.0
1,172,484.1496,0.0,45.4999,144,144.0
1,214,484.2794,0.0,51.9669,1499,1499.0
1,163,487.1749,0.0,43.2975,130,130.0
1,118,516.9426,0.0,30.0298,139,139.0
1,174,517.1875,0.0,45.691,1030,1030.0
1,171,518.1937,0.0,45.4775,350,350.0
1,154,518.2729,0.0,41.1338,121,121.0
1,177,519.1889,0.0,45.9928,125,125.0
1,158,525.2496,0.0,42.9891,158,158.0
1,220,526.1388,0.0,52.9925,434,434.0
1,165,527.1762,0.0,44.0471,165,165.0
1,161,529.1191,0.0,43.1964,119,119.0
1,188,531.2028,0.0,47.3452,767,767.0
1,190,532.2063,0.0,47.4593,281,281.0
1,211,538.1681,0.0,50.939,447,447.0
1,183,539.1279,0.0,46.8177,119,119.0
1,217,539.1681,0.0,52.1813,126,126.0
1,215,540.1558,0.0,52.0681,128,128.0
1,226,540.2476,0.0,58.86,299,299.0
1,209,545.2116,0.0,50.2531,490,490.0
1,222,546.1322,0.0,56.172,124,124.0
1,200,546.2161,0.0,49.4417,178,178.0
1,227,556.2525,0.0,59.27,130,130.0
1,219,558.1685,0.0,52.9369,231,231.0
1,230,558.2638,0.0,61.0874,503,503.0
1,210,561.2094,0.0,50.9152,509,509.0
1,218,562.2083,0.0,52.6442,131,131.0
1,216,563.1813,0.0,52.0928,348,348.0
1,202,571.1801,0.0,49.614,160,160.0
1,185,573.1442,0.0,47.1733,199,199.0
1,221,576.1896,0.0,54.021,155,155.0
1,208,587.1539,0.0,50.1374,151,151.0
1,224,589.2441,0.0,58.1527,294,294.0
1,225,590.237,0.0,58.219,105,105.0
1,228,597.1903,0.0,60.0342,168,168.0
1,233,598.2052,0.0,61.6842,149,149.0
1,238,600.2592,0.0,65.8097,130,130.0
1,240,602.2806,0.0,66.8724,443,443.0
1,229,611.2112,0.0,60.5935,107,107.0
1,235,614.2062,0.0,63.893295,144,144.0
1,232,615.2086,0.0,61.4444,167,167.0
