func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,6,101.0452,0.0,15.9813,842,842.0
1,13,102.0394,0.0,16.068,1939,1939.0
1,9,103.0407,0.0,16.0426,255,255.0
1,11,105.0275,0.0,16.0668,175,175.0
1,23,107.0327,0.0,16.1469,571,571.0
1,2,109.0115,0.0,15.941101,219,219.0
1,1,110.0527,0.0,15.9333,164,164.0
1,17,111.0275,0.0,16.1048,1545,1545.0
1,4,112.0306,0.0,15.9564,162,162.0
1,15,114.0751,0.0,16.0768,1190,1190.0
1,3,116.0524,0.0,15.951599,244,244.0
1,7,119.0322,0.0,16.0074,530,530.0
1,8,119.07,0.0,16.0342,366,366.0
1,20,120.0628,0.0,16.1301,3055,3055.0
1,33,121.0666,0.0,16.237,415,415.0
1,18,123.0257,0.0,16.1065,220,220.0
1,10,127.0197,0.0,16.05,378,378.0
1,26,129.037,0.0,16.1783,357,357.0
1,16,130.0307,0.0,16.1029,480,480.0
1,31,130.0759,0.0,16.231,170,170.0
1,5,133.0673,0.0,15.968899,466,466.0
1,21,135.0349,0.0,16.1381,233,233.0
1,30,136.0553,0.0,16.221,4831,4831.0
1,32,137.0584,0.0,16.2329,454,454.0
1,44,137.1142,0.0,16.333,180,180.0
1,14,141.0474,0.0,16.0693,258,258.0
1,39,143.097,0.0,16.2694,500,500.0
1,25,147.0585,0.0,16.1695,1113,1113.0
1,27,148.0563,0.0,16.1816,295,295.0
1,24,152.0846,0.0,16.165,218,218.0
1,28,155.0474,0.0,16.185,2869,2869.0
1,42,156.0525,0.0,16.305,385,385.0
1,29,156.0786,0.0,16.2093,282,282.0
1,34,158.0682,0.0,16.2473,383,383.0
1,40,159.052,0.0,16.2738,322,322.0
1,37,160.0734,0.0,16.2572,163,163.0
1,51,164.0831,0.0,16.3719,182,182.0
1,36,169.0618,0.0,16.2539,470,470.0
1,43,170.0209,0.0,16.3136,261,261.0
1,53,171.0879,0.0,16.4396,1670,1670.0
1,64,172.0889,0.0,16.5735,196,196.0
1,38,173.0546,0.0,16.2649,5329,5329.0
1,22,174.0588,0.0,16.1468,974,974.0
1,49,175.0935,0.0,16.3593,1970,1970.0
1,45,176.0928,0.0,16.3425,213,213.0
1,48,177.0807,0.0,16.3579,698,698.0
1,46,178.0941,0.0,16.3452,221,221.0
1,12,183.0461,0.0,16.0669,164,164.0
1,35,185.0321,0.0,16.2493,203,203.0
1,55,186.0589,0.0,16.454,360,360.0
1,50,187.0674,0.0,16.3679,1794,1794.0
1,19,188.0713,0.0,16.1137,291,291.0
1,57,189.0153,0.0,16.4965,134,134.0
1,63,193.0678,0.0,16.5656,393,393.0
1,41,195.0846,0.0,16.2764,287,287.0
1,47,199.0688,0.0,16.3479,221,221.0
1,66,201.0164,0.0,16.5881,266,266.0
1,58,202.0557,0.0,16.5402,183,183.0
1,60,203.0314,0.0,16.5541,929,929.0
1,54,204.0395,0.0,16.4515,154,154.0
1,83,204.1076,0.0,17.1355,187,187.0
1,52,205.0643,0.0,16.4115,224,224.0
1,67,213.0816,0.0,16.6118,749,749.0
1,69,217.0748,0.0,16.6265,1955,1955.0
1,61,218.0807,0.0,16.5542,407,407.0
1,70,219.0274,0.0,16.7027,2091,2091.0
1,71,220.0287,0.0,16.7411,276,276.0
1,84,221.0558,0.0,17.1804,352,352.0
1,76,226.0718,0.0,16.8377,290,290.0
1,80,227.0979,0.0,17.0926,444,444.0
1,113,227.169,0.0,22.3127,407,407.0
1,79,228.0893,0.0,17.0478,360,360.0
1,87,229.0043,0.0,17.4816,446,446.0
1,78,231.0884,0.0,16.8903,1394,1394.0
1,75,232.0923,0.0,16.8344,292,292.0
1,85,233.0479,0.0,17.216,314,314.0
1,86,237.0546,0.0,17.3094,209,209.0
1,82,243.0212,0.0,17.1286,385,385.0
1,88,243.077,0.0,17.5434,278,278.0
1,93,247.0721,0.0,18.3476,940,940.0
1,96,254.1024,0.0,18.4867,150,150.0
1,145,255.1938,0.0,27.3881,188,188.0
1,98,257.1222,0.0,18.6678,350,350.0
1,94,259.059,0.0,18.377,167,167.0
1,110,259.1319,0.0,21.7451,209,209.0
1,92,261.0905,0.0,18.1409,401,401.0
1,91,263.0474,0.0,17.8701,307,307.0
1,101,265.0781,0.0,19.8048,1029,1029.0
1,104,272.1194,0.0,20.3206,391,391.0
1,108,274.1466,0.0,21.4979,1897,1897.0
1,99,275.0591,0.0,18.701,438,438.0
1,109,275.1502,0.0,21.649,296,296.0
1,90,277.0567,0.0,17.7664,714,714.0
1,62,278.045,0.0,16.5602,401,401.0
1,56,278.5497,0.0,16.4636,122,122.0
1,81,279.0858,0.0,17.1041,228,228.0
1,120,281.0705,0.0,23.3759,240,240.0
1,156,281.2051,0.0,29.4779,227,227.0
1,106,282.1009,0.0,20.426,197,197.0
1,174,283.2244,0.0,33.055,383,383.0
1,65,285.0528,0.0,16.5861,368,368.0
1,103,286.1207,0.0,20.2875,215,215.0
1,68,292.0613,0.0,16.615,203,203.0
1,102,293.0713,0.0,20.2595,395,395.0
1,125,295.0992,0.0,24.4312,195,195.0
1,111,297.0727,0.0,21.9904,168,168.0
1,119,299.1269,0.0,23.3335,316,316.0
1,114,300.1126,0.0,22.6241,1463,1463.0
1,115,301.1186,0.0,22.6866,236,236.0
1,112,303.0913,0.0,21.9949,118,118.0
1,118,304.083,0.0,23.2093,151,151.0
1,95,305.1052,0.0,18.4324,213,213.0
1,168,307.2199,0.0,31.6114,131,131.0
1,178,309.2325,0.0,34.385,3129,3129.0
1,179,310.2369,0.0,34.4357,752,752.0
1,185,311.2499,0.0,36.2564,178,178.0
1,116,314.1036,0.0,22.9914,261,261.0
1,105,321.0781,0.0,20.3632,217,217.0
1,141,322.1002,0.0,26.807,113,113.0
1,130,328.1278,0.0,24.7842,172,172.0
1,131,329.131,0.0,24.8662,279,279.0
1,134,330.1299,0.0,25.4623,151,151.0
1,89,330.6511,0.0,17.6535,118,118.0
1,127,332.0744,0.0,24.6378,187,187.0
1,136,335.0728,0.0,25.7209,403,403.0
1,154,340.096,0.0,29.026,423,423.0
1,123,341.0737,0.0,23.7923,619,619.0
1,107,343.0458,0.0,21.2254,144,144.0
1,132,345.104,0.0,24.884,2700,2700.0
1,129,346.1093,0.0,24.7397,971,971.0
1,128,347.1046,0.0,24.6913,237,237.0
1,149,349.0865,0.0,28.3107,548,548.0
1,135,350.0852,0.0,25.5623,512,512.0
1,137,355.085,0.0,26.1155,252,252.0
1,133,357.0335,0.0,25.3322,794,794.0
1,144,359.1164,0.0,27.2883,1501,1501.0
1,143,360.1185,0.0,27.1579,738,738.0
1,142,361.123,0.0,26.9261,170,170.0
1,181,362.1172,0.0,35.237,195,195.0
1,59,364.0703,0.0,16.5407,352,352.0
1,74,364.5718,0.0,16.8249,126,126.0
1,117,365.0983,0.0,23.053,479,479.0
1,122,367.0818,0.0,23.6832,233,233.0
1,173,370.191,0.0,32.8011,235,235.0
1,146,371.0448,0.0,27.7683,262,262.0
1,73,371.0756,0.0,16.7944,486,486.0
1,72,371.5815,0.0,16.7757,151,151.0
1,138,372.1191,0.0,26.4368,128,128.0
1,157,373.1306,0.0,29.9298,561,561.0
1,189,375.0952,0.0,36.4831,123,123.0
1,152,375.1456,0.0,28.8972,159,159.0
1,77,378.0823,0.0,16.8399,232,232.0
1,161,379.1007,0.0,30.9341,196,196.0
1,140,381.0976,0.0,26.6334,953,953.0
1,182,382.0341,0.0,35.5367,195,195.0
1,139,382.1008,0.0,26.6331,166,166.0
1,147,383.0439,0.0,27.9072,193,193.0
1,148,385.0869,0.0,28.0506,1322,1322.0
1,151,386.093,0.0,28.8535,243,243.0
1,186,387.2158,0.0,36.4172,1661,1661.0
1,188,388.2146,0.0,36.4399,407,407.0
1,158,389.1252,0.0,30.349,423,423.0
1,169,390.118,0.0,31.855698,214,214.0
1,171,391.0994,0.0,32.1924,189,189.0
1,155,395.1077,0.0,29.2195,329,329.0
1,159,397.0626,0.0,30.413,141,141.0
1,97,398.1859,0.0,18.5952,288,288.0
1,100,398.681,0.0,18.7069,182,182.0
1,162,399.1049,0.0,31.207298,935,935.0
1,160,400.0978,0.0,30.5888,141,141.0
1,150,401.054,0.0,28.7528,2047,2047.0
1,192,401.2164,0.0,37.6399,105,105.0
1,153,402.0626,0.0,29.0131,259,259.0
1,184,402.1413,0.0,35.7605,314,314.0
1,172,403.1377,0.0,32.5419,434,434.0
1,170,404.139,0.0,31.934097,251,251.0
1,175,407.1004,0.0,33.7583,400,400.0
1,208,410.2273,0.0,42.1123,120,120.0
1,166,415.0658,0.0,31.3933,737,737.0
1,167,416.0703,0.0,31.4304,149,149.0
1,187,417.1627,0.0,36.4273,185,185.0
1,191,418.1359,0.0,37.4272,145,145.0
1,183,423.1206,0.0,35.7403,122,122.0
1,176,425.1178,0.0,34.1272,742,742.0
1,177,426.1164,0.0,34.2464,146,146.0
1,197,427.1681,0.0,39.8291,181,181.0
1,180,429.0736,0.0,34.8403,110,110.0
1,200,435.164,0.0,40.9541,413,413.0
1,199,436.164,0.0,40.2398,170,170.0
1,231,436.2436,0.0,46.2845,415,415.0
1,232,437.2436,0.0,46.39,113,113.0
1,190,451.0556,0.0,36.8542,254,254.0
1,196,452.1216,0.0,39.4012,144,144.0
1,198,453.1318,0.0,39.9948,111,111.0
1,202,463.1479,0.0,41.1734,225,225.0
1,254,465.2341,0.0,50.7468,114,114.0
1,257,466.2365,0.0,52.6998,123,123.0
1,121,472.1933,0.0,23.6362,224,224.0
1,227,474.1637,0.0,45.6699,180,180.0
1,216,475.1488,0.0,44.1932,248,248.0
1,223,476.1789,0.0,45.1484,110,110.0
1,221,478.1474,0.0,44.97,128,128.0
1,126,480.7081,0.0,24.503,138,138.0
1,124,481.2076,0.0,24.1141,124,124.0
1,252,483.2621,0.0,50.1155,108,108.0
1,239,488.1627,0.0,47.0933,668,668.0
1,229,489.1597,0.0,46.1496,201,201.0
1,240,492.1728,0.0,47.1572,235,235.0
1,203,495.0766,0.0,41.3344,244,244.0
1,237,496.1536,0.0,47.0065,398,398.0
1,265,500.2841,0.0,55.4242,1382,1382.0
1,211,501.1342,0.0,43.7405,147,147.0
1,264,501.2835,0.0,55.3246,368,368.0
1,243,502.1539,0.0,48.0699,126,126.0
