func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,8,101.134,0.0,16.0521,345,345.0
1,1,103.0821,0.0,15.9653,1312,1312.0
1,9,104.0973,0.0,16.0529,1058,1058.0
1,29,107.1147,0.0,16.2235,128,128.0
1,14,110.1,0.0,16.1191,1033,1033.0
1,20,112.0383,0.0,16.1779,452,452.0
1,60,113.0212,0.0,16.4978,217,217.0
1,7,114.0846,0.0,16.0429,645,645.0
1,48,114.9809,0.0,16.3956,7805,7805.0
1,6,115.1166,0.0,16.0362,214,214.0
1,51,115.9876,0.0,16.4106,310,310.0
1,2,116.1019,0.0,15.9879,228,228.0
1,24,116.9814,0.0,16.2001,539,539.0
1,37,118.9801,0.0,16.2838,218,218.0
1,23,120.1109,0.0,16.1906,14931,14931.0
1,16,121.1169,0.0,16.1421,2151,2151.0
1,12,122.1138,0.0,16.1111,2397,2397.0
1,22,124.0723,0.0,16.1875,243,243.0
1,44,126.9866,0.0,16.3301,128,128.0
1,4,127.0872,0.0,16.0098,193,193.0
1,5,128.1404,0.0,16.0207,151,151.0
1,59,129.0027,0.0,16.4896,1165,1165.0
1,21,129.1361,0.0,16.1828,5631,5631.0
1,50,130.0005,0.0,16.3996,562,562.0
1,15,130.1209,0.0,16.129,772,772.0
1,46,132.9983,0.0,16.3479,1769,1769.0
1,34,133.0799,0.0,16.2661,214,214.0
1,35,136.1114,0.0,16.2686,1727,1727.0
1,18,137.1187,0.0,16.1543,179,179.0
1,25,140.1457,0.0,16.2011,467,467.0
1,80,141.0077,0.0,16.6287,288,288.0
1,17,141.1017,0.0,16.1532,265,265.0
1,54,142.0557,0.0,16.44,242,242.0
1,13,142.089,0.0,16.1149,216,216.0
1,55,145.0017,0.0,16.4472,1790,1790.0
1,19,145.0979,0.0,16.1756,197,197.0
1,28,147.1507,0.0,16.2173,506,506.0
1,40,148.0154,0.0,16.3198,149,149.0
1,27,154.1634,0.0,16.2092,1636,1636.0
1,31,155.171,0.0,16.2373,257,257.0
1,93,156.9884,0.0,16.7222,231,231.0
1,11,157.1741,0.0,16.1029,246,246.0
1,42,158.0549,0.0,16.3262,468,468.0
1,32,158.1354,0.0,16.2431,513,513.0
1,43,159.0214,0.0,16.3285,793,793.0
1,26,159.1174,0.0,16.2049,2372,2372.0
1,65,160.0707,0.0,16.5136,4252,4252.0
1,38,160.1223,0.0,16.2993,210,210.0
1,47,161.0759,0.0,16.3778,231,231.0
1,81,163.0177,0.0,16.6348,468,468.0
1,110,166.9104,0.0,16.7644,571,571.0
1,104,168.0422,0.0,16.7473,152,152.0
1,10,168.1817,0.0,16.0877,210,210.0
1,36,171.1206,0.0,16.28,205,205.0
1,58,171.157,0.0,16.479,269,269.0
1,52,171.1945,0.0,16.4173,749,749.0
1,74,172.0193,0.0,16.6007,981,981.0
1,56,173.1764,0.0,16.473,170,170.0
