func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,4,104.0986,0.0,16.0887,1031,1031.0
1,1,110.1012,0.0,15.970001,538,538.0
1,19,114.9833,0.0,16.3696,1133,1133.0
1,6,119.0801,0.0,16.1452,188,188.0
1,8,120.1118,0.0,16.1853,773,773.0
1,7,122.1131,0.0,16.1496,2446,2446.0
1,9,123.1164,0.0,16.1998,173,173.0
1,29,129.0022,0.0,16.5838,185,185.0
1,3,129.1019,0.0,16.0576,204,204.0
1,5,129.1378,0.0,16.1078,210,210.0
1,35,130.0003,0.0,16.6806,167,167.0
1,12,132.9983,0.0,16.2179,196,196.0
1,2,133.077,0.0,15.999001,263,263.0
1,24,134.0063,0.0,16.4988,148,148.0
1,23,134.9984,0.0,16.4652,393,393.0
1,13,136.1116,0.0,16.2428,1666,1666.0
1,17,136.9994,0.0,16.3029,160,160.0
1,16,137.1164,0.0,16.2878,176,176.0
1,10,140.1454,0.0,16.2065,225,225.0
1,18,145.0035,0.0,16.3448,282,282.0
1,11,154.1646,0.0,16.2134,836,836.0
1,28,160.072,0.0,16.5625,877,877.0
1,20,168.181,0.0,16.3992,144,144.0
1,21,171.1945,0.0,16.4096,470,470.0
1,39,172.0191,0.0,16.7236,528,528.0
1,15,172.1212,0.0,16.2754,192,192.0
1,14,175.1659,0.0,16.2494,604,604.0
1,25,178.0945,0.0,16.5378,195,195.0
1,41,193.018,0.0,16.7302,7330,7330.0
1,32,194.0211,0.0,16.6366,535,535.0
1,37,195.0126,0.0,16.7143,873,873.0
1,58,196.0549,0.0,16.9771,265,265.0
1,42,197.0107,0.0,16.7427,187,187.0
1,72,198.0486,0.0,17.1404,199,199.0
1,26,202.036,0.0,16.5496,932,932.0
1,36,204.0524,0.0,16.7026,1092,1092.0
1,48,211.0332,0.0,16.8165,1689,1689.0
1,53,213.0344,0.0,16.8571,186,186.0
1,63,216.0593,0.0,17.0154,445,445.0
1,138,223.9486,0.0,17.9836,344,344.0
1,51,225.9658,0.0,16.8333,266,266.0
1,82,233.1559,0.0,17.2277,347,347.0
1,70,241.9604,0.0,17.1338,248,248.0
1,99,250.0535,0.0,17.437,5725,5725.0
1,158,250.1816,0.0,18.5432,188,188.0
1,96,251.0572,0.0,17.398,415,415.0
1,116,252.0489,0.0,17.6477,572,572.0
1,92,254.0487,0.0,17.3608,177,177.0
1,67,259.9363,0.0,17.1119,575,575.0
1,194,261.1585,0.0,19.5165,209,209.0
1,61,261.9177,0.0,17.0053,199,199.0
1,167,262.1579,0.0,18.7502,201,201.0
1,175,262.21,0.0,18.8409,359,359.0
1,132,263.0533,0.0,17.9518,463,463.0
1,189,270.1763,0.0,19.3539,129,129.0
1,201,271.2102,0.0,19.7944,155,155.0
1,164,275.9795,0.0,18.6947,151,151.0
1,75,277.9545,0.0,17.1781,215,215.0
1,217,278.188,0.0,20.9418,563,563.0
1,202,278.8454,0.0,19.8409,207,207.0
1,204,281.1768,0.0,20.0794,370,370.0
1,104,283.0016,0.0,17.5136,227,227.0
1,80,283.9987,0.0,17.1937,687,687.0
1,143,288.0166,0.0,18.0703,3727,3727.0
1,186,289.0771,0.0,19.3299,566,566.0
1,218,290.222,0.0,20.9928,1467,1467.0
1,157,291.1194,0.0,18.5424,245,245.0
1,215,291.2252,0.0,20.8667,169,169.0
1,197,298.179,0.0,19.6573,196,196.0
