func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,6,101.0994,0.0,16.036,1044,1044.0
1,16,102.0828,0.0,16.1507,3134,3134.0
1,12,103.085,0.0,16.1121,441,441.0
1,24,104.0828,0.0,16.2318,654,654.0
1,2,104.1,0.0,16.0049,553,553.0
1,1,107.0786,0.0,15.937801,330,330.0
1,4,110.1023,0.0,16.0173,250,250.0
1,3,110.1275,0.0,16.0073,513,513.0
1,5,112.1072,0.0,16.0323,321,321.0
1,33,112.1418,0.0,16.2972,248,248.0
1,9,116.1027,0.0,16.085,282,282.0
1,7,119.0816,0.0,16.0623,986,986.0
1,21,120.1138,0.0,16.2127,5454,5454.0
1,18,121.1162,0.0,16.1693,547,547.0
1,19,122.1146,0.0,16.1859,1655,1655.0
1,11,128.1421,0.0,16.1032,1947,1947.0
1,23,129.1372,0.0,16.2211,965,965.0
1,49,130.0011,0.0,16.4352,406,406.0
1,8,130.0853,0.0,16.0653,787,787.0
1,13,130.1242,0.0,16.1194,481,481.0
1,15,133.0819,0.0,16.1447,203,203.0
1,28,136.1111,0.0,16.2452,8202,8202.0
1,32,137.1172,0.0,16.2909,885,885.0
1,27,140.1105,0.0,16.2379,579,579.0
1,34,143.1562,0.0,16.3028,761,761.0
1,14,147.1537,0.0,16.139,294,294.0
1,20,148.1149,0.0,16.2116,261,261.0
1,30,154.1661,0.0,16.2546,639,639.0
1,29,155.162,0.0,16.2495,600,600.0
1,10,158.1336,0.0,16.1006,541,541.0
1,39,159.1212,0.0,16.3659,418,418.0
1,64,160.0755,0.0,16.6147,246,246.0
1,38,165.1454,0.0,16.3595,244,244.0
1,93,166.9144,0.0,16.8767,693,693.0
1,36,168.0444,0.0,16.3358,133,133.0
1,22,170.0912,0.0,16.2201,362,362.0
1,50,171.1598,0.0,16.4419,3001,3001.0
1,75,172.0219,0.0,16.7366,745,745.0
1,52,172.1612,0.0,16.4764,286,286.0
1,43,173.1758,0.0,16.4018,4794,4794.0
1,48,174.1821,0.0,16.4298,509,509.0
1,31,175.1681,0.0,16.2822,2372,2372.0
1,37,176.169,0.0,16.3548,219,219.0
1,54,177.1494,0.0,16.5377,394,394.0
1,25,178.1028,0.0,16.2359,631,631.0
1,60,183.1621,0.0,16.5797,160,160.0
1,113,184.0803,0.0,17.062,500,500.0
1,182,184.8833,0.0,18.7549,757,757.0
1,40,185.1458,0.0,16.393,258,258.0
1,42,186.1403,0.0,16.4,211,211.0
1,181,186.8808,0.0,18.6982,759,759.0
1,57,187.1205,0.0,16.5686,956,956.0
1,44,188.1279,0.0,16.4126,474,474.0
1,99,193.1494,0.0,16.9246,269,269.0
1,76,195.1279,0.0,16.7404,142,142.0
1,62,195.9514,0.0,16.6023,212,212.0
1,47,199.1268,0.0,16.4196,243,243.0
1,61,201.1783,0.0,16.6012,287,287.0
1,90,202.0406,0.0,16.8336,755,755.0
1,80,202.1454,0.0,16.7622,203,203.0
1,177,202.9012,0.0,18.5572,191,191.0
1,68,203.1672,0.0,16.664,341,341.0
1,70,204.0563,0.0,16.6893,2332,2332.0
1,121,204.191,0.0,17.1905,208,208.0
1,185,204.8962,0.0,18.9945,203,203.0
1,45,204.9703,0.0,16.4149,160,160.0
1,55,205.0597,0.0,16.561,155,155.0
1,67,205.1533,0.0,16.6492,221,221.0
1,74,206.0184,0.0,16.7264,299,299.0
1,150,206.9435,0.0,17.7091,193,193.0
1,157,210.1376,0.0,17.8048,228,228.0
1,88,216.0599,0.0,16.8062,313,313.0
1,92,216.1595,0.0,16.8572,278,278.0
1,120,217.1617,0.0,17.1767,209,209.0
1,123,219.0143,0.0,17.2222,134,134.0
1,133,219.2101,0.0,17.4488,217,217.0
1,72,220.0356,0.0,16.6976,239,239.0
1,141,220.1559,0.0,17.5397,207,207.0
1,128,221.1529,0.0,17.3406,472,472.0
1,154,223.9519,0.0,17.7574,1118,1118.0
1,84,224.9581,0.0,16.8008,501,501.0
1,144,226.1416,0.0,17.6207,503,503.0
1,105,226.1848,0.0,16.9906,338,338.0
1,153,227.196,0.0,17.727,212,212.0
1,139,228.1997,0.0,17.5287,171,171.0
1,129,233.1596,0.0,17.3477,776,776.0
1,169,234.0215,0.0,18.2415,163,163.0
1,146,234.1889,0.0,17.659,658,658.0
1,165,235.1892,0.0,17.9884,215,215.0
1,179,236.0137,0.0,18.6793,167,167.0
1,155,237.1894,0.0,17.8038,260,260.0
1,117,241.9654,0.0,17.1273,891,891.0
1,103,242.9741,0.0,16.9852,206,206.0
1,148,243.1733,0.0,17.6807,249,249.0
1,136,244.1566,0.0,17.4755,644,644.0
1,147,245.1659,0.0,17.662,291,291.0
1,186,245.2317,0.0,19.002,205,205.0
1,178,247.1761,0.0,18.5757,1025,1025.0
1,188,249.2272,0.0,19.088,515,515.0
1,131,250.055,0.0,17.3812,8919,8919.0
1,135,251.062,0.0,17.474,837,837.0
1,137,252.0508,0.0,17.4892,901,901.0
1,168,254.0406,0.0,18.2186,195,195.0
1,171,255.2115,0.0,18.2929,277,277.0
1,196,257.2307,0.0,19.3779,335,335.0
1,183,258.2207,0.0,18.8304,196,196.0
1,170,261.162,0.0,18.2687,555,555.0
1,251,261.2363,0.0,21.635,228,228.0
1,180,262.2107,0.0,18.6838,1322,1322.0
1,163,263.0561,0.0,17.9519,320,320.0
1,175,263.2142,0.0,18.5023,166,166.0
1,204,265.191,0.0,19.8036,1403,1403.0
1,205,266.1927,0.0,19.8083,240,240.0
1,149,268.0715,0.0,17.6971,197,197.0
1,63,269.9667,0.0,16.6124,223,223.0
1,229,272.0023,0.0,20.8022,217,217.0
1,211,272.237,0.0,20.1302,846,846.0
1,259,274.2626,0.0,21.8945,3084,3084.0
1,189,275.1778,0.0,19.1515,505,505.0
1,260,275.2688,0.0,21.9304,503,503.0
1,193,275.9919,0.0,19.2966,140,140.0
1,243,276.2149,0.0,21.2494,180,180.0
1,190,276.9937,0.0,19.2606,297,297.0
1,209,277.1977,0.0,19.974,220,220.0
1,248,282.2264,0.0,21.4807,254,254.0
1,172,288.0195,0.0,18.2969,425,425.0
1,195,289.0809,0.0,19.3387,337,337.0
1,214,290.012,0.0,20.4058,176,176.0
1,224,291.0162,0.0,20.7133,210,210.0
1,221,293.1935,0.0,20.5786,647,647.0
1,194,295.012,0.0,19.3182,155,155.0
1,290,295.2308,0.0,23.3773,175,175.0
1,270,297.1994,0.0,22.3778,154,154.0
1,79,297.551,0.0,16.7564,145,145.0
1,291,299.2554,0.0,23.5836,259,259.0
1,279,300.2375,0.0,22.8247,2447,2447.0
1,230,301.0151,0.0,20.9089,735,735.0
1,280,301.2418,0.0,22.8475,464,464.0
1,219,301.9982,0.0,20.545,146,146.0
1,304,304.2145,0.0,24.9663,197,197.0
1,275,305.1951,0.0,22.6792,177,177.0
1,176,306.0398,0.0,18.5058,159,159.0
1,198,307.0911,0.0,19.4932,10711,10711.0
1,200,308.0978,0.0,19.5558,1493,1493.0
1,201,309.0924,0.0,19.5924,1541,1541.0
1,206,310.0978,0.0,19.813,161,161.0
1,199,311.0877,0.0,19.5199,303,303.0
1,217,312.0387,0.0,20.5223,141,141.0
1,292,314.2364,0.0,23.8166,211,211.0
1,244,319.0219,0.0,21.35,126,126.0
1,294,319.1382,0.0,24.1189,208,208.0
1,293,321.2635,0.0,23.9608,304,304.0
1,334,322.2254,0.0,26.9834,145,145.0
1,326,323.2323,0.0,26.3573,146,146.0
1,371,323.3226,0.0,29.2566,115,115.0
1,278,324.0011,0.0,22.809,536,536.0
1,353,325.2766,0.0,28.0879,191,191.0
1,263,325.9944,0.0,22.1491,276,276.0
1,257,326.0638,0.0,21.8707,188,188.0
1,350,330.2803,0.0,28.0309,109,109.0
1,261,331.1008,0.0,21.9745,110,110.0
1,303,332.2178,0.0,24.9309,201,201.0
1,207,333.8843,0.0,19.8577,1144,1144.0
1,262,334.0325,0.0,22.1028,732,732.0
1,203,335.8785,0.0,19.7736,706,706.0
1,349,336.2142,0.0,28.0128,274,274.0
1,271,337.0322,0.0,22.4341,146,146.0
1,208,337.9279,0.0,19.8989,696,696.0
1,255,339.0745,0.0,21.8109,365,365.0
1,283,342.0169,0.0,22.9347,407,407.0
1,268,344.0145,0.0,22.3735,218,218.0
1,252,345.0473,0.0,21.6402,23767,23767.0
1,253,346.0557,0.0,21.6458,3095,3095.0
1,250,347.0495,0.0,21.6102,2711,2711.0
1,289,348.0553,0.0,23.2212,247,247.0
1,317,350.2341,0.0,25.8673,777,777.0
1,337,351.2474,0.0,27.2189,147,147.0
1,161,351.8976,0.0,17.9313,5436,5436.0
1,276,352.0451,0.0,22.7569,187,187.0
1,327,352.0838,0.0,26.4127,269,269.0
1,53,352.5198,0.0,16.5289,162,162.0
1,46,353.512,0.0,16.416,166,166.0
1,210,353.8984,0.0,20.0559,436,436.0
1,339,355.1231,0.0,27.328,243,243.0
1,215,355.9441,0.0,20.4722,539,539.0
1,368,357.2722,0.0,29.0439,178,178.0
1,372,361.287,0.0,29.3164,542,542.0
1,274,361.9655,0.0,22.6132,378,378.0
1,387,362.2793,0.0,30.2094,149,149.0
1,273,363.071,0.0,22.47,797,797.0
1,379,363.2511,0.0,29.7804,147,147.0
1,272,363.9645,0.0,22.4421,422,422.0
1,400,365.2771,0.0,30.8885,160,160.0
1,35,365.5286,0.0,16.3316,135,135.0
1,277,365.9654,0.0,22.7882,119,119.0
1,216,367.9463,0.0,20.5044,844,844.0
1,383,368.2607,0.0,30.0321,162,162.0
1,463,368.3456,0.0,34.4415,411,411.0
1,225,368.8061,0.0,20.7596,632,632.0
1,461,369.354,0.0,34.3729,1136,1136.0
1,301,369.8616,0.0,24.8271,126,126.0
1,162,369.9142,0.0,17.9339,2522,2522.0
1,309,370.0193,0.0,25.2817,217,217.0
1,440,370.3542,0.0,33.5775,420,420.0
1,220,370.8016,0.0,20.5696,762,762.0
1,324,371.1669,0.0,26.2192,207,207.0
1,296,371.8663,0.0,24.1922,174,174.0
1,469,372.3326,0.0,34.8033,252,252.0
1,315,373.0581,0.0,25.6952,287,287.0
1,382,373.2583,0.0,30.0035,200,200.0
1,389,375.2364,0.0,30.283,1266,1266.0
1,394,376.2399,0.0,30.5998,303,303.0
1,377,377.2726,0.0,29.4842,484,484.0
1,242,378.0061,0.0,21.2085,236,236.0
1,391,378.2729,0.0,30.314,141,141.0
1,436,379.2923,0.0,33.0666,340,340.0
1,282,379.9835,0.0,22.9057,334,334.0
1,17,381.0361,0.0,16.1509,252,252.0
1,328,381.0388,0.0,26.5379,1681,1681.0
1,247,381.9709,0.0,21.4709,828,828.0
1,26,382.0328,0.0,16.2364,296,296.0
1,331,382.0483,0.0,26.8368,210,210.0
1,325,383.0376,0.0,26.2682,679,679.0
1,319,383.1129,0.0,25.9923,345,345.0
1,333,385.0397,0.0,26.9695,229,229.0
1,434,385.2972,0.0,32.9627,224,224.0
1,226,385.9613,0.0,20.7613,399,399.0
1,227,386.8242,0.0,20.7729,277,277.0
1,336,387.077,0.0,27.143,238,238.0
1,492,387.3779,0.0,36.7772,2889,2889.0
1,302,387.8852,0.0,24.8716,137,137.0
1,166,387.9305,0.0,18.0366,185,185.0
1,495,388.382,0.0,37.3694,597,597.0
1,232,388.8246,0.0,20.9132,370,370.0
1,425,389.2503,0.0,32.4262,121,121.0
1,297,389.8841,0.0,24.2865,200,200.0
1,345,390.0712,0.0,27.6355,162,162.0
1,401,391.1116,0.0,30.9892,163,163.0
1,419,391.2728,0.0,32.2099,372,372.0
1,386,393.1,0.0,30.1436,136,136.0
1,56,393.5474,0.0,16.5683,150,150.0
1,202,398.3523,0.0,19.6012,385,385.0
1,69,398.5006,0.0,16.6875,156,156.0
1,197,398.8523,0.0,19.4835,172,172.0
1,332,399.0627,0.0,26.9107,566,566.0
1,264,399.9822,0.0,22.2583,335,335.0
1,355,400.0686,0.0,28.1899,187,187.0
1,329,401.0619,0.0,26.6084,220,220.0
1,335,402.0946,0.0,27.0671,132,132.0
1,494,402.3129,0.0,36.9886,396,396.0
1,347,403.0633,0.0,27.792,155,155.0
1,480,403.3228,0.0,36.0116,151,151.0
1,460,407.2697,0.0,34.3102,614,614.0
1,235,407.3574,0.0,21.0877,233,233.0
1,468,408.2773,0.0,34.7927,153,153.0
1,218,408.9364,0.0,20.5414,552,552.0
1,421,409.1253,0.0,32.3465,781,781.0
1,413,410.1327,0.0,31.946,140,140.0
1,474,410.3241,0.0,35.5428,147,147.0
1,423,411.1162,0.0,32.4184,124,124.0
1,51,411.5373,0.0,16.4545,144,144.0
1,58,412.538,0.0,16.5734,168,168.0
1,367,413.1046,0.0,29.0172,144,144.0
1,81,414.0521,0.0,16.7863,169,169.0
1,59,415.0569,0.0,16.5736,127,127.0
1,298,415.9628,0.0,24.5032,927,927.0
1,359,417.0925,0.0,28.4138,2339,2339.0
1,527,417.3287,0.0,39.1589,237,237.0
1,343,417.9608,0.0,27.4986,167,167.0
1,356,418.0959,0.0,28.261,538,538.0
1,513,418.3111,0.0,38.4988,290,290.0
1,380,419.0267,0.0,29.8135,399,399.0
1,361,419.0944,0.0,28.7611,282,282.0
1,313,419.9567,0.0,25.5788,122,122.0
1,376,420.0426,0.0,29.4339,139,139.0
1,407,421.0708,0.0,31.4338,1238,1238.0
1,399,422.0702,0.0,30.8539,139,139.0
1,85,422.0746,0.0,16.801,390,390.0
1,410,423.0712,0.0,31.7597,152,152.0
1,234,425.8447,0.0,21.0325,227,227.0
1,307,427.0037,0.0,25.0708,170,170.0
1,41,427.0203,0.0,16.3972,186,186.0
1,556,427.3279,0.0,39.8549,188,188.0
1,232,388.8246,0.0,20.9132,370,370.0
1,789,1368.0726,0.0,167.8997,370,370.0
1,667,520.3818,0.0,51.0222,368,368.0
1,743,1011.198,0.0,76.6947,366,366.0
1,255,339.0745,0.0,21.8109,365,365.0
1,584,716.5607,0.0,41.4427,364,364.0
1,22,170.0912,0.0,16.2201,362,362.0
1,603,575.0479,0.0,42.7688,362,362.0
1,643,492.3857,0.0,47.8176,361,361.0
1,735,711.4484,0.0,71.697,361,361.0
1,689,742.1302,0.0,55.356,359,359.0
1,671,526.3693,0.0,52.0717,356,356.0
1,649,518.3862,0.0,48.4931,353,353.0
1,452,668.4304,0.0,34.0232,353,353.0
1,634,496.3612,0.0,46.5902,349,349.0
1,713,881.1336,0.0,62.5956,349,349.0
1,384,480.0344,0.0,30.0558,347,347.0
1,319,383.1129,0.0,25.9923,345,345.0
1,786,1182.9752,0.0,151.4083,343,343.0
1,772,962.8331,0.0,117.1744,342,342.0
1,68,203.1672,0.0,16.664,341,341.0
1,769,967.671,0.0,99.9378,341,341.0
1,436,379.2923,0.0,33.0666,340,340.0
1,105,226.1848,0.0,16.9906,338,338.0
1,195,289.0809,0.0,19.3387,337,337.0
1,116,481.1125,0.0,17.126,337,337.0
1,521,510.1243,0.0,38.9136,336,336.0
1,196,257.2307,0.0,19.3779,335,335.0
1,264,399.9822,0.0,22.2583,335,335.0
1,282,379.9835,0.0,22.9057,334,334.0
1,132,498.5908,0.0,17.425,334,334.0
1,566,524.1513,0.0,40.496,334,334.0
1,428,591.9926,0.0,32.6354,334,334.0
1,1,107.0786,0.0,15.937801,330,330.0
1,560,523.1552,0.0,40.0615,329,329.0
1,449,445.1084,0.0,33.8685,327,327.0
1,316,572.8286,0.0,25.8134,327,327.0
1,191,447.3193,0.0,19.2689,326,326.0
1,686,554.3763,0.0,54.6063,324,324.0
1,572,738.9982,0.0,40.9672,324,324.0
1,231,480.8352,0.0,20.9115,323,323.0
1,730,639.4901,0.0,67.3531,323,323.0
1,5,112.1072,0.0,16.0323,321,321.0
1,163,263.0561,0.0,17.9519,320,320.0
1,758,739.66,0.0,85.5824,317,317.0
1,110,479.0241,0.0,17.0575,315,315.0
1,608,741.087,0.0,43.2415,314,314.0
1,88,216.0599,0.0,16.8062,313,313.0
1,267,535.8108,0.0,22.3688,312,312.0
1,793,1399.971,0.0,176.681,311,311.0
1,620,578.1384,0.0,44.9381,310,310.0
1,506,701.4893,0.0,38.1059,307,307.0
1,795,1368.099,0.0,182.9101,306,306.0
1,293,321.2635,0.0,23.9608,304,304.0
1,699,596.3997,0.0,57.3051,304,304.0
1,199,311.0877,0.0,19.5199,303,303.0
1,394,376.2399,0.0,30.5998,303,303.0
1,773,1000.8308,0.0,117.5133,303,303.0
1,776,1085.661,0.0,118.5855,303,303.0
1,89,460.5434,0.0,16.8092,300,300.0
1,74,206.0184,0.0,16.7264,299,299.0
1,405,633.9081,0.0,31.234001,298,298.0
1,779,1020.8639,0.0,124.6435,298,298.0
1,190,276.9937,0.0,19.2606,297,297.0
1,26,382.0328,0.0,16.2364,296,296.0
1,94,450.5942,0.0,16.8884,296,296.0
1,441,668.9225,0.0,33.5968,296,296.0
1,687,743.1216,0.0,55.1597,296,296.0
1,374,603.8844,0.0,29.338,295,295.0
1,630,751.0382,0.0,45.964,295,295.0
1,788,1399.9633,0.0,167.5577,295,295.0
1,14,147.1537,0.0,16.139,294,294.0
1,538,717.9777,0.0,39.3209,294,294.0
1,575,743.4896,0.0,41.0554,294,294.0
1,526,436.3262,0.0,39.1414,293,293.0
1,614,558.146,0.0,44.3206,292,292.0
1,147,245.1659,0.0,17.662,291,291.0
1,513,418.3111,0.0,38.4988,290,290.0
1,574,611.0129,0.0,41.0463,288,288.0
1,536,720.4802,0.0,39.2544,288,288.0
1,61,201.1783,0.0,16.6012,287,287.0
1,315,373.0581,0.0,25.6952,287,287.0
1,256,517.8026,0.0,21.8119,287,287.0
1,639,634.0813,0.0,47.6259,287,287.0
1,52,172.1612,0.0,16.4764,286,286.0
1,246,481.8423,0.0,21.419,286,286.0
1,459,461.1527,0.0,34.299,285,285.0
1,378,587.9507,0.0,29.5163,285,285.0
1,173,485.756,0.0,18.3016,283,283.0
1,453,550.9472,0.0,34.0429,283,283.0
1,497,710.472,0.0,37.5965,283,283.0
1,9,116.1027,0.0,16.085,282,282.0
