func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,4,101.1331,0.0,16.0718,437,437.0
1,3,104.0977,0.0,16.0692,930,930.0
1,20,109.1306,0.0,16.2329,160,160.0
1,13,110.0987,0.0,16.161,856,856.0
1,6,111.1191,0.0,16.0961,317,317.0
1,27,112.0367,0.0,16.2901,148,148.0
1,14,112.105,0.0,16.1671,166,166.0
1,25,114.9826,0.0,16.2644,540,540.0
1,19,120.1126,0.0,16.2196,1575,1575.0
1,2,121.1193,0.0,16.0134,193,193.0
1,12,122.1131,0.0,16.1507,1970,1970.0
1,50,125.0223,0.0,16.5417,146,146.0
1,8,125.1032,0.0,16.1064,398,398.0
1,7,127.1199,0.0,16.0987,185,185.0
1,16,129.1355,0.0,16.1776,7472,7472.0
1,45,129.9983,0.0,16.4589,723,723.0
1,11,130.121,0.0,16.1479,1771,1771.0
1,5,133.0763,0.0,16.0866,405,405.0
1,21,136.1101,0.0,16.2353,531,531.0
1,15,139.1219,0.0,16.169,192,192.0
1,9,140.1436,0.0,16.1098,466,466.0
1,10,141.1394,0.0,16.1214,270,270.0
1,32,142.1619,0.0,16.359,291,291.0
1,48,145.0,0.0,16.5155,205,205.0
1,26,147.1503,0.0,16.2843,1013,1013.0
1,36,148.0132,0.0,16.3732,163,163.0
1,37,152.0408,0.0,16.4023,242,242.0
1,18,152.1469,0.0,16.2079,168,168.0
1,28,154.1613,0.0,16.2903,2029,2029.0
1,29,155.165,0.0,16.3333,278,278.0
1,22,157.1747,0.0,16.236,212,212.0
1,47,160.07,0.0,16.5043,859,859.0
1,72,162.0345,0.0,16.7324,309,309.0
1,44,164.0511,0.0,16.4541,178,178.0
1,30,167.1238,0.0,16.344,580,580.0
1,42,168.1808,0.0,16.446,234,234.0
1,17,171.1198,0.0,16.1871,362,362.0
1,40,171.1927,0.0,16.4334,821,821.0
1,59,172.0191,0.0,16.6337,1125,1125.0
1,23,175.1644,0.0,16.2369,273,273.0
1,53,178.0885,0.0,16.5662,219,219.0
1,52,183.1579,0.0,16.5587,347,347.0
1,92,184.0225,0.0,16.8225,200,200.0
1,41,184.1554,0.0,16.441,549,549.0
1,39,185.1394,0.0,16.4278,1376,1376.0
1,95,185.2144,0.0,16.8271,1642,1642.0
1,89,186.0358,0.0,16.8169,405,405.0
1,88,186.2142,0.0,16.8091,225,225.0
1,58,187.1936,0.0,16.6329,293,293.0
1,35,189.136,0.0,16.3697,582,582.0
1,70,190.0346,0.0,16.7158,254,254.0
1,69,193.017,0.0,16.7145,2510,2510.0
1,76,195.0145,0.0,16.7408,394,394.0
1,43,195.1291,0.0,16.4497,377,377.0
1,135,196.0577,0.0,17.1525,337,337.0
1,34,196.1115,0.0,16.3673,199,199.0
1,57,197.0136,0.0,16.6259,539,539.0
1,120,197.1822,0.0,16.9822,231,231.0
1,123,197.2159,0.0,16.9983,362,362.0
1,138,198.05,0.0,17.1905,626,626.0
1,24,199.1213,0.0,16.2465,180,180.0
1,111,201.1759,0.0,16.9124,976,976.0
1,100,202.0384,0.0,16.8611,1152,1152.0
1,67,204.0523,0.0,16.6834,2285,2285.0
1,96,204.185,0.0,16.8272,167,167.0
1,68,205.0557,0.0,16.709,175,175.0
1,62,206.0206,0.0,16.6472,260,260.0
1,139,206.9402,0.0,17.2256,146,146.0
1,130,208.1918,0.0,17.088,261,261.0
1,38,210.0811,0.0,16.4159,748,748.0
1,113,211.0326,0.0,16.9386,578,578.0
1,105,212.1564,0.0,16.8859,1258,1258.0
1,106,213.1459,0.0,16.8872,731,731.0
1,149,213.2135,0.0,17.3458,1182,1182.0
1,143,214.2145,0.0,17.2979,165,165.0
1,98,215.0269,0.0,16.8282,149,149.0
1,148,215.2007,0.0,17.327,270,270.0
1,122,216.0565,0.0,16.9928,524,524.0
1,133,216.1521,0.0,17.112,193,193.0
1,107,217.1386,0.0,16.8885,1570,1570.0
1,187,218.9634,0.0,18.1924,362,362.0
1,119,219.0155,0.0,16.9789,231,231.0
1,117,220.0365,0.0,16.9639,301,301.0
1,204,221.9558,0.0,18.718,135,135.0
1,173,223.9488,0.0,17.7579,296,296.0
1,221,225.2219,0.0,19.3901,364,364.0
1,202,226.1366,0.0,18.7001,217,217.0
1,188,226.2165,0.0,18.2255,251,251.0
1,157,229.1796,0.0,17.4513,305,305.0
1,112,230.1181,0.0,16.9236,184,184.0
1,174,230.2114,0.0,17.804,653,653.0
1,171,231.2056,0.0,17.7433,187,187.0
1,154,232.0383,0.0,17.3873,589,589.0
1,195,234.0126,0.0,18.3926,201,201.0
1,146,239.0333,0.0,17.3091,649,649.0
1,134,241.9579,0.0,17.1168,207,207.0
1,199,242.0101,0.0,18.5261,209,209.0
1,240,242.2496,0.0,19.9573,558,558.0
1,203,243.9744,0.0,18.7047,250,250.0
1,184,244.0423,0.0,17.9362,154,154.0
1,176,245.1403,0.0,17.8335,191,191.0
1,201,245.9628,0.0,18.6407,478,478.0
1,185,246.1927,0.0,18.0333,135,135.0
1,192,247.9577,0.0,18.3641,231,231.0
1,177,248.1389,0.0,17.8399,189,189.0
1,196,248.2244,0.0,18.4332,3403,3403.0
1,194,249.2268,0.0,18.3923,579,579.0
1,152,250.0524,0.0,17.3809,7381,7381.0
1,158,251.0598,0.0,17.4715,567,567.0
1,163,252.0513,0.0,17.5436,743,743.0
1,271,253.2911,0.0,21.4679,398,398.0
1,206,254.2175,0.0,18.9448,621,621.0
1,216,257.997,0.0,19.2718,171,171.0
1,215,258.066,0.0,19.2631,441,441.0
1,208,261.9855,0.0,19.0113,122,122.0
1,190,263.0486,0.0,18.2632,446,446.0
1,207,263.9799,0.0,19.0064,232,232.0
1,183,268.0662,0.0,17.9075,204,204.0
1,79,269.9698,0.0,16.7556,192,192.0
