func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,5,101.0931,0.0,16.3109,770,770.0
1,43,102.9916,0.0,17.4302,251,251.0
1,1,104.093,0.0,16.1662,799,799.0
1,4,110.0958,0.0,16.2331,636,636.0
1,64,112.0319,0.0,18.3111,143,143.0
1,57,113.0173,0.0,18.0107,215,215.0
1,67,114.9769,0.0,18.5116,9332,9332.0
1,46,116.0283,0.0,17.578,1367,1367.0
1,47,117.0135,0.0,17.6177,510,510.0
1,16,120.1063,0.0,16.7346,255,255.0
1,8,122.1074,0.0,16.3758,1688,1688.0
1,11,125.0973,0.0,16.472,564,564.0
1,6,126.0821,0.0,16.3154,5781,5781.0
1,9,127.0852,0.0,16.3802,603,603.0
1,94,128.9967,0.0,19.6293,1242,1242.0
1,7,129.0946,0.0,16.3675,508,508.0
1,14,129.1305,0.0,16.6832,2458,2458.0
1,91,129.992,0.0,19.4341,1066,1066.0
1,12,130.1144,0.0,16.5111,2924,2924.0
1,40,131.0285,0.0,17.4179,258,258.0
1,17,131.1193,0.0,16.805,207,207.0
1,85,131.9876,0.0,19.1957,248,248.0
1,69,132.992,0.0,18.6356,4702,4702.0
1,93,133.9973,0.0,19.6001,1619,1619.0
1,87,134.9935,0.0,19.2269,353,353.0
1,98,135.9936,0.0,19.7772,392,392.0
1,111,136.9608,0.0,20.3938,180,180.0
1,105,140.9992,0.0,20.2672,373,373.0
1,24,141.0945,0.0,16.9727,165,165.0
1,21,141.1337,0.0,16.93,466,466.0
1,3,141.4918,0.0,16.2134,346,346.0
1,15,143.1131,0.0,16.6895,890,890.0
1,83,144.9945,0.0,19.1746,1876,1876.0
1,100,147.0121,0.0,19.9379,448,448.0
1,26,147.1445,0.0,17.0404,1681,1681.0
1,82,148.0055,0.0,19.1594,457,457.0
1,81,150.0018,0.0,19.1424,135,135.0
1,2,150.4992,0.0,16.1663,191,191.0
1,76,151.0051,0.0,18.8846,708,708.0
1,92,152.0125,0.0,19.4815,793,793.0
1,86,152.0347,0.0,19.2256,456,456.0
1,25,152.1119,0.0,16.978,304,304.0
1,79,153.0066,0.0,19.0959,159,159.0
1,20,153.0986,0.0,16.9047,670,670.0
1,97,154.01,0.0,19.6971,270,270.0
1,13,154.0852,0.0,16.6117,382,382.0
1,33,154.1566,0.0,17.2521,170,170.0
1,115,154.9753,0.0,20.6366,185,185.0
1,48,156.136,0.0,17.6265,172,172.0
1,144,156.9833,0.0,22.2857,177,177.0
1,42,157.1323,0.0,17.4287,420,420.0
1,75,158.0467,0.0,18.8176,281,281.0
1,32,158.1288,0.0,17.2453,148,148.0
1,84,159.0151,0.0,19.1924,756,756.0
1,39,159.1157,0.0,17.383,203,203.0
1,109,160.0636,0.0,20.3269,534,534.0
1,102,162.0264,0.0,20.0316,470,470.0
1,90,163.0103,0.0,19.2953,1086,1086.0
1,113,164.0369,0.0,20.5635,340,340.0
1,101,166.0202,0.0,19.9641,214,214.0
1,138,166.9054,0.0,21.9953,1058,1058.0
1,28,167.1205,0.0,17.0804,370,370.0
1,77,168.0332,0.0,18.9713,153,153.0
1,61,168.1166,0.0,18.2432,123,123.0
1,63,169.1332,0.0,18.2883,476,476.0
1,71,169.1699,0.0,18.6866,2265,2265.0
