func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,1,70.0675,0.0,16.1031,1593,1593.0
1,7,84.0481,0.0,16.3101,226,226.0
1,20,84.9617,0.0,16.7533,753,753.0
1,5,86.0988,0.0,16.2235,2977,2977.0
1,3,87.1042,0.0,16.1629,148,148.0
1,13,98.99,0.0,16.4823,994,994.0
1,4,115.0539,0.0,16.1845,178,178.0
1,2,120.0847,0.0,16.11,271,271.0
1,22,134.9686,0.0,16.8334,713,713.0
1,15,143.1241,0.0,16.5884,134,134.0
1,12,144.9963,0.0,16.4417,1418,1418.0
1,6,150.9403,0.0,16.2271,753,753.0
1,9,152.9398,0.0,16.3459,202,202.0
1,10,155.1248,0.0,16.3566,163,163.0
1,24,158.9335,0.0,16.9143,186,186.0
1,16,159.0239,0.0,16.6074,894,894.0
1,33,170.9363,0.0,17.1879,204,204.0
1,8,175.1281,0.0,16.3421,313,313.0
1,21,183.1552,0.0,16.7866,978,978.0
1,18,184.1587,0.0,16.665,158,158.0
1,14,186.1311,0.0,16.5691,193,193.0
1,30,186.9285,0.0,17.0254,492,492.0
1,17,187.0794,0.0,16.648,143,143.0
1,51,194.8652,0.0,18.7892,310,310.0
1,26,195.0014,0.0,16.965,682,682.0
1,52,196.8641,0.0,18.8035,214,214.0
1,25,196.9962,0.0,16.915,268,268.0
1,42,204.8948,0.0,17.882,2700,2700.0
1,23,205.032,0.0,16.879,230,230.0
1,43,206.8935,0.0,17.9935,962,962.0
1,41,208.8909,0.0,17.8628,134,134.0
1,27,209.1009,0.0,16.9732,159,159.0
1,46,211.1505,0.0,18.0811,264,264.0
1,36,214.9223,0.0,17.4535,8522,8522.0
1,26,195.0014,0.0,16.965,682,682.0
1,69,344.8866,0.0,23.457,670,670.0
1,44,222.9055,0.0,18.0397,644,644.0
1,125,584.7494,0.0,43.6489,622,622.0
1,169,1122.5613,0.0,134.5089,620,620.0
1,66,334.8578,0.0,22.9647,618,618.0
1,176,1332.7032,0.0,186.1225,589,589.0
1,101,657.837,0.0,37.8142,570,570.0
1,19,230.8961,0.0,16.7309,568,568.0
1,45,228.1412,0.0,18.052,566,566.0
1,124,594.7751,0.0,43.5694,556,556.0
1,118,586.7407,0.0,42.8099,531,531.0
1,148,560.2948,0.0,59.0972,515,515.0
1,130,489.2616,0.0,48.8006,498,498.0
1,164,861.4513,0.0,91.6055,494,494.0
1,30,186.9285,0.0,17.0254,492,492.0
1,37,218.9177,0.0,17.537,469,469.0
1,115,576.7217,0.0,42.5047,456,456.0
1,161,733.3859,0.0,72.5074,449,449.0
1,116,454.2385,0.0,42.6421,440,440.0
1,83,357.1911,0.0,31.859299,439,439.0
1,39,228.9501,0.0,17.7702,434,434.0
1,121,574.7156,0.0,43.0656,431,431.0
1,35,215.9282,0.0,17.3953,419,419.0
1,59,307.0193,0.0,20.5024,419,419.0
1,167,1008.5222,0.0,114.651,409,409.0
1,11,242.8826,0.0,16.4337,399,399.0
1,86,456.7858,0.0,32.2725,386,386.0
1,57,266.9258,0.0,20.185,377,377.0
1,87,466.8079,0.0,32.3561,367,367.0
1,89,446.7567,0.0,32.4227,364,364.0
1,134,696.6456,0.0,52.3236,359,359.0
1,28,244.9246,0.0,16.981,358,358.0
1,143,714.7022,0.0,54.0221,348,348.0
1,105,658.3388,0.0,38.494,339,339.0
1,126,604.8067,0.0,43.7172,330,330.0
1,65,342.8397,0.0,22.7725,327,327.0
1,85,444.7571,0.0,32.234,324,324.0
1,8,175.1281,0.0,16.3421,313,313.0
1,51,194.8652,0.0,18.7892,310,310.0
1,77,329.1905,0.0,29.5079,302,302.0
1,163,843.4254,0.0,90.1795,297,297.0
1,62,336.8522,0.0,22.5531,295,295.0
1,32,234.8981,0.0,17.1189,294,294.0
1,61,254.8991,0.0,20.856,292,292.0
1,2,120.0847,0.0,16.11,271,271.0
1,25,196.9962,0.0,16.915,268,268.0
1,46,211.1505,0.0,18.0811,264,264.0
1,160,632.3328,0.0,66.7052,263,263.0
1,95,775.666,0.0,33.0631,259,259.0
1,123,596.7709,0.0,43.3068,258,258.0
1,142,724.736,0.0,53.9858,256,256.0
1,53,246.1633,0.0,19.052,255,255.0
1,120,566.6911,0.0,42.9719,249,249.0
1,137,704.6732,0.0,52.8702,249,249.0
1,170,1123.5729,0.0,137.3556,246,246.0
1,129,472.2685,0.0,45.5506,244,244.0
1,54,243.1421,0.0,19.1895,242,242.0
1,177,1333.6873,0.0,189.3757,239,239.0
1,149,561.3027,0.0,59.6014,233,233.0
1,119,578.7215,0.0,42.9281,232,232.0
1,23,205.032,0.0,16.879,230,230.0
1,34,216.9246,0.0,17.2043,228,228.0
1,7,84.0481,0.0,16.3101,226,226.0
1,133,694.6583,0.0,52.1461,226,226.0
1,140,716.7106,0.0,53.7082,225,225.0
1,50,565.7394,0.0,18.7407,217,217.0
1,52,196.8641,0.0,18.8035,214,214.0
1,31,226.9094,0.0,17.0791,214,214.0
1,145,567.3269,0.0,55.5738,214,214.0
1,139,706.6894,0.0,53.3347,212,212.0
1,150,816.5725,0.0,61.4749,210,210.0
1,96,375.228,0.0,33.4173,209,209.0
1,88,775.9949,0.0,32.4163,209,209.0
1,154,600.3336,0.0,62.9776,206,206.0
1,33,170.9363,0.0,17.1879,204,204.0
1,9,152.9398,0.0,16.3459,202,202.0
1,103,657.3419,0.0,38.3465,200,200.0
1,156,814.5782,0.0,63.0912,200,200.0
1,47,280.9036,0.0,18.3439,199,199.0
1,40,224.9053,0.0,17.848,196,196.0
1,135,686.6275,0.0,52.583,194,194.0
1,14,186.1311,0.0,16.5691,193,193.0
1,94,775.3289,0.0,33.0103,193,193.0
1,114,564.6862,0.0,42.3859,189,189.0
1,24,158.9335,0.0,16.9143,186,186.0
1,71,316.7961,0.0,23.8079,184,184.0
1,147,583.3086,0.0,57.8197,183,183.0
1,49,566.7364,0.0,18.5687,181,181.0
1,60,256.8957,0.0,20.7173,179,179.0
1,4,115.0539,0.0,16.1845,178,178.0
1,110,425.2475,0.0,39.4902,178,178.0
1,80,358.7637,0.0,31.253403,171,171.0
1,98,508.8665,0.0,33.8435,171,171.0
1,138,688.6244,0.0,52.9334,171,171.0
1,10,155.1248,0.0,16.3566,163,163.0
1,27,209.1009,0.0,16.9732,159,159.0
1,18,184.1587,0.0,16.665,158,158.0
1,48,296.8406,0.0,18.4091,158,158.0
1,68,352.8714,0.0,23.3062,158,158.0
1,75,326.1921,0.0,28.4121,157,157.0
1,113,568.6839,0.0,42.0169,156,156.0
1,111,436.2344,0.0,39.5449,154,154.0
1,131,444.2651,0.0,50.1733,153,153.0
1,3,87.1042,0.0,16.1629,148,148.0
1,29,220.866,0.0,16.9903,145,145.0
1,132,698.6427,0.0,51.4626,145,145.0
1,153,824.6005,0.0,62.5941,145,145.0
1,73,297.2048,0.0,28.0836,144,144.0
1,165,862.4547,0.0,93.5753,144,144.0
1,17,187.0794,0.0,16.648,143,143.0
1,152,834.6552,0.0,62.5541,139,139.0
1,82,468.8113,0.0,31.845299,138,138.0
1,155,826.6095,0.0,63.033295,136,136.0
1,117,455.2365,0.0,42.6988,135,135.0
1,15,143.1241,0.0,16.5884,134,134.0
1,41,208.8909,0.0,17.8628,134,134.0
1,122,588.74,0.0,43.1564,134,134.0
1,104,667.8531,0.0,38.4037,132,132.0
1,136,684.6159,0.0,52.6609,132,132.0
1,144,734.7521,0.0,54.9426,132,132.0
1,78,339.1808,0.0,29.6371,131,131.0
1,58,284.931,0.0,20.2761,130,130.0
1,158,854.7014,0.0,63.907303,130,130.0
1,146,539.3295,0.0,57.3434,129,129.0
1,102,658.8423,0.0,37.883,129,129.0
1,81,374.7824,0.0,31.301498,128,128.0
1,128,730.8671,0.0,44.749,124,124.0
1,92,458.7912,0.0,32.681,123,123.0
1,112,426.2518,0.0,39.917,122,122.0
1,79,340.1911,0.0,30.157,120,120.0
1,99,472.7987,0.0,33.9187,118,118.0
1,151,808.547,0.0,62.4703,118,118.0
1,70,649.2241,0.0,23.718,117,117.0
1,67,328.8174,0.0,23.1322,116,116.0
1,84,448.7495,0.0,31.970299,116,116.0
1,109,548.8567,0.0,39.1868,115,115.0
1,141,708.6651,0.0,53.9255,115,115.0
1,157,818.5851,0.0,63.0913,115,115.0
1,100,546.8019,0.0,37.6462,114,114.0
1,76,561.2806,0.0,28.6145,113,113.0
1,127,731.3604,0.0,43.9488,109,109.0
1,72,740.5582,0.0,25.9145,106,106.0
