func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,32,548.356,0.0,88.3264,2246,4.89474,5.69,-1.0,1,-1.0
1,19,674.4467,0.0,74.7092,2705,5.05743,4.78,-1.0,1,-1.0
1,38,685.4298,0.0,102.2929,4838,7.51989,6.58,-1.0,1,-1.0
1,21,752.1286,0.0,76.9573,10967,5.21056,4.91,-1.0,1,-1.0
1,3,752.1409,0.0,67.898,3448,4.64374,4.33,-1.0,1,-1.0
1,20,752.4598,0.0,76.4598,10354,5.48022,4.91,-1.0,1,-1.0
1,2,752.4723,0.0,67.7263,2934,4.29207,4.33,-1.0,1,-1.0
1,23,752.7979,0.0,77.347,8164,5.37993,4.97,-1.0,1,-1.0
1,4,752.806,0.0,68.1149,3002,4.79594,4.39,-1.0,1,-1.0
1,22,753.1479,0.0,77.0937,2206,5.18926,4.97,-1.0,1,-1.0
1,16,770.7889,0.0,71.7812,6180,6.36322,4.59,-1.0,1,-1.0
1,17,771.1175,0.0,71.7968,10912,7.10187,4.59,-1.0,1,-1.0
1,18,771.4481,0.0,72.0672,10990,6.91366,4.65,-1.0,1,-1.0
1,15,771.7858,0.0,71.6508,9782,7.09539,4.59,-1.0,1,-1.0
1,14,772.1234,0.0,71.5138,2263,2.9452,4.59,-1.0,1,-1.0
1,5,772.4572,0.0,68.3839,2812,4.12137,4.39,-1.0,1,-1.0
1,13,772.4587,0.0,70.8674,1788,2.85423,4.52,-1.0,1,-1.0
1,1,772.7965,0.0,67.6079,2623,4.30705,4.33,-1.0,1,-1.0
1,12,772.8009,0.0,70.7725,1392,3.12716,4.52,-1.0,1,-1.0
1,25,782.5074,0.0,82.703,4164,8.27435,5.29,-1.0,1,-1.0
1,24,783.0057,0.0,81.7115,3694,5.87346,5.23,-1.0,1,-1.0
1,7,791.1011,0.0,68.5042,3712,6.25386,4.39,-1.0,1,-1.0
1,6,791.4319,0.0,68.462,5379,6.24108,4.39,-1.0,1,-1.0
1,29,791.4644,0.0,85.4756,37457,6.57395,5.49,-1.0,1,-1.0
1,34,791.4684,0.0,90.0792,17431,3.40845,5.81,-1.0,1,-1.0
1,11,791.7625,0.0,69.0603,6644,6.27088,4.46,-1.0,1,-1.0
1,28,791.982,0.0,83.179,6621,3.99513,5.36,-1.0,1,-1.0
1,36,791.9901,0.0,91.7571,7852,4.50216,5.87,-1.0,1,-1.0
1,9,792.096,0.0,68.9179,6159,6.64049,4.39,-1.0,1,-1.0
1,10,792.4306,0.0,69.0204,5426,6.77131,4.46,-1.0,1,-1.0
1,26,792.5004,0.0,82.8106,4376,4.0793,5.29,-1.0,1,-1.0
1,37,792.506,0.0,91.8393,4032,4.1089,5.87,-1.0,1,-1.0
1,8,792.7679,0.0,68.8151,3717,5.82421,4.39,-1.0,1,-1.0
1,30,792.79,0.0,86.1188,6985,3.26328,5.55,-1.0,1,-1.0
1,33,792.7907,0.0,88.7354,4636,2.47578,5.68,-1.0,1,-1.0
1,27,793.0118,0.0,83.1664,3608,5.74629,5.36,-1.0,1,-1.0
1,35,793.0189,0.0,90.6614,1630,3.77227,5.81,-1.0,1,-1.0
1,31,793.2887,0.0,87.2747,9432,4.31315,5.61,-1.0,1,-1.0
1,39,897.6012,0.0,123.9946,3472,6.74706,7.93,-1.0,1,-1.0
