func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,70.0412,0.0,15.8531,875,3.25829,1.02,-1.0,1,-1.0
1,2,126.0584,0.0,15.950901,1160,2.42922,1.01,-1.0,1,-1.0
1,3,129.1074,0.0,16.0782,974,2.4008,1.07,-1.0,1,-1.0
1,4,147.1224,0.0,16.0948,1445,2.43138,1.07,-1.0,1,-1.0
1,7,169.148,0.0,16.401,2814,2.64982,1.07,-1.0,1,-1.0
1,6,170.1079,0.0,16.232,2267,2.47687,1.07,-1.0,1,-1.0
1,5,171.0911,0.0,16.1986,2575,2.42983,1.07,-1.0,1,-1.0
1,8,188.1224,0.0,16.4126,2160,2.48287,1.07,-1.0,1,-1.0
1,11,197.149,0.0,17.1682,1079,3.34714,1.14,-1.0,1,-1.0
1,9,198.1085,0.0,16.7767,1836,2.88789,1.07,-1.0,1,-1.0
1,10,201.1457,0.0,16.9753,1458,2.86859,1.07,-1.0,1,-1.0
1,12,248.1858,0.0,19.4591,7736,4.27255,1.27,-1.0,1,-1.0
1,13,312.186,0.0,27.133,9806,5.69804,1.78,-1.0,1,-1.0
1,14,363.2212,0.0,31.771301,5918,5.89304,2.03,-1.0,1,-1.0
1,16,476.3158,0.0,53.5135,4136,7.31735,3.44,-1.0,1,-1.0
1,15,509.2829,0.0,47.9564,4543,7.00387,3.05,-1.0,1,-1.0
1,17,540.3169,0.0,54.7836,5275,7.46645,3.5,-1.0,1,-1.0
1,18,591.3521,0.0,64.7251,4700,5.04359,4.15,-1.0,1,-1.0
1,19,690.4309,0.0,77.6205,4716,8.79607,4.97,-1.0,1,-1.0
