func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,72.0594,0.0,15.963501,10998,3.20244,1.02,-1.0,1,-1.0
1,4,86.0836,0.0,16.0409,9188,3.01142,1.08,-1.0,1,-1.0
1,3,129.1116,0.0,16.0144,931,2.45118,1.07,-1.0,1,-1.0
1,2,130.0959,0.0,16.0032,922,2.59046,1.07,-1.0,1,-1.0
1,5,147.1271,0.0,16.0981,3404,2.41048,1.07,-1.0,1,-1.0
1,6,159.095,0.0,16.1383,1859,2.39764,1.07,-1.0,1,-1.0
1,14,185.1776,0.0,17.1677,34839,3.79011,1.14,-1.0,1,-1.0
1,11,185.3265,0.0,17.0977,2951,2.79907,1.14,-1.0,1,-1.0
1,10,185.522,0.0,17.0849,2469,2.13999,1.14,-1.0,1,-1.0
1,9,185.5661,0.0,17.0504,1241,2.08303,1.14,-1.0,1,-1.0
1,12,186.1916,0.0,17.1354,9888,3.34029,1.14,-1.0,1,-1.0
1,7,187.1002,0.0,16.2378,1577,2.32739,1.07,-1.0,1,-1.0
1,13,201.1518,0.0,17.1648,2929,3.22192,1.14,-1.0,1,-1.0
1,8,203.0945,0.0,16.4349,874,2.56009,1.07,-1.0,1,-1.0
1,16,213.1828,0.0,17.9642,23691,3.84261,1.14,-1.0,1,-1.0
1,15,214.1956,0.0,17.9289,4477,3.59879,1.14,-1.0,1,-1.0
1,17,229.1494,0.0,18.6323,7500,4.30639,1.2,-1.0,1,-1.0
1,18,260.2321,0.0,23.382,8186,5.00525,1.52,-1.0,1,-1.0
1,23,298.1809,0.0,26.0285,5209,7.22572,1.71,-1.0,1,-1.0
1,24,300.1942,0.0,26.3625,14880,6.7677,1.71,-1.0,1,-1.0
1,25,316.1925,0.0,27.7561,6057,5.94862,1.77,-1.0,1,-1.0
1,29,328.2264,0.0,31.367302,22732,6.40153,2.03,-1.0,1,-1.0
1,31,329.2351,0.0,31.5709,5293,6.15551,2.03,-1.0,1,-1.0
1,32,347.268,0.0,31.7602,27290,6.24334,2.03,-1.0,1,-1.0
1,30,348.2777,0.0,31.5079,6354,5.73127,2.03,-1.0,1,-1.0
1,34,369.2245,0.0,34.3503,7035,6.45205,2.22,-1.0,1,-1.0
1,35,387.2372,0.0,36.1745,6255,6.33867,2.35,-1.0,1,-1.0
1,33,389.1807,0.0,32.5217,3455,6.56911,2.09,-1.0,1,-1.0
1,38,399.2743,0.0,40.7921,7661,7.21292,2.6,-1.0,1,-1.0
1,39,413.2934,0.0,42.5107,3169,6.40472,2.73,-1.0,1,-1.0
1,36,415.2321,0.0,40.2252,15849,6.57784,2.6,-1.0,1,-1.0
1,37,416.2368,0.0,40.6419,3391,6.60276,2.6,-1.0,1,-1.0
1,19,428.7942,0.0,23.8501,1853,4.8596,1.51,-1.0,1,-1.0
1,20,437.794,0.0,25.5369,14027,4.45734,1.64,-1.0,1,-1.0
1,21,438.2975,0.0,25.5983,8966,4.37114,1.64,-1.0,1,-1.0
1,22,438.8035,0.0,25.6333,2898,4.27483,1.64,-1.0,1,-1.0
1,41,462.3038,0.0,45.4818,35432,7.06148,2.93,-1.0,1,-1.0
1,40,463.3166,0.0,45.2638,10757,6.76367,2.93,-1.0,1,-1.0
1,47,482.3221,0.0,51.5003,6837,7.22799,3.31,-1.0,1,-1.0
1,44,483.3131,0.0,49.6913,3518,7.54191,3.18,-1.0,1,-1.0
1,43,484.2585,0.0,47.979,27528,7.80574,3.05,-1.0,1,-1.0
1,42,485.2699,0.0,47.704,7864,7.59272,3.05,-1.0,1,-1.0
1,28,487.3381,0.0,29.5516,8053,4.59397,1.9,-1.0,1,-1.0
1,26,487.842,0.0,29.3148,5656,4.465,1.9,-1.0,1,-1.0
1,27,488.3424,0.0,29.3378,1958,5.00608,1.9,-1.0,1,-1.0
1,46,502.2699,0.0,50.0772,31140,7.62335,3.25,-1.0,1,-1.0
1,45,503.2803,0.0,49.8305,9348,7.11842,3.18,-1.0,1,-1.0
1,48,528.3321,0.0,57.5668,2099,4.76406,3.7,-1.0,1,-1.0
1,49,569.3653,0.0,62.4607,3381,5.15506,4.02,-1.0,1,-1.0
1,54,575.4015,0.0,65.4093,39558,8.44473,4.21,-1.0,1,-1.0
1,53,576.4167,0.0,65.2286,16262,8.27742,4.21,-1.0,1,-1.0
1,52,587.379,0.0,64.6612,3109,4.72424,4.15,-1.0,1,-1.0
1,51,597.3609,0.0,64.0099,19310,8.8725,4.15,-1.0,1,-1.0
1,50,598.3661,0.0,63.155,6638,8.67653,4.08,-1.0,1,-1.0
1,55,615.3742,0.0,67.5489,11884,8.82134,4.34,-1.0,1,-1.0
1,56,646.4399,0.0,77.1273,60701,9.41856,4.97,-1.0,1,-1.0
1,57,647.4571,0.0,77.9754,29484,9.30112,4.97,-1.0,1,-1.0
1,58,648.4703,0.0,79.5286,4654,6.55462,5.1,-1.0,1,-1.0
1,60,743.4876,0.0,87.5638,12912,9.56216,5.61,-1.0,1,-1.0
1,61,744.4842,0.0,88.2341,6054,6.73654,5.68,-1.0,1,-1.0
1,59,744.4899,0.0,85.3106,1935,4.44479,5.49,-1.0,1,-1.0
1,62,761.452,0.0,90.7558,45361,6.31969,5.81,-1.0,1,-1.0
1,68,761.462,0.0,96.5952,50964,9.79642,6.19,-1.0,1,-1.0
1,65,762.2693,0.0,92.1049,16687,6.51283,5.94,-1.0,1,-1.0
1,63,762.4768,0.0,91.4119,38219,5.6539,5.87,-1.0,1,-1.0
1,67,762.9128,0.0,92.6747,4404,7.61267,5.94,-1.0,1,-1.0
1,66,763.2774,0.0,92.141,3041,6.8666,5.94,-1.0,1,-1.0
1,64,763.5057,0.0,91.784,37191,9.7552,5.87,-1.0,1,-1.0
1,69,856.5947,0.0,110.8688,4166,10.23867,7.09,-1.0,1,-1.0
1,71,874.5729,0.0,114.6322,7369,1.17739,7.35,-1.0,1,-1.0
1,72,875.593,0.0,115.7062,20882,6.65564,7.41,-1.0,1,-1.0
1,73,876.6111,0.0,116.6127,5416,6.08192,7.48,-1.0,1,-1.0
1,70,876.6121,0.0,113.6559,7858,6.7392,7.28,-1.0,1,-1.0
