func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,7,55.0647,0.0,16.517,208,208.0
1,5,70.0781,0.0,16.4467,1187,1187.0
1,11,72.0939,0.0,16.7189,3701,3701.0
1,9,73.0983,0.0,16.6034,178,178.0
1,6,84.0585,0.0,16.456,209,209.0
1,4,84.0961,0.0,16.3708,230,230.0
1,15,86.1108,0.0,16.9246,8133,8133.0
1,1,87.059,0.0,16.1985,309,309.0
1,14,87.1149,0.0,16.889,619,619.0
1,8,89.0746,0.0,16.5893,627,627.0
1,3,110.047,0.0,16.2597,671,671.0
1,12,110.0918,0.0,16.7303,460,460.0
1,10,119.0679,0.0,16.6385,152,152.0
1,19,120.1018,0.0,17.2839,471,471.0
1,13,122.103,0.0,16.8048,260,260.0
1,18,129.1273,0.0,17.2406,547,547.0
1,16,133.1101,0.0,17.0232,710,710.0
1,21,136.0998,0.0,18.2074,8824,8824.0
1,23,137.1041,0.0,18.295,868,868.0
1,2,140.0677,0.0,16.2439,177,177.0
1,24,143.1436,0.0,18.736,695,695.0
1,28,145.0195,0.0,20.2768,335,335.0
1,17,147.0698,0.0,17.1905,153,153.0
1,22,147.1392,0.0,18.2258,374,374.0
1,29,157.1635,0.0,20.6283,244,244.0
1,30,159.0492,0.0,20.6754,221,221.0
1,20,165.12,0.0,18.1522,183,183.0
1,27,171.1422,0.0,20.043,615,615.0
1,33,173.1581,0.0,21.6106,165,165.0
1,26,175.151,0.0,19.9562,1619,1619.0
1,25,177.1434,0.0,19.0112,307,307.0
1,31,184.1406,0.0,20.9727,153,153.0
1,40,185.1977,0.0,24.8008,5896,5896.0
1,32,186.1575,0.0,21.491,194,194.0
1,39,186.2033,0.0,24.6678,868,868.0
1,35,195.032,0.0,24.362,1228,1228.0
1,36,197.0292,0.0,24.397,405,405.0
1,53,199.2161,0.0,28.1965,4383,4383.0
1,51,200.2209,0.0,27.981,719,719.0
1,38,201.161,0.0,24.6199,488,488.0
1,41,204.1711,0.0,25.4181,1879,1879.0
1,34,205.0605,0.0,23.3242,841,841.0
1,45,205.1719,0.0,26.0857,161,161.0
1,37,212.1419,0.0,24.5327,355,355.0
1,48,213.1972,0.0,27.1635,4714,4714.0
1,47,214.1991,0.0,27.0847,741,741.0
1,42,214.9592,0.0,25.721,145,145.0
1,50,223.1474,0.0,27.8154,2668,2668.0
1,56,224.1491,0.0,28.4905,390,390.0
1,75,227.2161,0.0,31.107903,2102,2102.0
1,76,228.2176,0.0,31.228203,330,330.0
1,54,229.1651,0.0,28.3173,139,139.0
1,43,232.9694,0.0,25.951,126,126.0
1,55,233.1694,0.0,28.4565,319,319.0
1,52,234.1721,0.0,28.142,153,153.0
1,68,235.1825,0.0,30.0402,429,429.0
1,57,239.1589,0.0,28.5728,134,134.0
1,89,239.2174,0.0,32.7882,130,130.0
1,80,242.1946,0.0,31.703499,442,442.0
1,165,247.2466,0.0,39.2138,354,354.0
1,92,249.2067,0.0,33.4643,535,535.0
1,66,251.1463,0.0,29.9245,690,690.0
1,71,252.1565,0.0,30.2475,126,126.0
1,61,255.0764,0.0,29.5271,340,340.0
1,70,255.1547,0.0,30.1432,189,189.0
1,60,257.0699,0.0,29.2888,142,142.0
1,73,261.1726,0.0,30.7397,234,234.0
1,81,262.166,0.0,31.8838,158,158.0
1,90,263.1836,0.0,33.1724,149,149.0
1,102,271.2216,0.0,34.6711,135,135.0
1,88,273.058,0.0,32.7032,117,117.0
1,184,273.2701,0.0,40.8226,108,108.0
1,74,275.0005,0.0,31.064598,530,530.0
1,129,277.2056,0.0,36.7121,135,135.0
