func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,13,51.0314,0.0,15.8536,2114,1034.0
1,106,51.9492,0.0,16.0287,2447,1221.0
1,2,53.0468,0.0,15.792999,2793,1360.0
1,1,55.0265,0.0,15.779301,2389,1139.0
1,10,55.0628,0.0,15.849499,14100,6963.0
1,4,55.9442,0.0,15.7983,19847,9675.0
1,5,56.0585,0.0,15.802399,3758,1781.0
1,137,56.9514,0.0,16.0721,8600,4194.0
1,177,56.9738,0.0,16.1392,15381,7634.0
1,56,57.0782,0.0,15.9554,4283,2014.0
1,181,57.9451,0.0,16.1483,5353,2632.0
1,6,58.0374,0.0,15.8092,13668,6633.0
1,221,58.9702,0.0,16.2466,2744,1355.0
1,15,59.0451,0.0,15.855499,55036,26344.0
1,173,59.9406,0.0,16.1358,2320,1128.0
1,8,60.0506,0.0,15.8325,2554,1157.0
1,61,60.9956,0.0,15.959801,4472,2145.0
1,42,61.0471,0.0,15.929401,8540,4126.0
1,120,62.9393,0.0,16.0409,3883,1842.0
1,3,65.0466,0.0,15.7967,11177,5268.0
1,16,67.0634,0.0,15.858,15182,7160.0
1,161,67.9448,0.0,16.115,3769,1807.0
1,213,68.992,0.0,16.2197,2669,1291.0
1,11,69.044,0.0,15.851601,6388,2972.0
1,20,69.0777,0.0,15.8811,8498,3920.0
1,30,70.0742,0.0,15.904701,13512,6479.0
1,46,70.9519,0.0,15.9384,2437,1111.0
1,210,71.9404,0.0,16.2159,3599,1665.0
1,86,72.0898,0.0,15.9951,11077,5236.0
1,72,72.9475,0.0,15.9799,32742,15504.0
1,35,73.0563,0.0,15.914101,22065,10236.0
1,22,74.9629,0.0,15.8899,2752,1238.0
1,24,75.0361,0.0,15.8944,3178,1476.0
1,18,77.0485,0.0,15.8759,30212,14353.0
1,9,78.0525,0.0,15.8363,2613,1183.0
1,50,79.0065,0.0,15.9468,7044,3235.0
1,12,79.0639,0.0,15.8535,14523,6960.0
1,14,80.0604,0.0,15.8543,11009,5013.0
1,113,80.956,0.0,16.0335,2606,1176.0
1,29,80.9835,0.0,15.901901,12103,5839.0
1,28,81.08,0.0,15.8995,21089,9944.0
1,147,82.0245,0.0,16.0908,2581,1201.0
1,25,82.0762,0.0,15.8958,4520,2020.0
1,209,83.0309,0.0,16.2134,18061,8617.0
1,32,83.0588,0.0,15.9074,6587,3019.0
1,125,83.0954,0.0,16.0554,3045,1408.0
1,69,84.0546,0.0,15.977001,4121,1876.0
1,58,84.0886,0.0,15.957699,9785,4462.0
1,146,84.9705,0.0,16.0903,24254,11725.0
1,68,85.9548,0.0,15.974499,7326,3342.0
1,41,86.0703,0.0,15.924599,2976,1363.0
1,102,86.1066,0.0,16.0227,12742,5837.0
1,183,87.0032,0.0,16.1535,3513,1671.0
1,62,87.0545,0.0,15.961399,4030,1819.0
1,79,88.0859,0.0,15.989101,4552,2094.0
1,60,88.963,0.0,15.9596,5863,2677.0
1,89,89.0702,0.0,16.002,4414,2043.0
1,81,89.9511,0.0,15.9907,14171,6599.0
1,80,90.9592,0.0,15.990501,57617,27563.0
1,33,91.0651,0.0,15.9086,37216,17680.0
1,34,92.0677,0.0,15.909199,4221,1899.0
1,49,92.9607,0.0,15.9431,6083,2789.0
1,51,93.0442,0.0,15.9473,4121,1855.0
1,55,93.0808,0.0,15.955101,14633,6941.0
1,44,94.077,0.0,15.9349,3558,1559.0
1,43,94.9545,0.0,15.93,2535,1181.0
1,38,95.0593,0.0,15.9216,21248,9824.0
1,76,95.0966,0.0,15.982,18351,8633.0
1,93,96.9499,0.0,16.0049,4213,1932.0
1,26,96.9731,0.0,15.898899,2542,1117.0
1,64,97.0753,0.0,15.963001,7253,3340.0
1,39,97.9799,0.0,15.9216,5234,2362.0
1,45,98.0713,0.0,15.936001,6183,2844.0
1,78,98.9953,0.0,15.9879,99834,47652.0
1,37,100.1831,0.0,15.918701,16156,7926.0
1,19,100.2959,0.0,15.8794,2772,1320.0
1,21,100.3272,0.0,15.8881,13540,6760.0
1,17,100.3594,0.0,15.861801,15824,7364.0
1,27,100.7313,0.0,15.899399,2704,1222.0
1,162,100.9555,0.0,16.1176,19478,9198.0
1,74,101.091,0.0,15.9814,30314,14109.0
1,91,102.1398,0.0,16.0047,2754,1285.0
1,54,102.9586,0.0,15.952,5997,2744.0
1,36,103.0673,0.0,15.917999,4970,2284.0
1,48,103.9677,0.0,15.9431,3933,1780.0
1,59,105.0551,0.0,15.957901,20322,9327.0
1,75,105.0816,0.0,15.981701,13500,6305.0
1,66,106.0798,0.0,15.9638,3764,1658.0
1,53,107.0614,0.0,15.9499,3648,1679.0
1,87,107.0972,0.0,16.0003,12991,6186.0
1,31,107.9637,0.0,15.905701,4377,2008.0
1,84,108.0568,0.0,15.9937,9469,4346.0
1,67,108.0987,0.0,15.9671,2264,1017.0
1,100,108.9717,0.0,16.0209,3106,1426.0
1,65,109.0766,0.0,15.9636,9049,4079.0
1,117,109.1139,0.0,16.0372,13816,6614.0
1,73,110.0817,0.0,15.9799,6942,3160.0
1,40,111.0565,0.0,15.9230995,4975,2289.0
1,98,111.0915,0.0,16.0129,5348,2454.0
1,71,113.9767,0.0,15.9786,12755,6050.0
1,110,114.1043,0.0,16.0312,11112,5237.0
1,131,114.9629,0.0,16.0656,7039,3147.0
1,52,115.0667,0.0,15.948,3426,1551.0
1,70,115.9789,0.0,15.9776,4863,2168.0
1,108,116.0813,0.0,16.0308,3738,1686.0
1,47,116.9833,0.0,15.9391,7770,3468.0
1,90,117.0832,0.0,16.0022,8391,3858.0
1,94,117.948,0.0,16.0049,6054,2758.0
1,85,118.0828,0.0,15.9942,2485,1108.0
1,119,118.9559,0.0,16.0381,15140,7122.0
1,121,119.0617,0.0,16.0423,4859,2220.0
1,92,119.0981,0.0,16.0048,12305,5655.0
1,153,120.0929,0.0,16.1048,15397,7180.0
1,63,121.0418,0.0,15.962,28066,12869.0
1,148,121.1136,0.0,16.0914,7743,3548.0
1,23,121.9805,0.0,15.8902,4294,1982.0
1,57,122.046,0.0,15.9575,2902,1293.0
1,198,122.0725,0.0,16.1895,3412,1536.0
1,104,123.0929,0.0,16.0259,5207,2359.0
1,158,123.1298,0.0,16.1132,6238,2891.0
1,101,125.0722,0.0,16.021,2700,1211.0
1,136,125.1101,0.0,16.0713,3975,1839.0
1,115,126.9845,0.0,16.0357,3610,1607.0
1,228,127.0212,0.0,16.2654,2276,1031.0
1,99,127.0882,0.0,16.0169,2496,1119.0
1,103,128.0764,0.0,16.023,2820,1261.0
1,132,128.953,0.0,16.0668,3050,1345.0
1,111,129.0809,0.0,16.0313,6692,2932.0
1,134,129.1157,0.0,16.068,3773,1696.0
1,156,130.0773,0.0,16.1123,5371,2347.0
1,130,131.0992,0.0,16.0635,9359,4316.0
1,165,132.0949,0.0,16.1199,3176,1405.0
1,127,132.9786,0.0,16.0576,6273,2774.0
1,112,133.0268,0.0,16.033,3358,1480.0
1,123,133.0766,0.0,16.0507,6251,2798.0
1,128,133.113,0.0,16.0585,9477,4292.0
1,229,134.9555,0.0,16.2703,12326,6028.0
1,88,135.0565,0.0,16.0018,6884,3143.0
1,133,135.0946,0.0,16.0671,3788,1712.0
1,155,135.1295,0.0,16.1116,6719,3082.0
1,124,135.9594,0.0,16.0513,5375,2470.0
1,95,136.0354,0.0,16.0067,25724,12325.0
1,172,136.0876,0.0,16.1357,11223,5161.0
1,96,137.0386,0.0,16.0119,3286,1483.0
1,145,137.1098,0.0,16.0878,3745,1650.0
1,184,137.1461,0.0,16.156,2505,1152.0
1,171,138.0701,0.0,16.1315,2228,1003.0
1,143,139.0891,0.0,16.0871,2764,1232.0
1,151,139.1262,0.0,16.1032,3440,1561.0
1,7,140.9347,0.0,15.811699,3663,1749.0
1,116,141.0139,0.0,16.0367,3404,1508.0
1,82,141.9491,0.0,15.993099,3189,1453.0
1,283,143.065,0.0,16.5118,5484,2523.0
1,138,143.1003,0.0,16.0751,4869,2179.0
1,164,144.0956,0.0,16.1179,2809,1238.0
1,142,145.0787,0.0,16.0862,3572,1608.0
1,149,145.1131,0.0,16.0963,6664,3017.0
1,77,145.9459,0.0,15.984901,3404,1556.0
1,97,146.0799,0.0,16.012,2413,1046.0
1,107,147.0594,0.0,16.0304,4837,2146.0
1,157,147.0952,0.0,16.1127,5802,2579.0
1,179,147.131,0.0,16.1403,6919,3177.0
1,122,149.037,0.0,16.0491,100375,46450.0
1,167,149.1494,0.0,16.1212,5995,2767.0
1,118,150.0418,0.0,16.0376,15749,7084.0
1,150,150.9318,0.0,16.0993,4683,2044.0
1,135,151.0399,0.0,16.0682,10196,4485.0
