func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,3,72.0913,0.0,16.5116,192,192.0
1,6,86.1084,0.0,16.825,1178,1178.0
1,1,93.0262,0.0,16.0574,197,197.0
1,2,109.0045,0.0,16.3031,723,723.0
1,4,110.0869,0.0,16.5917,988,988.0
1,7,122.0996,0.0,16.8318,175,175.0
1,10,129.1209,0.0,17.5141,183,183.0
1,11,136.0942,0.0,17.7522,162,162.0
1,8,140.9834,0.0,17.1883,154,154.0
1,12,147.1366,0.0,18.4732,193,193.0
1,9,151.033,0.0,17.3647,684,684.0
1,15,175.1124,0.0,21.2715,130,130.0
1,14,175.144,0.0,20.0326,210,210.0
1,13,178.0781,0.0,18.94,134,134.0
1,5,202.9451,0.0,16.779,257,257.0
1,16,218.1301,0.0,25.7227,114,114.0
1,19,223.1877,0.0,30.2478,237,237.0
1,18,246.1657,0.0,30.1075,117,117.0
1,22,246.2119,0.0,32.9096,139,139.0
1,20,251.1383,0.0,31.130898,222,222.0
1,23,251.1867,0.0,34.3718,311,311.0
1,24,272.2079,0.0,36.6035,118,118.0
1,21,284.0613,0.0,32.8921,153,153.0
1,17,318.7053,0.0,28.1239,122,122.0
1,31,402.301,0.0,55.1217,284,284.0
1,33,497.3094,0.0,56.9259,441,441.0
1,26,497.8605,0.0,44.2228,656,656.0
1,28,498.36,0.0,44.2705,443,443.0
1,27,498.8647,0.0,44.2391,175,175.0
1,30,627.0533,0.0,53.293,129,129.0
1,17,318.7053,0.0,28.1239,122,122.0
1,24,272.2079,0.0,36.6035,118,118.0
1,25,522.0011,0.0,44.1945,118,118.0
1,18,246.1657,0.0,30.1075,117,117.0
1,16,218.1301,0.0,25.7227,114,114.0
1,32,499.306,0.0,56.4474,109,109.0
