func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,3,100.0801,0.0,15.969601,980,980.0
1,4,101.0745,0.0,15.9855995,4211,4211.0
1,6,101.1114,0.0,16.0091,267,267.0
1,7,102.0774,0.0,16.0145,238,238.0
1,1,103.0588,0.0,15.949001,581,581.0
1,5,110.0753,0.0,15.995399,6783,6783.0
1,9,111.0784,0.0,16.0209,506,506.0
1,14,112.0446,0.0,16.0744,191,191.0
1,2,114.0964,0.0,15.958,178,178.0
1,13,115.0911,0.0,16.074,5714,5714.0
1,8,116.0934,0.0,16.0189,363,363.0
1,15,118.0899,0.0,16.078,8573,8573.0
1,18,119.0926,0.0,16.0815,861,861.0
1,24,120.0839,0.0,16.1093,17564,17564.0
1,16,120.1912,0.0,16.0786,154,154.0
1,21,121.0893,0.0,16.1047,2557,2557.0
1,25,127.0911,0.0,16.1144,1047,1047.0
1,29,129.0703,0.0,16.1338,1348,1348.0
1,22,129.1056,0.0,16.1049,10338,10338.0
1,12,130.0706,0.0,16.063,5162,5162.0
1,35,130.1105,0.0,16.1539,814,814.0
1,10,131.0736,0.0,16.0324,481,481.0
1,28,132.0823,0.0,16.1332,1032,1032.0
1,17,139.0929,0.0,16.079,374,374.0
1,11,140.0746,0.0,16.0466,660,660.0
1,19,140.1501,0.0,16.0838,155,155.0
1,34,141.0682,0.0,16.1478,203,203.0
1,43,142.129,0.0,16.215,413,413.0
1,30,143.1238,0.0,16.1356,1208,1208.0
1,48,144.0879,0.0,16.236,259,259.0
1,31,145.1018,0.0,16.1368,5141,5141.0
1,20,146.1012,0.0,16.0948,699,699.0
1,27,147.0999,0.0,16.1219,230,230.0
1,40,148.0829,0.0,16.1915,250,250.0
1,36,153.1078,0.0,16.1625,303,303.0
1,26,155.0891,0.0,16.1145,545,545.0
1,42,155.123,0.0,16.2055,222,222.0
1,23,156.0818,0.0,16.1059,3264,3264.0
1,47,157.0678,0.0,16.2346,803,803.0
1,52,157.1355,0.0,16.268,4919,4919.0
1,55,158.1419,0.0,16.2836,638,638.0
1,37,165.1073,0.0,16.1642,183,183.0
1,51,166.1041,0.0,16.2562,549,549.0
1,32,167.0876,0.0,16.1412,876,876.0
1,33,169.0664,0.0,16.1452,281,281.0
1,58,171.1189,0.0,16.2984,5251,5251.0
1,41,172.082,0.0,16.1973,1423,1423.0
1,53,172.1219,0.0,16.2745,559,559.0
1,54,173.0972,0.0,16.2825,4091,4091.0
1,45,175.0924,0.0,16.2284,7956,7956.0
1,46,177.1183,0.0,16.2318,270,270.0
1,39,181.1032,0.0,16.1743,712,712.0
1,38,183.082,0.0,16.1683,189,189.0
1,59,183.1168,0.0,16.2991,169,169.0
1,44,184.1144,0.0,16.2189,2243,2243.0
1,64,185.1344,0.0,16.3272,3350,3350.0
1,49,186.0931,0.0,16.242,406,406.0
1,77,186.1384,0.0,16.3999,592,592.0
1,79,189.1293,0.0,16.4227,345,345.0
1,61,190.0921,0.0,16.3213,7224,7224.0
1,50,191.095,0.0,16.2543,1128,1128.0
1,62,192.1026,0.0,16.3231,164,164.0
1,71,193.1183,0.0,16.3528,286,286.0
1,87,194.0993,0.0,16.4783,593,593.0
1,57,195.0842,0.0,16.2973,1729,1729.0
1,56,196.089,0.0,16.2952,267,267.0
1,92,197.1722,0.0,16.5223,767,767.0
1,73,198.1286,0.0,16.3566,10736,10736.0
1,68,199.1332,0.0,16.3382,1687,1687.0
1,63,200.0797,0.0,16.3251,702,702.0
1,74,200.1454,0.0,16.3587,413,413.0
1,69,202.1259,0.0,16.3384,872,872.0
1,82,203.1177,0.0,16.4394,312,312.0
1,65,208.1155,0.0,16.328,833,833.0
1,72,209.0989,0.0,16.3553,4048,4048.0
1,78,210.1017,0.0,16.4125,521,521.0
1,67,211.0776,0.0,16.3367,298,298.0
1,84,211.1256,0.0,16.448,647,647.0
1,85,212.108,0.0,16.4696,4609,4609.0
1,81,213.0969,0.0,16.4352,1819,1819.0
1,83,213.1675,0.0,16.4396,1759,1759.0
1,70,214.0964,0.0,16.3479,263,263.0
1,88,217.1038,0.0,16.4941,3395,3395.0
1,89,218.0902,0.0,16.4957,2517,2517.0
1,76,219.0924,0.0,16.3919,361,361.0
1,93,221.1356,0.0,16.5389,1901,1901.0
1,66,222.0966,0.0,16.336,307,307.0
1,96,222.1418,0.0,16.5806,270,270.0
1,60,223.0912,0.0,16.3023,276,276.0
1,91,225.1373,0.0,16.511,1248,1248.0
1,99,226.1245,0.0,16.5938,19798,19798.0
1,97,227.1281,0.0,16.5875,3614,3614.0
1,113,228.137,0.0,16.7592,644,644.0
1,115,229.1385,0.0,16.785,428,428.0
1,105,230.1217,0.0,16.6794,2184,2184.0
1,100,231.1194,0.0,16.6033,467,467.0
1,102,231.1539,0.0,16.6301,430,430.0
1,116,234.1304,0.0,16.8137,276,276.0
1,112,235.1134,0.0,16.7473,31381,31381.0
1,86,235.2635,0.0,16.4753,962,962.0
1,80,235.4806,0.0,16.4321,155,155.0
1,108,235.897,0.0,16.7153,177,177.0
1,107,236.1176,0.0,16.6953,9221,9221.0
1,117,237.1225,0.0,16.8235,934,934.0
1,114,238.1298,0.0,16.779,659,659.0
1,104,239.1247,0.0,16.6577,2098,2098.0
1,103,240.1108,0.0,16.6482,689,689.0
1,147,241.1619,0.0,17.2974,403,403.0
1,120,242.1574,0.0,16.8654,1238,1238.0
1,168,242.1946,0.0,17.56,1209,1209.0
1,131,243.1555,0.0,17.0542,6033,6033.0
1,123,245.101,0.0,16.9258,1907,1907.0
1,110,246.0948,0.0,16.7313,538,538.0
1,133,247.1465,0.0,17.0824,249,249.0
1,118,249.1372,0.0,16.8266,300,300.0
1,122,253.1016,0.0,16.9045,293,293.0
1,121,253.1375,0.0,16.8669,251,251.0
1,106,254.1198,0.0,16.6823,339,339.0
1,138,255.1569,0.0,17.1789,488,488.0
1,124,256.1431,0.0,16.9563,510,510.0
1,148,257.1442,0.0,17.305,1209,1209.0
1,127,258.1639,0.0,16.997,537,537.0
1,143,261.1373,0.0,17.2168,302,302.0
1,197,262.1283,0.0,17.9808,1642,1642.0
1,128,263.1129,0.0,17.0211,7043,7043.0
1,132,264.1206,0.0,17.0595,1106,1106.0
1,142,265.1391,0.0,17.2135,720,720.0
1,172,266.1265,0.0,17.5968,1177,1177.0
1,158,267.1247,0.0,17.443,327,327.0
1,256,268.1166,0.0,19.0446,641,641.0
1,163,268.1762,0.0,17.5208,596,596.0
1,194,269.1697,0.0,17.9521,311,311.0
1,223,270.1907,0.0,18.4052,364,364.0
1,198,271.1515,0.0,17.982,611,611.0
1,146,272.116,0.0,17.2877,310,310.0
1,171,273.098,0.0,17.5911,400,400.0
1,176,273.168,0.0,17.741,192,192.0
1,221,276.1723,0.0,18.3973,175,175.0
1,213,279.1557,0.0,18.1429,174,174.0
1,228,281.1705,0.0,18.4898,922,922.0
1,185,282.1559,0.0,17.8631,1374,1374.0
1,218,283.1487,0.0,18.3268,6133,6133.0
1,220,284.1441,0.0,18.3767,1651,1651.0
1,219,285.1452,0.0,18.3362,3863,3863.0
1,242,286.1889,0.0,18.6486,1600,1600.0
1,237,287.1906,0.0,18.6183,315,315.0
1,299,288.2001,0.0,20.0758,13744,13744.0
1,215,289.1344,0.0,18.2003,228,228.0
1,300,289.2058,0.0,20.0766,2495,2495.0
1,178,290.1247,0.0,17.7547,1276,1276.0
1,293,290.2061,0.0,19.8617,286,286.0
1,232,291.1543,0.0,18.5398,525,525.0
1,251,292.1396,0.0,18.893,1809,1809.0
1,250,293.1418,0.0,18.8831,381,381.0
1,235,297.1623,0.0,18.6024,231,231.0
1,344,298.1865,0.0,21.039,1156,1156.0
1,277,299.182,0.0,19.4595,3046,3046.0
1,222,300.1062,0.0,18.4052,321,321.0
1,263,300.1776,0.0,19.1655,1156,1156.0
1,267,301.1613,0.0,19.3029,2733,2733.0
1,264,302.1636,0.0,19.2179,524,524.0
1,290,303.1542,0.0,19.7409,223,223.0
1,278,304.1433,0.0,19.501,346,346.0
1,303,308.1813,0.0,20.1248,216,216.0
1,359,309.1659,0.0,21.3126,22002,22002.0
1,334,310.1639,0.0,20.773,5370,5370.0
1,310,311.1585,0.0,20.2639,1279,1279.0
1,269,312.1389,0.0,19.3081,456,456.0
1,271,313.1428,0.0,19.3628,194,194.0
1,469,313.2354,0.0,23.8807,318,318.0
1,276,314.1292,0.0,19.4535,208,208.0
1,357,315.2106,0.0,21.2811,168,168.0
1,306,322.16,0.0,20.2263,864,864.0
1,302,323.1618,0.0,20.0992,203,203.0
1,317,324.1599,0.0,20.4561,747,747.0
1,398,325.1989,0.0,22.151,356,356.0
1,345,326.1921,0.0,21.046,2817,2817.0
1,350,327.1768,0.0,21.1007,21123,21123.0
1,346,328.1799,0.0,21.0516,5046,5046.0
1,342,329.1687,0.0,21.0153,1292,1292.0
1,356,330.1701,0.0,21.2744,273,273.0
1,304,332.1331,0.0,20.1991,406,406.0
1,392,335.1884,0.0,22.009,362,362.0
1,331,337.1645,0.0,20.7414,721,721.0
1,327,338.1643,0.0,20.7087,298,298.0
1,449,338.2314,0.0,23.3005,231,231.0
1,421,339.2106,0.0,22.6594,370,370.0
1,413,340.1735,0.0,22.5047,9772,9772.0
1,411,341.1736,0.0,22.4561,1598,1598.0
1,516,341.2305,0.0,24.9205,1704,1704.0
1,340,342.1165,0.0,20.9938,683,683.0
1,418,342.1703,0.0,22.5497,1388,1388.0
