func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,14,101.0958,0.0,16.1514,602,602.0
1,26,102.0815,0.0,16.2344,213,213.0
1,3,104.0974,0.0,15.9751,615,615.0
1,5,110.0992,0.0,16.0634,662,662.0
1,4,111.0034,0.0,16.012,193,193.0
1,31,112.0379,0.0,16.4033,155,155.0
1,2,112.1108,0.0,15.9734,170,170.0
1,11,115.1154,0.0,16.1029,312,312.0
1,24,116.0488,0.0,16.2256,190,190.0
1,9,119.0798,0.0,16.1026,216,216.0
1,23,120.1117,0.0,16.2154,917,917.0
1,6,122.1125,0.0,16.0966,1226,1226.0
1,38,125.0251,0.0,16.4765,183,183.0
1,28,128.1432,0.0,16.2654,139,139.0
1,15,129.0985,0.0,16.1571,770,770.0
1,12,129.1334,0.0,16.1273,701,701.0
1,37,129.9973,0.0,16.476,761,761.0
1,13,130.1227,0.0,16.1316,480,480.0
1,20,133.0771,0.0,16.1971,4886,4886.0
1,22,134.0821,0.0,16.2037,218,218.0
1,16,136.1098,0.0,16.1645,1346,1346.0
1,25,137.116,0.0,16.2313,158,158.0
1,51,138.0185,0.0,16.6158,130,130.0
1,18,140.1043,0.0,16.181,195,195.0
1,27,140.1439,0.0,16.2619,268,268.0
1,8,141.1082,0.0,16.1009,188,188.0
1,19,146.1298,0.0,16.1889,385,385.0
1,7,147.1485,0.0,16.0973,569,569.0
1,21,154.1627,0.0,16.2001,1252,1252.0
1,42,155.1564,0.0,16.5255,374,374.0
1,10,158.1286,0.0,16.1028,265,265.0
1,49,160.0707,0.0,16.5749,633,633.0
1,17,161.0802,0.0,16.1683,183,183.0
1,94,162.0307,0.0,16.9245,141,141.0
1,33,164.0492,0.0,16.4381,144,144.0
1,47,168.039,0.0,16.5467,390,390.0
1,41,169.1789,0.0,16.5103,184,184.0
1,34,171.1918,0.0,16.4431,517,517.0
1,64,172.018,0.0,16.7005,1680,1680.0
1,30,175.1649,0.0,16.3854,956,956.0
1,29,176.9409,0.0,16.3711,199,199.0
1,52,183.1601,0.0,16.6205,336,336.0
1,98,184.0216,0.0,16.9429,430,430.0
1,35,190.0197,0.0,16.4523,160,160.0
1,54,190.0369,0.0,16.6461,257,257.0
1,124,196.0567,0.0,17.2979,229,229.0
1,85,197.1798,0.0,16.8579,245,245.0
1,114,198.0421,0.0,17.0987,394,394.0
1,46,198.1392,0.0,16.5381,1643,1643.0
1,32,198.1772,0.0,16.4267,478,478.0
1,72,202.0367,0.0,16.7346,1796,1796.0
1,56,204.0542,0.0,16.6572,954,954.0
1,60,204.1353,0.0,16.6722,142,142.0
1,122,204.9425,0.0,17.2629,2112,2112.0
1,108,206.0115,0.0,17.0528,145,145.0
1,100,216.0552,0.0,16.9453,895,895.0
1,80,219.0103,0.0,16.8182,329,329.0
1,81,220.0475,0.0,16.8252,285,285.0
1,135,222.958,0.0,17.3829,635,635.0
1,154,223.952,0.0,17.8644,129,129.0
1,115,226.177,0.0,17.1282,644,644.0
1,157,226.2126,0.0,18.0134,647,647.0
1,106,229.0569,0.0,17.049,210,210.0
1,109,231.0776,0.0,17.0564,137,137.0
1,170,244.2286,0.0,18.829,4362,4362.0
1,168,245.2326,0.0,18.6635,508,508.0
1,164,245.9611,0.0,18.5881,1316,1316.0
1,166,246.1909,0.0,18.6498,972,972.0
1,160,247.9596,0.0,18.2337,514,514.0
1,130,250.0519,0.0,17.347,3331,3331.0
1,143,251.0542,0.0,17.5455,388,388.0
1,137,252.0484,0.0,17.4487,419,419.0
1,175,258.0086,0.0,18.9396,212,212.0
1,185,258.2192,0.0,19.0829,181,181.0
1,173,259.9848,0.0,18.9114,211,211.0
1,169,261.1686,0.0,18.7265,800,800.0
1,181,262.2127,0.0,19.0222,182,182.0
1,156,263.0517,0.0,17.9301,819,819.0
1,177,263.9734,0.0,18.9928,709,709.0
1,176,265.9771,0.0,18.9522,222,222.0
1,275,266.2211,0.0,23.5467,164,164.0
1,152,268.0658,0.0,17.7696,125,125.0
1,182,271.0607,0.0,19.0274,142,142.0
1,204,272.2097,0.0,19.6868,165,165.0
1,237,274.1988,0.0,21.3142,138,138.0
1,248,274.2609,0.0,21.7925,161,161.0
1,174,275.9794,0.0,18.9184,1886,1886.0
1,186,276.9923,0.0,19.1859,398,398.0
1,172,277.9789,0.0,18.905,657,657.0
1,178,279.9799,0.0,18.9962,132,132.0
1,213,281.1743,0.0,20.1532,637,637.0
1,276,283.2498,0.0,23.579,208,208.0
1,215,284.0295,0.0,20.234,142,142.0
1,226,286.0038,0.0,20.6922,193,193.0
1,161,288.0145,0.0,18.2522,1516,1516.0
1,183,289.0739,0.0,19.0304,1282,1282.0
1,209,289.172,0.0,20.082,2718,2718.0
1,205,289.9993,0.0,19.7192,1124,1124.0
1,199,290.0752,0.0,19.5334,187,187.0
1,210,290.1747,0.0,20.0873,399,399.0
1,208,291.0091,0.0,20.0607,156,156.0
1,193,292.0005,0.0,19.3666,404,404.0
1,194,293.9979,0.0,19.4034,583,583.0
1,202,295.0063,0.0,19.6443,148,148.0
1,191,295.9915,0.0,19.3025,159,159.0
1,214,299.0455,0.0,20.1783,210,210.0
1,228,301.0075,0.0,20.8357,3329,3329.0
1,219,302.0096,0.0,20.4469,342,342.0
1,230,303.0071,0.0,20.8841,339,339.0
1,192,306.0273,0.0,19.3627,637,637.0
1,200,307.0854,0.0,19.5352,20935,20935.0
1,235,307.2513,0.0,21.1708,166,166.0
1,217,308.0167,0.0,20.3526,351,351.0
1,196,308.0914,0.0,19.4286,2888,2888.0
1,195,309.0864,0.0,19.4198,2470,2470.0
1,197,310.0867,0.0,19.4447,297,297.0
1,190,311.0836,0.0,19.284,377,377.0
1,280,311.252,0.0,24.0304,763,763.0
1,206,312.9268,0.0,19.7401,139,139.0
1,188,313.9157,0.0,19.2715,287,287.0
1,241,314.1195,0.0,21.3896,143,143.0
1,252,315.0238,0.0,22.0586,192,192.0
1,257,317.1644,0.0,22.3533,355,355.0
1,239,319.0264,0.0,21.3331,903,903.0
1,282,319.1292,0.0,24.1288,299,299.0
1,262,323.9952,0.0,22.6857,905,905.0
1,320,325.2724,0.0,26.6371,410,410.0
1,258,325.9924,0.0,22.4004,328,328.0
1,321,329.2482,0.0,26.7087,156,156.0
1,255,334.025,0.0,22.2385,371,371.0
1,253,335.0316,0.0,22.1171,420,420.0
