func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,1,101.0916,0.0,15.956001,293,293.0
1,3,102.0755,0.0,16.0413,730,730.0
1,4,104.0908,0.0,16.063,401,401.0
1,2,110.093,0.0,15.976,441,441.0
1,11,114.1127,0.0,16.1912,285,285.0
1,5,122.1055,0.0,16.1036,1036,1036.0
1,16,129.1273,0.0,16.2214,401,401.0
1,32,129.9917,0.0,16.5056,163,163.0
1,14,130.1122,0.0,16.2146,1030,1030.0
1,8,136.1036,0.0,16.1891,190,190.0
1,6,147.1411,0.0,16.1416,587,587.0
1,9,154.156,0.0,16.1904,336,336.0
1,12,159.1441,0.0,16.2072,890,890.0
1,36,160.0614,0.0,16.5419,565,565.0
1,15,171.1821,0.0,16.2187,285,285.0
1,57,172.0104,0.0,16.724,489,489.0
1,27,173.1618,0.0,16.484,495,495.0
1,7,175.1535,0.0,16.1887,177,177.0
1,54,178.0719,0.0,16.7123,160,160.0
1,21,181.1327,0.0,16.3742,2076,2076.0
1,42,182.1378,0.0,16.5896,205,205.0
1,33,183.1485,0.0,16.514,901,901.0
1,35,183.1862,0.0,16.5196,717,717.0
1,23,184.1502,0.0,16.4102,207,207.0
1,25,187.1397,0.0,16.4382,214,214.0
1,85,196.0418,0.0,17.2503,189,189.0
1,80,198.0365,0.0,17.1039,188,188.0
1,43,199.1466,0.0,16.5982,866,866.0
1,50,201.165,0.0,16.6831,259,259.0
1,56,202.0251,0.0,16.7214,914,914.0
1,52,204.0378,0.0,16.6928,339,339.0
1,58,209.1328,0.0,16.7248,2910,2910.0
1,37,210.1361,0.0,16.5497,478,478.0
1,18,214.9307,0.0,16.2964,386,386.0
1,72,216.0443,0.0,17.0038,525,525.0
1,55,216.1413,0.0,16.7175,199,199.0
1,24,216.9276,0.0,16.4215,353,353.0
1,77,220.0376,0.0,17.056,195,195.0
1,111,223.2023,0.0,18.6427,137,137.0
1,90,223.9363,0.0,17.3752,314,314.0
1,73,227.1473,0.0,17.0061,394,394.0
1,108,233.9988,0.0,18.5871,1987,1987.0
1,115,235.9968,0.0,18.7516,573,573.0
