func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,2,56.0593,0.0,11.1817,433,433.0
1,1,57.0442,0.0,11.0229,271,271.0
1,6,70.0765,0.0,11.3297,389,389.0
1,4,72.0936,0.0,11.2934,191,191.0
1,3,84.0942,0.0,11.2647,898,898.0
1,12,104.0871,0.0,11.3865,657,657.0
1,9,110.0891,0.0,11.3724,400,400.0
1,8,122.1001,0.0,11.3521,1660,1660.0
1,15,123.1041,0.0,11.4173,146,146.0
1,11,129.1209,0.0,11.3855,368,368.0
1,17,129.9859,0.0,11.6486,154,154.0
1,14,130.1082,0.0,11.4059,430,430.0
1,5,136.0986,0.0,11.2952,451,451.0
1,7,147.1353,0.0,11.343,195,195.0
1,13,158.1246,0.0,11.3961,510,510.0
1,19,172.0037,0.0,11.8256,297,297.0
1,10,195.1171,0.0,11.3736,151,151.0
1,16,202.0172,0.0,11.6368,719,719.0
1,20,203.1519,0.0,11.8599,615,615.0
1,18,216.0348,0.0,11.8005,297,297.0
1,21,226.1568,0.0,11.8836,217,217.0
1,22,227.1377,0.0,12.0109,188,188.0
1,24,250.0269,0.0,12.349,757,757.0
1,45,262.1813,0.0,13.0585,1315,1315.0
1,36,263.0314,0.0,12.7892,343,343.0
1,51,263.1872,0.0,13.1979,180,180.0
1,83,286.1631,0.0,14.1756,149,149.0
1,61,289.0488,0.0,13.5416,584,584.0
1,69,307.057,0.0,13.7181,15194,15194.0
1,72,308.066,0.0,13.7387,1880,1880.0
1,71,309.0578,0.0,13.7322,1643,1643.0
1,94,309.1828,0.0,15.6726,119,119.0
1,64,311.0587,0.0,13.5761,358,358.0
1,93,314.1508,0.0,15.6071,134,134.0
1,125,340.2375,0.0,22.3187,129,129.0
1,90,345.0168,0.0,15.0954,1169,1169.0
1,109,345.2153,0.0,19.2814,236,236.0
1,89,347.0101,0.0,14.9249,209,209.0
1,136,357.3054,0.0,23.3115,338,338.0
1,108,371.1338,0.0,18.8685,135,135.0
1,121,372.2501,0.0,21.2361,323,323.0
1,117,373.2356,0.0,20.4918,577,577.0
1,105,380.999,0.0,18.419,698,698.0
1,104,382.9991,0.0,18.186,311,311.0
1,137,390.266,0.0,23.4243,369,369.0
1,134,395.2505,0.0,22.8544,272,272.0
1,124,396.2347,0.0,21.7491,150,150.0
1,107,399.008,0.0,18.8478,262,262.0
1,106,401.0099,0.0,18.8408,147,147.0
1,126,409.0769,0.0,22.3219,163,163.0
1,99,409.0875,0.0,16.9313,144,144.0
1,151,414.2582,0.0,25.401,114,114.0
1,119,416.9774,0.0,20.9648,469,469.0
1,120,418.9778,0.0,21.0067,305,305.0
1,123,423.2479,0.0,21.6277,235,235.0
1,100,434.9948,0.0,17.2833,3721,3721.0
1,102,435.9925,0.0,17.3993,285,285.0
1,101,436.9921,0.0,17.3704,172,172.0
1,167,442.2667,0.0,27.5171,137,137.0
1,140,445.057,0.0,23.8012,193,193.0
1,154,446.2337,0.0,25.8257,133,133.0
1,122,447.039,0.0,21.3841,719,719.0
1,130,454.9358,0.0,22.4988,717,717.0
1,129,456.9315,0.0,22.4605,320,320.0
1,127,458.931,0.0,22.4153,142,142.0
1,135,459.0833,0.0,22.9979,157,157.0
1,179,459.2867,0.0,29.6425,210,210.0
1,175,460.2905,0.0,28.7175,122,122.0
1,111,472.9491,0.0,19.8554,540,540.0
1,180,477.3119,0.0,29.9925,1669,1669.0
1,182,478.3138,0.0,30.1555,380,380.0
1,146,483.0172,0.0,24.7195,559,559.0
1,145,485.0163,0.0,24.5027,144,144.0
1,116,490.9642,0.0,20.3266,822,822.0
1,114,492.9629,0.0,20.1217,141,141.0
1,158,497.0321,0.0,25.9907,112,112.0
1,23,498.0406,0.0,12.1702,212,212.0
1,168,499.0495,0.0,27.7269,136,136.0
1,161,504.0692,0.0,27.0934,254,254.0
1,118,507.8734,0.0,20.5561,111,111.0
1,131,508.9327,0.0,22.5564,1181,1181.0
1,133,509.9356,0.0,22.8187,138,138.0
1,128,510.9307,0.0,22.4221,574,574.0
1,132,512.9313,0.0,22.654,117,117.0
1,25,516.0277,0.0,12.3628,473,473.0
1,205,516.3134,0.0,33.1331,333,333.0
1,26,517.0284,0.0,12.4407,277,277.0
1,201,517.3082,0.0,32.3403,127,127.0
1,164,518.9976,0.0,27.2516,403,403.0
1,153,520.9973,0.0,25.7884,214,214.0
1,87,521.7385,0.0,14.5896,285,285.0
1,28,524.4814,0.0,12.5444,136,136.0
1,29,525.4791,0.0,12.6914,147,147.0
1,44,534.0202,0.0,13.0501,205,205.0
1,32,535.0041,0.0,12.7495,394,394.0
1,34,536.0098,0.0,12.7667,232,232.0
1,163,537.0106,0.0,27.2277,1256,1256.0
1,35,537.0124,0.0,12.7839,193,193.0
1,165,538.0088,0.0,27.3711,203,203.0
1,166,539.0081,0.0,27.3739,212,212.0
1,170,540.0553,0.0,28.0648,213,213.0
1,141,546.8868,0.0,23.9359,2259,2259.0
1,138,547.8935,0.0,23.4464,205,205.0
1,144,548.8849,0.0,24.1742,570,570.0
1,139,550.8813,0.0,23.7808,196,196.0
1,92,551.2391,0.0,15.340401,132,132.0
1,46,552.9955,0.0,13.0704,390,390.0
1,42,553.995,0.0,12.9932,565,565.0
1,43,554.4968,0.0,13.012,208,208.0
1,49,554.9948,0.0,13.1307,313,313.0
1,41,555.9921,0.0,12.9599,137,137.0
1,186,556.0867,0.0,31.151299,649,649.0
1,189,557.09,0.0,31.543999,166,166.0
1,223,561.2766,0.0,34.9832,123,123.0
1,27,561.9987,0.0,12.5161,473,473.0
1,33,562.4968,0.0,12.7625,144,144.0
1,103,563.7924,0.0,17.4873,121,121.0
1,143,564.8961,0.0,24.0683,524,524.0
1,96,566.7626,0.0,16.4803,830,830.0
1,142,566.8975,0.0,23.9876,178,178.0
1,98,567.2621,0.0,16.5893,400,400.0
1,97,567.7628,0.0,16.5435,181,181.0
1,31,570.4563,0.0,12.7473,203,203.0
1,50,570.9677,0.0,13.1976,154,154.0
1,30,571.4688,0.0,12.6987,173,173.0
1,73,571.9788,0.0,13.772,264,264.0
1,38,572.4678,0.0,12.8638,174,174.0
1,56,572.9801,0.0,13.4021,182,182.0
1,184,572.9927,0.0,30.6769,437,437.0
1,74,573.9834,0.0,13.7784,152,152.0
1,159,574.9724,0.0,26.2682,905,905.0
1,155,575.9638,0.0,25.924,150,150.0
1,183,576.0196,0.0,30.4646,119,119.0
1,53,579.9968,0.0,13.2948,366,366.0
1,39,580.9804,0.0,12.8651,536,536.0
1,48,581.4834,0.0,13.0945,192,192.0
1,37,581.9798,0.0,12.8522,169,169.0
1,149,582.8806,0.0,25.074,241,241.0
1,221,585.1312,0.0,34.6117,158,158.0
1,52,588.4451,0.0,13.2568,270,270.0
1,47,589.4452,0.0,13.08,316,316.0
1,113,590.3351,0.0,20.0204,592,592.0
1,63,590.4476,0.0,13.5707,127,127.0
1,112,590.8405,0.0,19.9682,388,388.0
1,110,591.3439,0.0,19.7859,130,130.0
1,268,592.3606,0.0,39.2757,1007,1007.0
1,269,593.3565,0.0,39.4412,249,249.0
1,192,594.0385,0.0,32.0061,2123,2123.0
1,198,595.0414,0.0,32.2967,406,406.0
1,194,596.0461,0.0,32.0231,509,509.0
