func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,33,53.0192,0.0,23.6446,579,579.0
1,26,53.0435,0.0,23.541,320,320.0
1,37,54.0153,0.0,23.7564,258,258.0
1,18,54.0394,0.0,23.392,703,703.0
1,1,55.0234,0.0,23.119,1661,1661.0
1,15,55.0601,0.0,23.366,4196,4196.0
1,21,56.0549,0.0,23.4168,498,498.0
1,81,56.9705,0.0,27.7153,116,116.0
1,9,59.0549,0.0,23.3211,4253,4253.0
1,5,67.0607,0.0,23.251,1365,1365.0
1,85,67.975,0.0,28.5768,286,286.0
1,44,68.0201,0.0,23.87,171,171.0
1,19,68.0558,0.0,23.3936,465,465.0
1,2,69.0406,0.0,23.1426,228,228.0
1,22,69.0757,0.0,23.4313,15321,15321.0
1,11,70.0787,0.0,23.3369,893,893.0
1,40,72.0871,0.0,23.805,456,456.0
1,30,74.1024,0.0,23.587,163,163.0
1,13,77.0461,0.0,23.3567,495,495.0
1,7,79.0605,0.0,23.3084,1842,1842.0
1,14,80.058,0.0,23.3594,2784,2784.0
1,16,81.0764,0.0,23.3818,842,842.0
1,29,82.0716,0.0,23.5543,1033,1033.0
1,34,83.055,0.0,23.6574,313,313.0
1,47,84.0511,0.0,23.9958,1356,1356.0
1,36,84.0867,0.0,23.7554,473,473.0
1,23,86.0658,0.0,23.5046,132,132.0
1,56,86.1032,0.0,24.6309,675,675.0
1,46,89.0668,0.0,23.9859,535,535.0
1,6,91.0609,0.0,23.2512,1004,1004.0
1,20,93.077,0.0,23.4139,1020,1020.0
1,24,94.0721,0.0,23.5124,711,711.0
1,12,95.057,0.0,23.338,332,332.0
1,42,95.0929,0.0,23.818,960,960.0
1,54,96.0885,0.0,24.4408,1656,1656.0
1,39,97.0728,0.0,23.7715,1134,1134.0
1,41,98.1068,0.0,23.8092,154,154.0
1,35,101.0667,0.0,23.7088,452,452.0
1,45,102.0626,0.0,23.9071,966,966.0
1,31,103.0622,0.0,23.6001,1213,1213.0
1,32,105.0511,0.0,23.6354,739,739.0
1,38,105.0776,0.0,23.7696,646,646.0
1,27,106.081,0.0,23.5414,148,148.0
1,53,107.0818,0.0,24.3855,150,150.0
1,58,110.1044,0.0,24.7494,22163,22163.0
