func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,4,55.0647,0.0,15.9011,188,188.0
1,6,56.0592,0.0,15.920601,611,611.0
1,2,57.0446,0.0,15.882,359,359.0
1,9,70.0765,0.0,16.0032,1269,1269.0
1,8,72.0927,0.0,15.937599,742,742.0
1,1,74.0717,0.0,15.654301,182,182.0
1,3,83.0734,0.0,15.8881,241,241.0
1,5,84.0581,0.0,15.910301,577,577.0
1,12,84.0939,0.0,16.0877,1578,1578.0
1,18,86.11,0.0,16.1285,650,650.0
1,7,91.0687,0.0,15.9368,447,447.0
1,21,98.9904,0.0,16.1882,188,188.0
1,13,102.0719,0.0,16.1034,483,483.0
1,16,104.0855,0.0,16.1134,858,858.0
1,15,110.0878,0.0,16.111,1722,1722.0
1,19,119.0702,0.0,16.1464,308,308.0
1,10,120.1001,0.0,16.011,580,580.0
1,17,122.0993,0.0,16.1138,2121,2121.0
1,22,129.1219,0.0,16.1908,758,758.0
1,36,129.9851,0.0,16.4903,263,263.0
1,11,130.1076,0.0,16.068,482,482.0
1,14,132.1004,0.0,16.1102,205,205.0
1,25,136.0966,0.0,16.2375,5769,5769.0
1,24,137.0997,0.0,16.2329,613,613.0
1,23,143.1031,0.0,16.1984,380,380.0
1,29,147.135,0.0,16.3305,289,289.0
1,20,154.1458,0.0,16.1861,498,498.0
1,26,159.117,0.0,16.2834,1162,1162.0
1,39,160.0541,0.0,16.5631,180,180.0
1,28,162.1178,0.0,16.3192,326,326.0
1,34,171.1768,0.0,16.4594,261,261.0
1,35,172.0033,0.0,16.4882,403,403.0
1,27,173.1142,0.0,16.3175,226,226.0
1,33,175.146,0.0,16.4277,279,279.0
1,32,187.1752,0.0,16.4229,181,181.0
1,50,198.0224,0.0,16.8706,191,191.0
1,38,199.1384,0.0,16.5081,469,469.0
1,31,201.1185,0.0,16.4201,483,483.0
1,41,202.0159,0.0,16.6152,668,668.0
1,44,204.0325,0.0,16.751,842,842.0
1,51,207.1445,0.0,16.8845,1754,1754.0
1,49,208.145,0.0,16.8502,192,192.0
1,30,210.0601,0.0,16.4085,822,822.0
1,67,215.1745,0.0,17.1963,176,176.0
1,53,216.0344,0.0,16.897,340,340.0
1,97,223.1897,0.0,17.9745,366,366.0
1,54,227.1395,0.0,16.9222,433,433.0
1,64,228.1544,0.0,17.1119,197,197.0
1,88,230.1861,0.0,17.7402,362,362.0
1,66,232.0129,0.0,17.1933,179,179.0
1,105,234.1647,0.0,18.3811,166,166.0
1,77,235.1445,0.0,17.5637,1945,1945.0
1,90,236.1471,0.0,17.7905,305,305.0
1,93,237.1701,0.0,17.9151,165,165.0
1,114,243.1804,0.0,18.9737,131,131.0
1,103,248.2002,0.0,18.215,1577,1577.0
1,108,249.2032,0.0,18.7413,274,274.0
1,75,250.0256,0.0,17.3781,3232,3232.0
1,69,251.0332,0.0,17.2541,274,274.0
1,127,251.1895,0.0,19.9359,560,560.0
1,72,252.0245,0.0,17.3295,364,364.0
1,100,263.0235,0.0,18.065,239,239.0
1,120,272.1666,0.0,19.3566,324,324.0
1,128,273.1694,0.0,20.0532,139,139.0
1,107,275.9568,0.0,18.662,126,126.0
1,126,281.1439,0.0,19.897,132,132.0
1,289,283.307,0.0,32.8878,160,160.0
1,136,284.1543,0.0,20.9444,147,147.0
1,99,287.9879,0.0,18.0621,333,333.0
1,116,289.0446,0.0,19.1334,549,549.0
1,117,292.0462,0.0,19.1888,196,196.0
1,188,294.2593,0.0,25.9577,242,242.0
1,183,295.2454,0.0,25.4967,145,145.0
1,154,296.1951,0.0,22.4441,248,248.0
1,133,300.9793,0.0,20.3938,149,149.0
1,146,301.1693,0.0,21.968,138,138.0
1,101,306.0057,0.0,18.1772,150,150.0
1,192,306.1935,0.0,26.0876,574,574.0
1,119,307.0547,0.0,19.3359,10436,10436.0
1,194,307.1871,0.0,26.1783,117,117.0
1,118,308.0598,0.0,19.3175,1339,1339.0
1,121,309.0546,0.0,19.4181,1409,1409.0
1,312,309.3308,0.0,34.9353,128,128.0
1,124,310.0534,0.0,19.6152,163,163.0
1,109,311.0485,0.0,18.7904,356,356.0
1,187,312.268,0.0,25.7546,256,256.0
1,40,314.2081,0.0,16.5859,106,106.0
1,184,314.2213,0.0,25.5069,204,204.0
1,163,319.1012,0.0,23.9142,268,268.0
1,257,323.2765,0.0,29.7046,142,142.0
1,153,323.9621,0.0,22.4275,562,562.0
1,157,324.199,0.0,22.989,286,286.0
1,147,325.9631,0.0,22.0375,228,228.0
1,140,333.9956,0.0,21.2016,136,136.0
1,123,337.8873,0.0,19.5677,139,139.0
1,266,340.2435,0.0,30.7891,345,345.0
1,155,341.9777,0.0,22.7512,487,487.0
1,222,343.2107,0.0,27.7393,161,161.0
1,152,343.9739,0.0,22.3066,229,229.0
1,203,344.246,0.0,26.759,204,204.0
1,141,345.0097,0.0,21.3835,2921,2921.0
1,209,345.2296,0.0,27.0421,452,452.0
1,139,346.0126,0.0,21.165,392,392.0
1,142,347.0047,0.0,21.4265,318,318.0
1,158,348.0086,0.0,23.304,180,180.0
1,149,349.0064,0.0,22.1015,291,291.0
1,270,350.2733,0.0,31.271698,506,506.0
1,84,351.8515,0.0,17.6178,315,315.0
1,212,355.0869,0.0,27.1915,225,225.0
1,284,355.2528,0.0,32.1333,123,123.0
1,131,355.8993,0.0,20.2998,162,162.0
1,291,357.305,0.0,33.0331,358,358.0
1,177,360.0159,0.0,24.8188,193,193.0
1,151,361.9238,0.0,22.1816,207,207.0
1,193,362.0327,0.0,26.1382,159,159.0
1,234,362.2591,0.0,28.8261,2052,2052.0
1,235,363.2631,0.0,28.8639,385,385.0
1,190,363.9895,0.0,26.0643,210,210.0
1,295,364.2955,0.0,33.5711,158,158.0
1,132,367.8964,0.0,20.3442,145,145.0
1,87,369.8496,0.0,17.7112,119,119.0
1,80,369.8871,0.0,17.5842,178,178.0
1,210,374.0294,0.0,27.1156,142,142.0
1,137,377.9634,0.0,21.0169,184,184.0
1,316,378.2714,0.0,35.2723,149,149.0
1,115,378.7958,0.0,19.0782,206,206.0
1,202,379.0029,0.0,26.7448,479,479.0
1,156,379.9357,0.0,22.7911,287,287.0
1,294,380.256,0.0,33.4784,238,238.0
1,198,380.9945,0.0,26.5164,1596,1596.0
1,145,381.92,0.0,21.6585,134,134.0
1,196,381.9968,0.0,26.3693,248,248.0
1,199,382.9906,0.0,26.5837,967,967.0
1,189,383.9928,0.0,26.0435,171,171.0
1,204,384.9858,0.0,26.8233,426,426.0
1,288,385.2651,0.0,32.6118,136,136.0
1,226,385.9698,0.0,27.9292,143,143.0
1,262,391.0629,0.0,30.0369,141,141.0
1,42,394.0054,0.0,16.629,146,146.0
1,215,394.0113,0.0,27.2581,139,139.0
1,122,396.805,0.0,19.4211,190,190.0
1,214,397.0157,0.0,27.2294,168,168.0
1,208,399.0068,0.0,26.9989,630,630.0
1,205,401.0093,0.0,26.8249,426,426.0
1,211,402.9957,0.0,27.1315,175,175.0
1,201,405.0418,0.0,26.6478,176,176.0
1,318,407.2626,0.0,35.3727,596,596.0
1,247,408.0224,0.0,29.281,177,177.0
1,314,408.2567,0.0,35.0806,195,195.0
1,281,409.072,0.0,31.921501,5336,5336.0
1,280,410.0793,0.0,31.913002,781,781.0
1,276,411.0673,0.0,31.834702,593,593.0
1,162,415.9137,0.0,23.8971,2070,2070.0
1,164,416.9146,0.0,24.0411,157,157.0
1,261,416.9785,0.0,29.8932,573,573.0
1,165,417.9154,0.0,24.0764,218,218.0
1,255,418.9775,0.0,29.555,556,556.0
1,244,419.968,0.0,29.1693,141,141.0
1,258,420.9721,0.0,29.7246,534,534.0
1,282,422.1905,0.0,31.938301,1484,1484.0
1,403,422.3636,0.0,45.0394,338,338.0
1,275,423.1965,0.0,31.8279,222,222.0
1,330,423.2851,0.0,37.0449,229,229.0
1,399,423.3616,0.0,44.8815,110,110.0
1,185,428.9119,0.0,25.5819,287,287.0
1,172,433.9267,0.0,24.3734,4302,4302.0
1,166,434.9338,0.0,24.1105,324,324.0
1,335,435.256,0.0,37.3167,1336,1336.0
1,176,435.9275,0.0,24.6898,339,339.0
1,336,436.2609,0.0,37.5377,358,358.0
1,333,438.26,0.0,37.1666,272,272.0
1,296,440.2037,0.0,33.5878,175,175.0
1,47,441.0077,0.0,16.7963,140,140.0
1,300,445.0574,0.0,33.7036,396,396.0
1,37,445.9382,0.0,16.4986,268,268.0
1,252,447.0321,0.0,29.3743,1775,1775.0
1,372,451.3049,0.0,41.5915,265,265.0
1,191,451.8988,0.0,26.0731,597,597.0
1,416,453.3408,0.0,46.9758,141,141.0
1,179,453.8767,0.0,25.1459,347,347.0
1,273,454.9311,0.0,31.779602,1016,1016.0
1,277,456.9229,0.0,31.8727,239,239.0
1,287,458.9721,0.0,32.3002,159,159.0
1,46,458.9888,0.0,16.795,144,144.0
1,48,459.9807,0.0,16.8139,126,126.0
1,112,461.7656,0.0,18.8535,123,123.0
1,148,462.2253,0.0,22.0551,159,159.0
1,431,463.3829,0.0,48.813,127,127.0
1,43,463.9313,0.0,16.6667,213,213.0
1,45,464.9291,0.0,16.7522,211,211.0
1,286,465.0603,0.0,32.2862,120,120.0
1,311,466.1092,0.0,34.8104,120,120.0
1,52,469.5159,0.0,16.8949,1108,1108.0
