func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,1163,679.6935,25.88158,52.3,34575,679.6935,3.61,-1,1,-1,
2,1164,679.0245,25.89686,52.2,31762,679.0245,3.61,-1,1,-1,
2,1165,355.0666,25.897,43.4,85963,355.0666,3,-1,1,-1,
2,1166,745.42084,25.90424,102.9,29850,745.42084,7.06,-1,1,-1,
2,1167,744.4175,25.91742,103.5,71387,744.4175,7.13,-1,1,-1,
2,1168,514.79016,25.918,46.6,28885,514.79016,3.2,-1,1,-1,
2,1169,392.1799,25.94248,38.7,23685,392.1799,2.65,-1,1,-1,
2,1170,514.2895,25.94418,46.5,44490,514.2895,3.2,-1,1,-1,
2,1171,391.68677,25.9451,36.3,18078,391.68677,2.51,-1,1,-1,
2,1172,470.5085,25.95039,38.6,22469,470.5085,2.65,-1,1,-1,
2,1173,507.20264,25.95573,70.6,21296,507.20264,4.86,-1,1,-1,
2,1174,400.81024,25.9562,36.5,44927,400.81024,2.51,-1,1,-1,
2,1175,637.31354,25.95763,88.9,130491,637.31354,6.09,-1,1,-1,
2,1176,401.694,25.96147,36.7,98733,401.694,2.51,-1,1,-1,
2,1177,522.28644,25.96165,76.6,53934,522.28644,5.27,-1,1,-1,
2,1178,800.37396,25.96215,112.2,25205,800.37396,7.74,-1,1,-1,
2,1179,136.07487,25.96304,22.4,40222,136.07487,1.57,-1,1,-1,
2,1180,680.3065,25.9638,61.2,28156,680.3065,4.23,-1,1,-1,
2,1181,679.3029,25.96617,61.1,219590,679.3029,4.23,-1,1,-1,
2,1182,400.69202,25.96633,36.7,824289,400.69202,2.51,-1,1,-1,
2,1183,638.3168,25.96695,89,39525,638.3168,6.16,-1,1,-1,
2,1184,678.4568,25.96772,61.2,20925,678.4568,4.23,-1,1,-1,
2,1185,401.19296,25.96863,36.6,361644,401.19296,2.51,-1,1,-1,
2,1186,679.80334,25.97004,61.1,85092,679.80334,4.23,-1,1,-1,
2,1187,678.30347,25.97093,61.1,657093,678.30347,4.23,-1,1,-1,
2,1188,597.3012,25.97167,52.9,26685,597.3012,3.61,-1,1,-1,
2,1189,678.804,25.9727,61.1,463719,678.804,4.23,-1,1,-1,
2,1190,279.09543,25.97474,40.3,18972,279.09543,2.8,-1,1,-1,
2,1191,476.22778,25.98426,44.6,24584,476.22778,3.06,-1,1,-1,
2,1192,596.7995,25.9924,53.1,59457,596.7995,3.68,-1,1,-1,
2,1193,814.49744,26.01804,125.4,43790,814.49744,8.63,-1,1,-1,
2,1194,408.75555,26.02097,40.2,117538,408.75555,2.79,-1,1,-1,
2,1195,409.25317,26.02145,40.3,25048,409.25317,2.79,-1,1,-1,
2,1196,407.87115,26.02257,40.1,42439,407.87115,2.79,-1,1,-1,
2,1197,408.25308,26.03321,40.3,377682,408.25308,2.79,-1,1,-1,
2,1198,624.3384,26.03962,55,97922,624.3384,3.81,-1,1,-1,
2,1199,407.7529,26.04078,40.3,955146,407.7529,2.79,-1,1,-1,
2,1200,743.45764,26.0413,112.9,83138,743.45764,7.75,-1,1,-1,
2,1201,372.23322,26.04413,36.7,29130,372.23322,2.51,-1,1,-1,
2,1202,672.4215,26.04486,100.9,231365,672.4215,6.92,-1,1,-1,
2,1203,624.83887,26.04573,54.9,38312,624.83887,3.74,-1,1,-1,
2,1204,673.42584,26.04689,100.7,96891,673.42584,6.92,-1,1,-1,
2,1205,623.83813,26.04807,54.9,118892,623.83813,3.74,-1,1,-1,
2,1206,557.39417,26.05107,88.1,26151,557.39417,6.09,-1,1,-1,
2,1207,815.4974,26.05876,125.4,19954,815.4974,8.63,-1,1,-1,
2,1208,528.262,26.06157,47.4,26332,528.262,3.27,-1,1,-1,
2,1209,744.4656,26.06393,113.5,27340,744.4656,7.82,-1,1,-1,
2,1210,407.7498,26.07,66.9,12358,407.7498,4.58,-1,1,-1,
2,1211,536.9068,26.07301,47.4,28823,536.9068,3.26,-1,1,-1,
2,1212,644.33136,26.07428,86.4,22627,644.33136,5.95,-1,1,-1,
2,1213,537.7715,26.07531,47.3,156782,537.7715,3.26,-1,1,-1,
2,1214,537.27094,26.07564,47.4,497004,537.27094,3.26,-1,1,-1,
